20200208,浦东,源深,高区3+1户型，小高层得房率高，客厅大面宽必看好房,1750万,3室2厅 | 161.2平米 | 南 | 精装 | 高楼层(共9层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_4r8u467Gl_1.jpg.296x216.jpg
20200208,浦东,源深,桃林小区 3室1厅 825万,825万,3室1厅 | 81.98平米 | 南 北 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e0cc2126-a0df-4c95-ad10-e466d1971c96.jpg.296x216.jpg
20200208,浦东,源深,中高区南北通景观大三房，270°圆弧落地窗，视野舒适房主自荐,1508万,3室2厅 | 145.02平米 | 南 | 精装 | 中楼层(共28层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_kF1OQQlkC_1.jpg.296x216.jpg
20200208,浦东,源深,新出两房 南北精装 不靠路 诚意出售,430万,2室1厅 | 50.71平米 | 南 | 精装 | 低楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_06MOoXm3U_1.jpg.296x216.jpg
20200208,浦东,源深,满五唯一 户型方正，电梯两房，业主诚售,435万,2室2厅 | 65.72平米 | 南 | 简装 | 低楼层(共26层) | 1992年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_SLBYaoQYb_1.jpg.296x216.jpg
20200208,浦东,源深,满五唯一  小区中间，不靠路，南北户型，原始格局,384万,2室1厅 | 53.98平米 | 南 北 | 简装 | 高楼层(共7层) | 1988年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_wOO78Fpdz_1.jpg.296x216.jpg
20200208,浦东,源深,小区中间，不靠路，南北户型，中间楼层。,445万,2室1厅 | 54.11平米 | 南 | 毛坯 | 中楼层(共6层) | 1988年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_QRzjiYHzF_2.jpg.296x216.jpg
20200208,浦东,源深,铂金地段，香榭丽主楼，采光好，视野佳。,1230万,3室1厅 | 146.14平米 | 南 北 | 简装 | 中楼层(共32层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_TQJQLzJ3F_1.jpg.296x216.jpg
20200208,浦东,源深,业主自住，装修保养的都很好，可以拎包入住。,700万,2室2厅 | 68.74平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_0b3OTUS7W_1.jpg.296x216.jpg
20200208,浦东,源深,新出小区中间 双正南两房 产权清晰  到价签字,455万,2室1厅 | 64.56平米 | 南 | 简装 | 低楼层(共22层) | 1990年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_Z0NffQDk7_1.jpg.296x216.jpg
20200208,浦东,源深,福竹小区 1室1厅 335万,335万,1室1厅 | 41.58平米 | 南 | 精装 | 高楼层(共6层) | 1988年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_4V0W4EbRd_1.jpg.296x216.jpg
20200208,浦东,源深,精装修拎包入住 位置好不靠路诚意出售,480万,2室1厅 | 59.01平米 | 南 | 精装 | 低楼层(共6层) | 1988年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_7Jt5vHJc6_1.jpg.296x216.jpg
20200208,浦东,源深,全明双南户型，业主诚售，近世纪大道,540万,2室1厅 | 69.42平米 | 南 | 简装 | 高楼层(共22层) | 1993年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/b3a272eb-949b-4bf1-b5d6-b94afa4fb379_1000.jpg.296x216.jpg
20200208,浦东,源深,小区后排位置，高区楼层，双南户型，无个税,880万,2室2厅 | 93.05平米 | 南 | 精装 | 中楼层(共20层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_SEdeHsbTc_1.jpg.296x216.jpg
20200208,浦东,源深,竹园大客厅两房  中楼层 三面有窗  采光通风效果好,475万,2室1厅 | 62.47平米 | 南 北 | 其他 | 低楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/deeefcee-3482-464c-9d3f-b3013e167289_1000.jpg.296x216.jpg
20200208,浦东,源深,此房南北户型 边套全明 中间楼层 采光好 诚意出售,415万,2室1厅 | 53平米 | 南 | 精装 | 中楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_LXW5HYAP1_1.jpg.296x216.jpg
20200208,浦东,源深,垫高电梯5楼，视野采光无遮挡！三开间面南，优质！,700万,3室1厅 | 116.56平米 | 南 | 精装 | 低楼层(共26层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-69bfaa2c-f401-4168-b01c-9ce01db73cb5.png.296x216.jpg
20200208,浦东,源深,经典一室户 中间楼层 不靠路 看房方便,305万,1室0厅 | 33.75平米 | 南 | 简装 | 低楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_grxb1LIds_1.jpg.296x216.jpg
20200208,浦东,源深,两房朝南，客厅朝北，一梯两户，采光好,475万,2室1厅 | 57.86平米 | 南 | 精装 | 高楼层(共6层) | 1987年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-6046e59e-db08-4a88-9ce7-42382152d8db.png.296x216.jpg
20200208,浦东,源深,此房满五唯一没有个人所得税，南北格局, 有车位,1460万,3室2厅 | 139.05平米 | 南 | 精装 | 高楼层(共28层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_dOc52hDgn_1.jpg.296x216.jpg
20200208,浦东,源深,此房户型好，中间位置，看房方便,985万,2室2厅 | 104.66平米 | 南 | 精装 | 低楼层(共27层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-19776f79-e1e9-4334-b1f4-faee49f30564.jpg.296x216.jpg
20200208,浦东,源深,花园小区，化境优美，自改三房，适合一家人居住,1050万,3室2厅 | 108.86平米 | 南 北 | 精装 | 低楼层(共24层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-fd93c9ac-8624-4eb7-86e6-65c46584a47e.png.296x216.jpg
20200208,浦东,源深,世纪大道旁电梯两房房，交通生活便利，业主诚意出售,463万,2室1厅 | 65.72平米 | 东南 | 简装 | 低楼层(共26层) | 1991年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/426ad584-64e8-4324-8f9e-8b65da941c81.jpg.296x216.jpg
20200208,浦东,源深,小区位置好+带花园+位置安静+诚意出售+看房方便,1150万,2室2厅 | 107.24平米 | 南 | 精装 | 低楼层(共29层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-4395ac04-2792-4f00-9e6d-54c059c7c42d.jpg.296x216.jpg
20200208,浦东,源深,户型方正，客厅朝南，餐厅朝北，自住舒服，高区,1280万,3室2厅 | 130.53平米 | 南 北 | 精装 | 中楼层(共11层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-fffafa7e-9cf5-4712-a414-6b584f931884.jpg.296x216.jpg
20200208,浦东,源深,满五年，有花园，户型南北通，出行方便房主自荐,820万,2室2厅 | 78.81平米 | 南 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_vpZ6vrMR2_1.jpg.296x216.jpg
20200208,浦东,源深,品质小区+顶楼复式4房+有产权车位+地铁6号线300米,1900万,4室2厅 | 180.64平米 | 南 | 精装 | 高楼层(共13层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_PfMiRmReR_1.jpg.296x216.jpg
20200208,浦东,源深,小区主楼景观四房+户型正+采光好无遮挡+置换优选,1950万,4室2厅 | 178.03平米 | 南 | 精装 | 中楼层(共32层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-4b9116d5-77eb-42d9-b406-d1410e85fc94.jpg.296x216.jpg
20200208,浦东,源深,房子是双南房，户型方正，电梯高层，采光无遮挡！,455万,2室1厅 | 64.15平米 | 南 | 精装 | 高楼层(共22层) | 1992年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/51254b9b-019e-4340-9aff-992bdb10ccc0.jpg.296x216.jpg
20200208,浦东,源深,花园小区不靠路，独栋无遮挡，边套大户型，安静宜居房主自荐,1480万,3室2厅 | 156.45平米 | 南 | 精装 | 中楼层(共11层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_3lnHrE2Rd_1.jpg.296x216.jpg
20200208,浦东,源深,中间位置景观房，  总价低， 自住精装修，羽灵幼儿园,1180万,2室2厅 | 109.42平米 | 南 | 精装 | 低楼层(共29层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e70e1795-0b5a-411a-ba6a-8692db628364.jpg.296x216.jpg
20200208,浦东,源深,陆家嘴花园大面积3房 置换 诚意出售 有车位,1550万,3室2厅 | 168.46平米 | 南 | 精装 | 中楼层(共11层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-4c486da9-1b4c-442d-a74e-50453c04edfc.png.296x216.jpg
20200208,浦东,源深,房子是双南两房，户型方正，小区中间位置,549万,2室1厅 | 69.4平米 | 南 | 精装 | 低楼层(共22层) | 1993年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-ea59a787-9d67-4d1f-8238-aec800fc16db.jpg.296x216.jpg
20200208,浦东,源深,（大4房）（有车位）（满五唯一）,1800万,4室2厅 | 190.84平米 | 南 | 精装 | 中楼层(共11层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_57FHcjRWX_1.jpg.296x216.jpg
20200208,浦东,源深,陆家嘴花园主楼位置，满五唯一，业主急售,1000万,2室2厅 | 107.15平米 | 南 | 精装 | 低楼层(共25层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_dsBnRu3sG_1.jpg.296x216.jpg
20200208,浦东,源深,（双南）（买入价格高，税费少）(看法式下沉式广场)房主自荐,998万,2室2厅 | 105.32平米 | 南 | 精装 | 低楼层(共25层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_9W84yOJ01_1.jpg.296x216.jpg
20200208,浦东,源深,1993年商品房，房东诚意急售，价格可谈，看房方便,720万,3室2厅 | 123.99平米 | 南 | 简装 | 低楼层(共26层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-947713c2-f73d-4f4b-bfdb-81f93768355e.jpg.296x216.jpg
20200208,浦东,源深,新挂牌全南全明两房，另有花园17平，诚意卖方便看,1138万,2室2厅 | 107.4平米 | 南 | 精装 | 低楼层(共29层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-32f06aa0-a5c5-4c3c-8526-3d41f22c0e58.jpg.296x216.jpg
20200208,浦东,源深,双南房，自住装修，房东诚心出售，价格可谈！,350万,1室1厅 | 42平米 | 南 | 简装 | 高楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_at9YvKfFL_1.jpg.296x216.jpg
20200208,浦东,源深,陆家嘴花园(二期) 3室2厅 1450万,1450万,3室2厅 | 129.89平米 | 南 | 精装 | 中楼层(共10层) | 2003年建 | 板楼,https://image1.ljcdn.com/x-se/hdic-frame/11005290-019e-49e6-a766-b98ac6b22b4a.png.296x216.jpg
20200208,浦东,源深,小区安静位置  南北通三房户型 诚心出售 低总价含车位,1390万,3室2厅 | 133.83平米 | 南 | 精装 | 中楼层(共16层) | 2006年建 | 板楼,https://image1.ljcdn.com/x-se/hdic-frame/ad0ea311-46ea-4915-b978-6d067103f062.png.296x216.jpg
20200208,浦东,源深,经典一室一厅 明星户型 居中位置 满五年唯一,340万,1室1厅 | 42.87平米 | 南 | 简装 | 高楼层(共7层) | 1988年建 | 板楼,https://image1.ljcdn.com/x-se/hdic-frame/test-eb1c0f04-3321-436a-aefb-76a36fc4ee68.png.296x216.jpg
20200208,浦东,源深,高层小三房 全明户型 总价低  诚意出售,530万,3室1厅 | 78.89平米 | 南 | 简装 | 低楼层(共26层) | 1989年建 | 塔楼,https://image1.ljcdn.com/x-se/hdic-frame/ef9a81a1-7954-48f1-bb30-ea24e0b91863.png.296x216.jpg
20200208,浦东,源深,桃林一小区 1室1厅 606万,606万,1室1厅 | 49.11平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/x-se/hdic-frame/2e5d12a4-e2e9-4aba-a7c8-0c813210f229.png.296x216.jpg
20200208,浦东,源深,精装大三房，看房方便，单价低，珀金地段 诚心售,928万,3室2厅 | 153.12平米 | 南 | 简装 | 中楼层(共26层) | 1993年建 | 板楼,https://image1.ljcdn.com/shfdfs-image/20170824/3e5cd235-8a30-4d23-a2a8-af9d54bb38e8.jpg.296x216.jpg
20200208,浦东,源深,不靠路，很安静，业主诚心，看房随时方便!,410万,2室1厅 | 54.11平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,https://image1.ljcdn.com/x-se/hdic-frame/3a75e9b1-8121-4cf3-bd20-8b062af7cf6a.png.296x216.jpg
20200208,浦东,源深,低密度花园式住宅+春可临水赏樱花+秋观长天共一色,1550万,3室2厅 | 137.38平米 | 南 | 精装 | 中楼层(共10层) | 2004年建 | 板楼,https://image1.ljcdn.com/x-se/hdic-frame/11005290-019e-49e6-a766-b98ac6b22b4a.png.296x216.jpg
20200208,浦东,源深,桃林电梯房+买进价格高、税费少+业主诚意出售,828万,2室1厅 | 103.56平米 | 西南 | 精装 | 低楼层(共24层) | 1997年建 | 塔楼,https://image1.ljcdn.com/x-se/hdic-frame/4d6a993f-59f0-4046-8646-09fb2c479b98.png.296x216.jpg
20200208,浦东,源深,精致3房，南北通，2南1北户型，小高层，朋友圈好,1520万,3室2厅 | 132.76平米 | 南 | 精装 | 中楼层(共11层) | 2003年建 | 板楼,https://image1.ljcdn.com/x-se/hdic-frame/11005290-019e-49e6-a766-b98ac6b22b4a.png.296x216.jpg
