20200208,闵行,航华,宝丽花苑 中间楼层双南临河景观 全新精装修 随时看必看好房,348万,2室1厅 | 76.18平米 | 南 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_TQvu4EoMb_1.jpg.296x216.jpg
20200208,闵行,航华,全屋地暖，采光楼层，双层断桥铝窗，婚房精装电梯房房主自荐,390万,2室2厅 | 94.8平米 | 南 | 精装 | 中楼层(共13层) | 1995年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_i60FYFkUx_1.jpg.296x216.jpg
20200208,闵行,航华,景观楼层 售后公房满五唯一 近71路无轨电车 诚意卖房主自荐,257万,2室1厅 | 64.33平米 | 南 北 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_mjwIeoAr3_1.jpg.296x216.jpg
20200208,闵行,航华,明星小区 景观花园三房 税少 精装修 好房成交快,500万,3室2厅 | 101.74平米 | 南 | 精装 | 低楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/9e41192b-dd20-4a0b-a04a-cf36c6864c8c_1000.jpg.296x216.jpg
20200208,闵行,航华,此房是全明户型，双卧朝南地铁300米步行，中间楼层,327万,2室1厅 | 71.76平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_60unJWkoZ_1.jpg.296x216.jpg
20200208,闵行,航华,航华一村 3室1厅 360万,360万,3室1厅 | 88.64平米 | 南 北 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_fIVyGr78Z_1.jpg.296x216.jpg
20200208,闵行,航华,边套南北小三房，满五唯一，税少房主自荐,343万,3室1厅 | 88.56平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-00729d57-258d-4ebb-8cf0-62163be2a3c0.jpg.296x216.jpg
20200208,闵行,航华,店长推荐！东航住宅房，地铁中间层大三房，户型方正,409万,3室2厅 | 92.6平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-1bd286bf-819e-45c4-b46e-b6d6ce1dc31b.jpg.296x216.jpg
20200208,闵行,航华,总价低，楼层低，看房方便，随时入住，房东诚心出售,275万,2室1厅 | 65.45平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 暂无数据,https://image1.ljcdn.com/310000-inspection/test-7a09c711-495e-40c8-a89a-65f15b76b804.png.296x216.jpg
20200208,闵行,航华,满五年唯一，中间楼层，看房随时！房主自荐,346万,2室1厅 | 76.18平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-4f9cad00-64ed-4927-a248-9d66e2ec2422.jpg.296x216.jpg
20200208,闵行,航华,嘉丰新苑 中间层大三房 满五年 诚意出售 交通便捷,560万,3室2厅 | 116平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_AaDwhvudL_1.jpg.296x216.jpg
20200208,闵行,航华,航华一村双南大两房 价格公道户型正气 欢迎咨询,279万,2室1厅 | 68.9平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_sw0ZmdKqQ_1.jpg.296x216.jpg
20200208,闵行,航华,婚房装修双南大两房，卖相好，格局棒，可节省装修成本,315万,2室1厅 | 77.06平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e03a30b9-aa49-4257-a8d9-d22e960014e8.jpg.296x216.jpg
20200208,闵行,航华,为您的家人选择一个满意的家，双南精装两房诚意出售房主自荐,280万,2室1厅 | 73.7平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-94a95eab-1d4e-4c2f-b431-dbc9be102447.jpg.296x216.jpg
20200208,闵行,航华,西边套，全明户型，售后公房，地铁450米，公园作伴！,378万,3室1厅 | 90.21平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d53a26f7-2e16-4b0c-9b58-a487fcd5c16f.jpg.296x216.jpg
20200208,闵行,航华,精装南北小两室 售后公房 钥匙在手法拉利展厅体育公园,275万,2室1厅 | 55.95平米 | 南 北 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_5LCe4WeJH_1.jpg.296x216.jpg
20200208,闵行,航华,航华一村精装修两房 大客厅 边套全明户型 诚意出售,480万,2室2厅 | 99.55平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-3022aae6-89f4-4c1e-aa2b-17a773ef50de.jpg.296x216.jpg
20200208,闵行,航华,航华二村信利苑 1室1厅 249万房主自荐,249万,1室1厅 | 56.54平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-13633b13-9943-4aee-bb85-645d25a91e59.jpg.296x216.jpg
20200208,闵行,航华,地铁一房，南北通，全明、舒适、宽敞,259万,1室1厅 | 57.7平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-34f8e005-da48-4995-86af-b3c7a47cb64c.jpg.296x216.jpg
20200208,闵行,航华,航华一楼带天井 精装修一房 满五唯一 税费少 房东诚意,210万,1室1厅 | 44.95平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_4awKZ9PYG_1.jpg.296x216.jpg
20200208,闵行,航华,中间层南北两房，客厅带阳台，全明户型，上家无增值税,260万,2室1厅 | 56.42平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_5s6rQwIEs_1.jpg.296x216.jpg
20200208,闵行,航华,精装两房，位置好，光线美，近地铁，看房方便。,315万,2室1厅 | 79.23平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_kcrcWinJt_1.jpg.296x216.jpg
20200208,闵行,航华,航华二村二 两房朝南带花园 交通便利 业主诚意出售,318万,2室1厅 | 66.18平米 | 南 | 精装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_tOpFqzAoT_1.jpg.296x216.jpg
20200208,闵行,航华,近地铁一梯两户，商品房，满五唯一，业主诚意出售！,258万,2室1厅 | 64.66平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_mZpzJ8E0g_1.jpg.296x216.jpg
20200208,闵行,航华,电梯精装两房，税费少，老少皆宜，一楼有垫高房主自荐,296万,2室1厅 | 62.5平米 | 南 北 | 精装 | 低楼层(共14层) | 1993年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_BeQ7Z9Ozf_1.jpg.296x216.jpg
20200208,闵行,航华,一梯一户，满五唯一，精装三房，交通便利，配套成熟,560万,3室2厅 | 112.49平米 | 南 | 精装 | 低楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_nGAuUCsgh_1.jpg.296x216.jpg
20200208,闵行,航华,10号线800米，双南户型，满五年唯一，业主诚意出售,320万,2室1厅 | 66.9平米 | 南 | 其他 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_0aFqXzYeL_1.jpg.296x216.jpg
20200208,闵行,航华,低楼层两房，客厅大，航华一村南小区很安静，有车位,335万,2室1厅 | 75.23平米 | 南 | 精装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_w3uEGyCuQ_1.jpg.296x216.jpg
20200208,闵行,航华,近地铁，近公园，近商务区，正气一房，满五年唯一！,239万,1室1厅 | 51平米 | 南 北 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_M0TjZMkse_1.jpg.296x216.jpg
20200208,闵行,航华,新明星电梯两房 业主急售 30万精装地暖 带中z央空调,470万,2室2厅 | 90.68平米 | 南 | 精装 | 低楼层(共8层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_FaPhrOvdz_1.jpg.296x216.jpg
20200208,闵行,航华,满五唯一，小区清净舒适，高楼层采光好，71路直达外滩房主自荐,580万,3室2厅 | 144.07平米 | 南 北 | 精装 | 高楼层(共13层) | 1994年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_8TXfQPUAK.jpg.296x216.jpg
20200208,闵行,航华,老房东售房，  精装一楼带天井，诚意出售，看房随时,185万,1室1厅 | 37.42平米 | 南 | 精装 | 低楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_arxYdTJHp_1.jpg.296x216.jpg
20200208,闵行,航华,丹桂花园 商品房小区 经典户型 一眼看不中都不现实房主自荐,390万,2室1厅 | 81.54平米 | 南 | 精装 | 中楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-7514a69e-6f62-4c63-8b85-84a60766fe41.jpg.296x216.jpg
20200208,闵行,航华,虹桥版块辐射区 精装修 拎包入住 落地窗采光无限好,265万,2室1厅 | 60.4平米 | 南 北 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-6d72d6d7-4baf-41bd-97f2-1636316e119c.jpg.296x216.jpg
20200208,闵行,航华,满二唯一，南北三房西边套，品质小区，一楼有半层垫高房主自荐,475万,3室2厅 | 96.22平米 | 南 | 简装 | 低楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b42bab54-7492-469c-8dc6-a11840bb2627.jpg.296x216.jpg
20200208,闵行,航华,房子满五唯一  没有个税  小区自带会所 99年商品房,695万,3室2厅 | 143.61平米 | 南 北 | 简装 | 中楼层(共8层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c48a8e82-44e4-4cc5-b679-3d3e2ceb1bec.jpg.296x216.jpg
20200208,闵行,航华,华菁公寓位置好 户型好的三房两厅 满五唯一诚意出售,565万,3室2厅 | 145.57平米 | 南 | 毛坯 | 高楼层(共13层) | 1995年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-f3ddc2e5-dbda-4d79-bed4-6d62bbb7bac7.jpg.296x216.jpg
20200208,闵行,航华,中间楼层，四村少有户型，动迁房，满五唯一，低税费！,325万,2室1厅 | 76.15平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-56208439-a6d8-415f-a332-da1787e7dd29.jpg.296x216.jpg
20200208,闵行,航华,满五唯一，仅有边套全明户型 带车位出售 看房随时.,330万,2室1厅 | 72平米 | 南 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-9dd3e6cc-3aa3-43da-9b9b-9fdc23fcfa85.jpg.296x216.jpg
20200208,闵行,航华,2002年的商品房，满五唯一无个税，看房有钥匙随时房主自荐,420万,2室2厅 | 92.31平米 | 南 北 | 简装 | 高楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-1900cc02-e121-4568-976f-19fc70c8b84b.jpg.296x216.jpg
20200208,闵行,航华,航华二村信利苑 2室1厅 333万,333万,2室1厅 | 75.31平米 | 南 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_UcvuUAa0p_1.jpg.296x216.jpg
20200208,闵行,航华,价格可谈，71路无轨电车，交通便利房主自荐,210万,1室1厅 | 46.32平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f1306357-144f-47e9-9412-75e4cde22fc3.jpg.296x216.jpg
20200208,闵行,航华,公园入口的景观房 带车位出售 唯一套 精装三房南北通,395万,3室2厅 | 92.6平米 | 南 北 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-634c949f-9a57-4ea0-ad82-2fbb2b4cc208.png.296x216.jpg
20200208,闵行,航华,满五不唯一，南北三房精装修，全明格局，采光通风好,599万,3室2厅 | 130.34平米 | 南 北 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c64b3290-8da4-4542-a991-984e97eb684d.jpg.296x216.jpg
20200208,闵行,航华,三房急售 正在装修 中间楼层  满五唯一  好房等你来,355万,3室1厅 | 82.73平米 | 南 | 毛坯 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c56dd055-ce4a-4006-a835-e630c6226ed3.jpg.296x216.jpg
20200208,闵行,航华,航华四村精装三房 底层带花园 满五年 随时看房急售,410万,3室1厅 | 83.95平米 | 南 | 精装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_XbmTUK12a_1.jpg.296x216.jpg
20200208,闵行,航华,南北三房，经典户型，景观楼层，有钥匙随时看,440万,3室2厅 | 106.86平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_VwTme3cPY.jpg.296x216.jpg
20200208,闵行,航华,春之苑， 小区央坐，中间楼层，税费低，看房随时,610万,3室2厅 | 123.14平米 | 南 北 | 简装 | 中楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_WVRJXnhKi_1.jpg.296x216.jpg
20200208,闵行,航华,满五唯一，一楼有垫高带花园，精装大三房，户型正气,620万,3室2厅 | 129.13平米 | 南 | 简装 | 低楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_EbBA0nBCq_1.jpg.296x216.jpg
20200208,闵行,航华,双南全明两房两厅，业主诚心出售，商品房小区，采光好,430万,3室1厅 | 96.33平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/2cf8a929-8bdf-4ed7-aa6e-cf277961ffd0_1000.jpg.296x216.jpg
20200208,闵行,航华,航华四村三街坊 满五年 采光好 交通便利 诚意出售房主自荐,375万,3室1厅 | 91.6平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/b9c7e4e2-4d67-4dfd-aae4-7a9e580a499e_1000.jpg.296x216.jpg
20200208,闵行,航华,单价3.8万、单价3.8万、单价3.8万，满五唯一、便宜,348万,2室2厅 | 89.3平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_pDgUuXQdi_1.jpg.296x216.jpg
20200208,闵行,航华,店长推荐：七宝电梯大三房、看房方便，诚意出售,650万,3室2厅 | 136.36平米 | 南 北 | 精装 | 低楼层(共8层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_WL486UOyi_1.jpg.296x216.jpg
20200208,闵行,航华,店长推荐：七宝大3房，带阁楼，业主自住，电梯已签。,550万,3室2厅 | 127.04平米 | 南 北 | 简装 | 高楼层(共6层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/c90c81ba-b88c-4158-8a25-97ccc33fab18_1000.jpg.296x216.jpg
20200208,闵行,航华,满两年 中间楼层 买进价格高增值税少 看房随时,580万,3室3厅 | 122.55平米 | 南 北 | 精装 | 中楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_2vqfh4cxV_1.jpg.296x216.jpg
20200208,闵行,航华,品质小区 楼层安静好风光 南北通风 满五唯一 急售！,329万,1室1厅 | 61.08平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a32d41fe-4356-4fb6-922d-805c5671f1ea.jpg.296x216.jpg
20200208,闵行,航华,中间楼层 小区前排 采光无遮挡 满五税费少 随时看房房主自荐,330万,2室2厅 | 75.31平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-089035bd-39e8-4d1d-8f26-6ae35cbe160e.jpg.296x216.jpg
20200208,闵行,航华,双南两房，一梯三户，中间楼层，房改售房无增值税,305万,2室1厅 | 66.57平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/0becf5d4-02d1-4be0-a74b-81b1d26d59eb_1000.jpg.296x216.jpg
20200208,闵行,航华,中间楼层小三房，无增值税无个税，可以看到体汇+红馆,459万,3室1厅 | 96.06平米 | 南 北 | 精装 | 中楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-28986696-d929-48d4-9205-77770ea81d46.png.296x216.jpg
20200208,闵行,航华,精装三房，景观五楼，无遮挡，自住满3年 南北通风好房房主自荐,495万,3室2厅 | 103.87平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-60021753-8a0a-45e0-a866-b7ad1f4593c3.jpg.296x216.jpg
20200208,闵行,航华,中间楼层，小区中间位置，中等装修，南北通，看房方便,275万,2室1厅 | 60.31平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_pKlgakyEk_1.jpg.296x216.jpg
20200208,闵行,航华,四村52.34平南北三楼二房，房东人好，价格可谈,247万,2室1厅 | 52.34平米 | 南 北 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-3239241e-a272-494f-b216-2ccc040dd073.jpg.296x216.jpg
20200208,闵行,航华,景观楼层，居住感舒适的一室一厅。,200万,1室1厅 | 47.8平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,https://image1.ljcdn.com/310000-inspection/prod-4ad96b34-b63c-43d7-af5e-5482d27abe88.jpg.296x216.jpg
20200208,闵行,航华,此房满五年唯一， 刚需大一房，楼层位置佳。,298万,1室1厅 | 63平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e6c8a687-1b4b-47d5-84de-b49ecc256e7f.jpg.296x216.jpg
20200208,闵行,航华,华菁公寓 2室2厅 360万,360万,2室2厅 | 94.8平米 | 南 | 简装 | 高楼层(共13层) | 1995年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-54d2f0fa-5028-4565-b4e9-6a26bd9f0485.jpg.296x216.jpg
