20200208,浦东,宣桥,一首动迁税费少，业主诚意价格可谈户型正气采光通透必看好房,182万,2室2厅 | 94.16平米 | 南 | 简装 | 低楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_rpyJ8wo5t_1.jpg.296x216.jpg
20200208,浦东,宣桥,小区仅有的商品房，南北双阳台，急售  精装修,203万,2室2厅 | 105.11平米 | 南 | 精装 | 低楼层(共11层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-71ebdf48-2903-40f6-a36b-110ed300a3c9.jpg.296x216.jpg
20200208,浦东,宣桥,婚房自住装修25万，看房方便，满五年出入方便，诚售,238万,3室2厅 | 120.91平米 | 南 北 | 精装 | 中楼层(共6层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-4098431c-1dde-46a2-8551-b9d463b3aace.jpg.296x216.jpg
20200208,浦东,宣桥,动迁房税费少，单价低，随时看房，房东诚心出售,182万,2室1厅 | 103.64平米 | 南 | 简装 | 低楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-39170196-002b-4ad8-bc40-ac028df171a5.jpg.296x216.jpg
20200208,浦东,宣桥,欣荷苑精装修两房，中间楼层，采光好，近地铁,195万,2室2厅 | 93.21平米 | 南 北 | 精装 | 中楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-519e3d6a-8182-4559-a2dc-6f3ea3a7c691.jpg.296x216.jpg
20200208,浦东,宣桥,居家装修，满五唯一，景观楼层，诚心出售房主自荐,214万,2室2厅 | 95.29平米 | 南 | 精装 | 中楼层(共11层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_zTeMPnCCv_1.jpg.296x216.jpg
20200208,浦东,宣桥,满五唯一 宣桥火热小户型 急卖,155万,2室1厅 | 66.94平米 | 南 | 精装 | 低楼层(共11层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Gohiax3me_1.jpg.296x216.jpg
20200208,浦东,宣桥,中层大三房 两房朝南 超大客厅 税费少 采光充足,248万,3室2厅 | 135.96平米 | 南 | 简装 | 中楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_B9m4LBBCi_1.jpg.296x216.jpg
20200208,浦东,宣桥,宣桥小户型  诚心急卖 温馨大一房,152万,1室1厅 | 66.94平米 | 南 | 精装 | 低楼层(共11层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_15S5D5aCj_1.jpg.296x216.jpg
20200208,浦东,宣桥,房东诚心出售  房间朝南客厅朝南 带阁楼可以做房间,150万,1室2厅 | 67.8平米 | 南 | 毛坯 | 高楼层(共6层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_54869FtjF.jpg.296x216.jpg
20200208,浦东,宣桥,欣春苑 2室2厅 186万,186万,2室2厅 | 105平米 | 南 北 | 其他 | 低楼层(共11层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_JIJetd7jq_1.jpg.296x216.jpg
20200208,浦东,宣桥,满五唯一  装修好  标准两房 急售,180万,2室1厅 | 77平米 | 南 | 精装 | 高楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_HIB5MFzsx_1.jpg.296x216.jpg
20200208,浦东,宣桥,店长推荐 婚房装修 业主置换程序出售,210万,2室2厅 | 105平米 | 南 北 | 精装 | 中楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-367dd298-8865-4755-94d4-00c101009294.jpg.296x216.jpg
20200208,浦东,宣桥,非顶楼，满五唯一，精装修，自住保养好，看房方便,200万,2室1厅 | 93.97平米 | 南 北 | 精装 | 高楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-8fa06513-79b1-4db3-94d2-28a26a85aca1.jpg.296x216.jpg
20200208,浦东,宣桥,此房为 叠加带花园别墅，精致装修拎包即住,828万,5室2厅 | 231.75平米 | 南 | 精装 | 低楼层(共5层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/6b3019c8-4997-4649-8aab-ade4f8b527a1.JPG.296x216.jpg
20200208,浦东,宣桥,欣春苑 2室2厅 216万,216万,2室2厅 | 95.29平米 | 南 北 | 精装 | 高楼层(共11层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/e740a9ab-54ba-4350-9ecd-05482a0706b1.JPG.296x216.jpg
20200208,浦东,宣桥,南瑞别墅独栋，户型正气。南北通,1100万,4室2厅 | 439.63平米 | 南 | 毛坯 | 低楼层(共2层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/e1aa3846-3be5-4c34-b24c-5d97f68051f7.JPG.296x216.jpg
20200208,浦东,宣桥,九九别墅 地中海风情 独栋别墅 环境优雅 随时可以看房,950万,4室2厅 | 304.41平米 | 南 北 | 简装 | 低楼层(共1层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/5409b64c-68cb-4ca6-a49e-cdb722c94df6.JPG.296x216.jpg
20200208,浦东,宣桥,复式新精装修，上叠别墅，尊享两层，业主诚心出售。房主自荐,690万,4室3厅 | 185.44平米 | 南 | 精装 | 中楼层(共5层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/b4abc8f2-305f-42fc-8d5c-f6ff8f4164ae.jpg.296x216.jpg
20200208,浦东,宣桥,九九别墅、 300平大花园，此户型只此一套、看房方便！,1050万,5室4厅 | 250.35平米 | 南 | 精装 | 低楼层(共2层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/43138208-8469-4d55-a584-8cb836435b58.JPG.296x216.jpg
20200208,浦东,宣桥,精装修双拼别墅，带地下室有花园，满五唯一诚心售,1060万,4室2厅 | 260.3平米 | 南 | 精装 | 低楼层(共2层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/834fa7fe-4205-48ed-9377-fd719417dd85.jpg.296x216.jpg
20200208,浦东,宣桥,联排带花园，精装带地暖，管家物业 新体验，诚心出售房主自荐,1120万,5室4厅 | 292.85平米 | 南 | 精装 | 低楼层(共1层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/08cad1a8-4597-4673-a56a-3c1ed3f66b55.jpg.296x216.jpg
20200208,浦东,宣桥,别墅带花园带地下室，没有入住过，精致装修拎包即住，,830万,5室2厅 | 231.88平米 | 南 | 精装 | 低楼层(共5层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/8255bdff-8f50-4387-98ce-1a8291391f55.jpg.296x216.jpg
20200208,浦东,宣桥,欣松苑 3室2厅 240万,240万,3室2厅 | 136.09平米 | 南 | 其他 | 中楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_iwlCGWLnb_1.jpg.296x216.jpg
20200208,浦东,宣桥,欣兰苑 3室2厅 245万房主自荐,245万,3室2厅 | 120平米 | 南 | 精装 | 高楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_DPvbatfGf.jpg.296x216.jpg
20200208,浦东,宣桥,原始毛坯，可自己精心装修，追求高品质生活,980万,4室2厅 | 226.37平米 | 南 | 毛坯 | 低楼层(共1层) | 2004年建 | 板楼,https://image1.ljcdn.com/shfdfs-image/20171025/a448a049-03f6-437e-8673-5202555e6bb1.jpg.296x216.jpg
20200208,浦东,宣桥,装修清爽+房型正气+南北通+采光好+满五唯一,265万,3室2厅 | 129.07平米 | 南 | 精装 | 低楼层(共11层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_8xh3D0qMu_1.jpg.296x216.jpg
20200208,浦东,宣桥,欣松苑一手动迁 省税费，南北通采光充足，看房方便房主自荐,185万,2室2厅 | 94平米 | 南 北 | 简装 | 低楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_y4peiBZX0_1.jpg.296x216.jpg
20200208,浦东,宣桥,欣春苑 2室2厅 218万,218万,2室2厅 | 105.11平米 | 南 | 其他 | 高楼层(共11层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_6HEXCWCTn_1.jpg.296x216.jpg
20200208,浦东,宣桥,满五唯一 业主诚心出售  业主自住装修 看房提前联系,1150万,5室2厅 | 295.83平米 | 东南 | 精装 | 低楼层(共2层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/5971fb32-2d59-4d4a-80ec-6f24bcf42b62.JPG.296x216.jpg
20200208,浦东,宣桥,精装两房，朝南采光好，南北通，中间楼层无遮挡,190万,2室1厅 | 77.08平米 | 南 北 | 精装 | 中楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_PKuUVAmSn_1.jpg.296x216.jpg
20200208,浦东,宣桥,自住精装修，中间楼层，视野采光好，价格可谈，随时看,220万,2室2厅 | 94.16平米 | 南 | 精装 | 中楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-1276c855-873f-4900-b25c-731f06670589.jpg.296x216.jpg
20200208,浦东,宣桥,南瑞别墅 4室2厅 1100万,1100万,4室2厅 | 263.72平米 | 南 北 | 毛坯 | 低楼层(共2层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/43b8c2b5-c0ca-481e-9caf-6f6d699df1d5.JPG.296x216.jpg
20200208,浦东,宣桥,九九别墅精装空调地暖500平花园全南户型临河大平台房主自荐,1300万,4室2厅 | 266.45平米 | 南 北 | 精装 | 低楼层(共2层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/6c21c307-02e7-4346-86d5-1259633bfbbb.jpg.296x216.jpg
20200208,浦东,宣桥,欣荷苑 3室1厅 255万,255万,3室1厅 | 120.64平米 | 南 | 其他 | 高楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_egLTYSfFu_1.jpg.296x216.jpg
20200208,浦东,宣桥,原始毛坯，适宜追求品质，放松心情，要精心装修，,970万,4室2厅 | 440平米 | 南 | 毛坯 | 低楼层(共2层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/a4349f75-efba-42ff-a49e-0feb4f6f349e.JPG.296x216.jpg
20200208,浦东,宣桥,欣菊苑顶楼带阁楼，精装自住， 看房方便，诚意出售,260万,3室2厅 | 142.75平米 | 南 | 精装 | 高楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/e659167a-08b0-45b5-a023-c6cf308cde39.jpg.296x216.jpg
20200208,浦东,宣桥,欣松苑 一手动迁 业主自住精装两房 看房方便,200万,2室1厅 | 93.97平米 | 南 | 精装 | 低楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/rsp_pic_upload52fade7b-16e3-4705-8e9d-3d1679108d62.jpg.296x216.jpg
20200208,浦东,宣桥,欣菊苑 4室2厅 278万,278万,4室2厅 | 135.96平米 | 南 北 | 毛坯 | 高楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/9215b777-6b4d-4a7d-b1ad-10fcf77693bd.jpg.296x216.jpg
20200208,浦东,宣桥,欣春苑精装两房一手动迁，  诚意出售看房方便有钥匙,180万,2室1厅 | 89.07平米 | 南 北 | 简装 | 低楼层(共6层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/12ea1cc2-ba98-432d-a5ed-6854edbd7bc1.JPG.296x216.jpg
20200208,浦东,宣桥,欣兰苑一手动迁房，中间楼层小区中间位置，看房方便,280万,3室2厅 | 136.09平米 | 南 | 毛坯 | 中楼层(共6层) | 2007年建 | 板楼,
