20200208,浦东,书院镇,品质装修，家具家电全不带走，买来直接入住必看好房,192万,3室2厅 | 103.83平米 | 南 | 精装 | 高楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_UQuoi6ehU.jpg.296x216.jpg
20200208,浦东,书院镇,临港新片区，附带20平方露台、使用面积高、2房朝南,125万,2室1厅 | 60.11平米 | 南 | 简装 | 高楼层(共6层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-0dfa48b5-32f3-4288-b162-9e1b96969b90.jpg.296x216.jpg
20200208,浦东,书院镇,一楼、视野宽阔、采光无遮挡、正朝南户型,143万,2室2厅 | 80.08平米 | 南 北 | 简装 | 低楼层(共5层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-74eab9e5-c741-48e5-a631-e72728963c08.jpg.296x216.jpg
20200208,浦东,书院镇,南北通，  清水毛坯，电梯三房，房龄新，业主诚心卖。,192万,3室2厅 | 101.69平米 | 南 北 | 毛坯 | 低楼层(共12层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-5ad36677-ae75-4249-bc39-bbcf12db158c.jpg.296x216.jpg
20200208,浦东,书院镇,书院镇 电梯房 机会只有一次，不看这套房子会后悔。,133万,1室1厅 | 57.84平米 | 南 | 简装 | 高楼层(共13层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-bc4d9614-3826-4cf0-87bd-bdcd4cbd48db.jpg.296x216.jpg
20200208,浦东,书院镇,顶楼带大露台，大阳台，可以在家里跑步,203万,3室2厅 | 122.94平米 | 南 | 毛坯 | 高楼层(共5层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_NkfIptuR9.jpg.296x216.jpg
20200208,浦东,书院镇,临港新片区 顶楼带阁楼，大三房，精装修，采光好。,205万,3室1厅 | 124.2平米 | 南 北 | 精装 | 高楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_i0BDvZUqL_1.jpg.296x216.jpg
20200208,浦东,书院镇,大三房，南北户型，业主诚心卖，视野好,180万,3室2厅 | 103.57平米 | 南 | 简装 | 高楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-a79fd869-42f6-46e2-8435-3d4629743d3c.png.296x216.jpg
20200208,浦东,书院镇,多层的中间楼层，南北户型采光好，业主诚意出售！,216万,3室2厅 | 121.67平米 | 南 | 毛坯 | 中楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_yJLAzmMeh_1.jpg.296x216.jpg
20200208,浦东,书院镇,临港片区2008年竣工的小区，低楼层南北户型，出入方便,105万,1室1厅 | 52.55平米 | 南 | 毛坯 | 低楼层(共2层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-7f36bc3d-76a0-4846-b2ff-9245f1b3e0ba.png.296x216.jpg
20200208,浦东,书院镇,精装大三房，直接拎包入住，户型好，房东诚心,229万,3室2厅 | 129平米 | 南 | 精装 | 中楼层(共6层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-6877eaf3-5f16-46da-93b1-984b3f765347.jpg.296x216.jpg
20200208,浦东,书院镇,前排无遮挡、有钥匙看房方便、业主诚意出售,160万,2室1厅 | 79.63平米 | 南 北 | 精装 | 中楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_JA1XY2nPt.jpg.296x216.jpg
20200208,浦东,书院镇,房产证满五年，看房有钥匙，带电梯，小区物业管理好！,136万,1室1厅 | 65.94平米 | 南 | 精装 | 低楼层(共13层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_SjDHuHK1k.jpg.296x216.jpg
20200208,浦东,书院镇,刚需毛坯两房，楼层好，采光不错,140万,2室1厅 | 70平米 | 南 | 毛坯 | 高楼层(共6层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_e6izwxHTK.jpg.296x216.jpg
20200208,浦东,书院镇,临港好房满两年，位置好，动静分离户型,222万,3室2厅 | 122.74平米 | 南 北 | 简装 | 低楼层(共5层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-8366ba19-5db2-411e-bd9a-c5deb4b6df99.jpg.296x216.jpg
20200208,浦东,书院镇,临港大区经典大三房，中高楼层，采光通风好，南北通透,180万,3室2厅 | 102.93平米 | 南 北 | 毛坯 | 高楼层(共6层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-945bafbc-1017-4c15-80bc-61596c4c1689.jpg.296x216.jpg
20200208,浦东,书院镇,诚售临港品质小区精装大三房，采光无遮挡，南北好楼层,200万,3室1厅 | 102.71平米 | 南 | 精装 | 高楼层(共6层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_zMpEyuVwF_1.jpg.296x216.jpg
20200208,浦东,书院镇,业主自住，婚房装修，看房方便，诚心出售！,190万,3室2厅 | 101.86平米 | 南 | 精装 | 高楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Sm4IXsJaC.jpg.296x216.jpg
20200208,浦东,书院镇,临港精装带阁楼，自住装修保养好，出入方便交通便利,208万,3室2厅 | 124.63平米 | 南 北 | 精装 | 高楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_yOTywgnNb.jpg.296x216.jpg
20200208,浦东,书院镇,临港少有的大四房，精装修，海阔天空，业主诚意出售,246万,4室2厅 | 164平米 | 南 | 精装 | 高楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_k2oBy8ogV.jpg.296x216.jpg
20200208,浦东,书院镇,临港 书院镇三房 户型好，有阁楼,183万,3室2厅 | 103.41平米 | 南 北 | 毛坯 | 高楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_4DLkY4gpb_1.jpg.296x216.jpg
20200208,浦东,书院镇,临港大三房，精装，有阁楼，户型佳，诚心出售。,198万,3室2厅 | 103.56平米 | 南 北 | 精装 | 高楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_XueL25Dtz.jpg.296x216.jpg
20200208,浦东,书院镇,南北户型 , 自住居家装修附带阁楼 ，业主诚意出售！,185万,3室2厅 | 103.41平米 | 南 | 精装 | 高楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_kW9Ckx0SA.jpg.296x216.jpg
20200208,浦东,书院镇,楼层较好无遮挡采光好，大三房，房型正气,175万,3室1厅 | 102.7平米 | 南 | 毛坯 | 中楼层(共6层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_xcBDYJddy.jpg.296x216.jpg
20200208,浦东,书院镇,临港新片区，临河大两房，三开间朝南，精装修房主自荐,175万,2室2厅 | 81.27平米 | 南 | 精装 | 中楼层(共12层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_yzNH21NuX.jpg.296x216.jpg
20200208,浦东,书院镇,临港新片区，电梯大两房，三开间朝南，采光无遮挡,174万,2室1厅 | 81.98平米 | 南 | 精装 | 低楼层(共13层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_stE97Q9JJ.jpg.296x216.jpg
20200208,浦东,书院镇,精装大三房，楼层高，视野采光好,198万,3室2厅 | 103.82平米 | 南 | 精装 | 高楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_hNzUHteZx_1.jpg.296x216.jpg
20200208,浦东,书院镇,格局方正,南北设计,全明通透,，拎包入住。,159万,2室1厅 | 80.52平米 | 南 | 精装 | 高楼层(共6层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_FdTJAVysl.jpg.296x216.jpg
20200208,浦东,书院镇,一楼地基高，不潮，采光充足，小区优美,125万,1室1厅 | 61.03平米 | 南 | 简装 | 低楼层(共12层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_HeDs4aztj.jpg.296x216.jpg
20200208,浦东,书院镇,小户型带电梯，小区房龄新,位置好，业主诚意出售！,130万,1室1厅 | 62平米 | 南 | 精装 | 低楼层(共12层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_uLeWXh9pY_1.jpg.296x216.jpg
20200208,浦东,书院镇,临港大两房 户型正气 中间楼层 采光无遮挡,154万,2室2厅 | 80.3平米 | 南 | 毛坯 | 中楼层(共6层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_dPIbz3O3Z.jpg.296x216.jpg
20200208,浦东,书院镇,精装两房，拎包入住，采光好无遮挡,169万,2室2厅 | 80.2平米 | 南 | 精装 | 低楼层(共6层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_aVLHbdCa8.jpg.296x216.jpg
20200208,浦东,书院镇,两房精装、视野宽阔、窗户无遮挡、采光好，朝南户型,138万,2室1厅 | 60.11平米 | 南 北 | 精装 | 高楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_CeimKFNjw_1.jpg.296x216.jpg
20200208,浦东,书院镇,书院一号，电梯房小户型，总价低，楼层好、采光好。,122万,1室1厅 | 57.84平米 | 南 | 精装 | 低楼层(共13层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_QPuIWq34O_1.jpg.296x216.jpg
20200208,浦东,书院镇,临港新片区精装一室户高楼层视野好环境优美,138万,1室1厅 | 71.18平米 | 南 北 | 精装 | 高楼层(共13层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_v5nrLzjwJ_1.jpg.296x216.jpg
20200208,浦东,书院镇,临港书院南北商品房 大露台 生活好品质 错过跺脚！,195万,2室2厅 | 95.23平米 | 南 北 | 精装 | 低楼层(共11层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_v8MXIy5Rp.jpg.296x216.jpg
20200208,浦东,书院镇,临港大两房中间楼层清水毛坯可塑性高,155万,2室1厅 | 80.6平米 | 南 北 | 毛坯 | 中楼层(共5层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_9dzqf39Y4.jpg.296x216.jpg
20200208,浦东,书院镇,临港新片区电梯房，户型方正，装修好，产证满五唯一,182万,2室2厅 | 93.72平米 | 南 北 | 精装 | 高楼层(共11层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_IPwf8CSvX_1.jpg.296x216.jpg
20200208,浦东,书院镇,临港新片区 精装小户型、税费少，出入方便、交通便利,128万,1室1厅 | 61.49平米 | 南 西 | 精装 | 中楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_FDkhw7m0E_1.jpg.296x216.jpg
20200208,浦东,书院镇,浦东临港新城、中间楼层、南北户型、满五唯一诚意出售,130万,1室1厅 | 62.51平米 | 南 | 简装 | 低楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_VkfXiMuKr_1.jpg.296x216.jpg
20200208,浦东,书院镇,临港新片区，80平两房中间楼层，业主置换诚意出售！,153万,2室1厅 | 80平米 | 南 | 毛坯 | 中楼层(共6层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_otsk57kfe.jpg.296x216.jpg
20200208,浦东,书院镇,小户型户型好总价低适合刚需过度，麻雀虽小五脏俱全,125万,1室2厅 | 61.67平米 | 南 | 精装 | 低楼层(共6层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_vh4A1tW8N_1.jpg.296x216.jpg
20200208,浦东,书院镇,临港新城书院、 两房两厅附带15平米露台、居家装修,159万,2室2厅 | 82.28平米 | 南 | 精装 | 高楼层(共6层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_bu6MpCBMB_1.jpg.296x216.jpg
20200208,浦东,书院镇,临港新城新片区，楼层好、小区房龄新，业主诚意出售！,148万,2室1厅 | 80平米 | 南 | 毛坯 | 中楼层(共5层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_MVfwOJtbc.jpg.296x216.jpg
20200208,浦东,书院镇,多层五楼、清水毛坯，小区景观位置，置换诚心出售、,195万,3室2厅 | 124.25平米 | 南 北 | 毛坯 | 高楼层(共6层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ed5406b5-fee8-4762-9f93-3e1a312f5a74.jpg.296x216.jpg
20200208,浦东,书院镇,清水毛坯诚心卖，书院小闹区，生活好品质。不容错过！,142万,2室1厅 | 71平米 | 南 北 | 毛坯 | 低楼层(共6层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_sL6v5cQp1_1.jpg.296x216.jpg
20200208,浦东,书院镇,精装的临港大三房！双阳台！海阔天空！,240万,3室2厅 | 129平米 | 南 | 精装 | 中楼层(共6层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ciOLICbEw_1.jpg.296x216.jpg
20200208,浦东,书院镇,临港新区简装房，窗户无遮挡、采光好，正朝南户型,195万,3室2厅 | 102.9平米 | 南 | 简装 | 低楼层(共4层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_xr0XCyeql_1.jpg.296x216.jpg
20200208,浦东,书院镇,临港大三房，精品装修，拎包入住，业主诚心出售。,200万,3室2厅 | 103.83平米 | 南 | 精装 | 低楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_m5g7kFv3y_1.jpg.296x216.jpg
20200208,浦东,书院镇,临港新城，楼层三房，南北户型，看房方便，诚意出售,220万,3室2厅 | 124.12平米 | 南 北 | 精装 | 高楼层(共5层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Z4IgCyva7_1.jpg.296x216.jpg
20200208,浦东,书院镇,精装修大三房，南北户型，中间楼层采光好,202万,3室2厅 | 104.09平米 | 南 北 | 其他 | 高楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_G5MOlzJun.jpg.296x216.jpg
20200208,浦东,书院镇,两房朝南户型、清水毛坯、楼层佳，看房提前联系,185万,3室1厅 | 102.71平米 | 南 北 | 毛坯 | 低楼层(共6层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-05ff7e3f-b717-4ac1-8d24-7fe33b5df110.png.296x216.jpg
20200208,浦东,书院镇,书院精装一房，公园散步小孩玩耍好去处，闹中取静,133万,1室1厅 | 65.94平米 | 南 | 精装 | 低楼层(共13层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b6e1d5f7-db8e-4db3-9c3d-4ee2705e7063.jpg.296x216.jpg
20200208,浦东,书院镇,拎包入住好楼层户型佳视野好诚心卖房主自荐,165万,2室1厅 | 81.9平米 | 南 | 精装 | 中楼层(共5层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-de8f2e9c-68a5-4ae0-b3e1-0d11069405e3.jpg.296x216.jpg
20200208,浦东,书院镇,新片区  精装大三房5楼、税费少，出入方便、交通便利,203万,3室2厅 | 102.45平米 | 南 | 精装 | 高楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-906a7d54-9f99-4223-8171-7d2f83eb4081.png.296x216.jpg
20200208,浦东,书院镇,临港电梯大三房，婚房装修南北通透，白领才俊置业优选,220万,3室2厅 | 100.75平米 | 北 南 | 精装 | 高楼层(共12层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-65196b94-3d1f-430a-b7f8-6cf28dec603b.jpg.296x216.jpg
20200208,浦东,书院镇,电梯中间楼层，楼层好看房方便业主置换诚心卖,133万,1室2厅 | 61.03平米 | 南 | 毛坯 | 中楼层(共12层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a00e4953-d8f3-46ad-99d6-adc8465abb6a.jpg.296x216.jpg
20200208,浦东,书院镇,临港自贸区新片区，两房中间楼层白领刚需置业精选,156万,2室1厅 | 80.01平米 | 南 北 | 毛坯 | 低楼层(共6层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a6fab924-5ec9-476e-924e-6a122bafcdf3.jpg.296x216.jpg
20200208,浦东,书院镇,临港新片区，毛坯便于装修，动静分离户型，采光无遮挡,170万,3室1厅 | 102.26平米 | 南 北 | 毛坯 | 低楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_NiHHbeJ7F.jpg.296x216.jpg
20200208,浦东,书院镇,书院电梯大一房，清水毛坯可塑高，养老、丁克好选择。,159万,1室2厅 | 71.18平米 | 南 | 毛坯 | 高楼层(共13层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_HMXrBEsyF_1.jpg.296x216.jpg
20200208,浦东,书院镇,临港大一房，刚需好选择，一楼出行方便,135万,1室1厅 | 62.75平米 | 南 北 | 简装 | 低楼层(共6层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_FZQfNfDoC_1.jpg.296x216.jpg
20200208,浦东,书院镇,中间楼层~采光好~格局方正~尽享临港！舒适生活！,152万,2室1厅 | 80.31平米 | 南 | 毛坯 | 中楼层(共6层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_vMgtftEtX_1.jpg.296x216.jpg
20200208,浦东,书院镇,临港新片区，次新房小区，开发商装修，小区物业完善,130万,1室1厅 | 57.84平米 | 南 北 | 精装 | 中楼层(共13层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_81AGgB4EU_1.jpg.296x216.jpg
20200208,浦东,书院镇,临港书院，电梯房高层，一房带装修，临公园位置好！,148万,1室1厅 | 71.18平米 | 南 | 精装 | 高楼层(共13层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_p3NNoM8AA.jpg.296x216.jpg
20200208,浦东,书院镇,临港新片区 书院镇 商品房好楼层 装修保养好,138万,1室1厅 | 65.69平米 | 南 | 精装 | 中楼层(共13层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e25ab2c8-2c8d-41ce-830c-b3e756b716c1.jpg.296x216.jpg
20200208,浦东,书院镇,丽泽兰馨苑 2室1厅 152万,152万,2室1厅 | 80.08平米 | 南 | 精装 | 中楼层(共5层) | 2008年建 | 板楼,
20200208,浦东,书院镇,大三房，两房朝南，清水毛坯，想象空间十足。,196万,3室2厅 | 103.27平米 | 南 | 毛坯 | 中楼层(共5层) | 2006年建 | 板楼,
20200208,浦东,书院镇,中间楼层户型佳、毛坯房源、通风采光好,140万,1室1厅 | 69.42平米 | 南 | 毛坯 | 高楼层(共6层) | 2011年建 | 板楼,
20200208,浦东,书院镇,低楼层大房推荐，格局方正，不显拥挤,288万,4室2厅 | 163.45平米 | 南 | 精装 | 低楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/shfdfs-image/20170513/a3bb297a-8320-401f-b0e0-426e6525e432.jpg.296x216.jpg
