20200208,宝山,罗店,满5唯一0个税，带地下产权车位，精装3房必看好房,306万,3室2厅 | 87.86平米 | 南 北 | 精装 | 中楼层(共6层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_IB6X44PGy_1.jpg.296x216.jpg
20200208,宝山,罗店,满两年带车位 户型方正 南北通风 两房两卫,368万,2室2厅 | 92.04平米 | 南 | 毛坯 | 低楼层(共6层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_IYb3HLa9W_1.jpg.296x216.jpg
20200208,宝山,罗店,美兰湖中华园  85平精装三房  带露台  诚心售,315万,3室2厅 | 85.57平米 | 南 | 精装 | 低楼层(共6层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_1MwCKgjKG_1.jpg.296x216.jpg
20200208,宝山,罗店,万科琥珀郡园 3室2厅 375万,375万,3室2厅 | 99.22平米 | 南 | 精装 | 低楼层(共8层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_PPGxyLOSI_1.jpg.296x216.jpg
20200208,宝山,罗店,精装底复，中-央-空调，格局较好，带车位房主自荐,410万,3室3厅 | 84.24平米 | 南 北 | 精装 | 低楼层(共6层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_EWjChhH9A_1.jpg.296x216.jpg
20200208,宝山,罗店,美兰湖颐景园 6室3厅 610万,610万,6室3厅 | 197.84平米 | 南 | 精装 | 中楼层(共5层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-57bab282-63e4-4398-afe7-fc86cccb95b5.jpg.296x216.jpg
20200208,宝山,罗店,佳境苑 1室1厅 158万,158万,1室1厅 | 51.16平米 | 南 | 毛坯 | 低楼层(共18层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d2b3141d-001c-409c-8fca-f695d78a789b.jpg.296x216.jpg
20200208,宝山,罗店,远洋七号丨105平三房丨满五唯一丨带有车位丨诚心售房主自荐,385万,3室2厅 | 105.66平米 | 南 北 | 精装 | 中楼层(共12层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_mH0lTPC4w_1.jpg.296x216.jpg
20200208,宝山,罗店,满五唯一，近地铁，房型正，诚意出售，,345万,3室2厅 | 119.83平米 | 南 | 简装 | 中楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_KVHFFfOfe_1.jpg.296x216.jpg
20200208,宝山,罗店,顺驰美兰湖 2室2厅 299万,299万,2室2厅 | 93.94平米 | 南 | 精装 | 高楼层(共5层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_cV6VmEewh_1.jpg.296x216.jpg
20200208,宝山,罗店,美兰湖中华园大平层精装带车位，价格可谈,598万,3室2厅 | 152.88平米 | 南 | 精装 | 高楼层(共6层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_1LSZP64Z3_1.jpg.296x216.jpg
20200208,宝山,罗店,万科琥珀郡园 3室2厅 560万,560万,3室2厅 | 142.45平米 | 南 | 其他 | 低楼层(共8层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_sbf7bV6Ov_1.jpg.296x216.jpg
20200208,宝山,罗店,美兰湖品质小区  经典两房  自由选装做婚房,312万,2室2厅 | 88.62平米 | 南 | 毛坯 | 中楼层(共6层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-79959901-598c-4d48-ad70-3b14a86070de.jpg.296x216.jpg
20200208,宝山,罗店,商品房小区两房，得房率高，房东置换急售,288万,2室2厅 | 83.87平米 | 南 | 精装 | 中楼层(共5层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-6380013e-0dd6-43d6-9d83-e4136e3425c0.jpg.296x216.jpg
20200208,宝山,罗店,精装大平层带产权车位，保养超好，价格可谈，随时看房,469万,3室2厅 | 153.68平米 | 南 | 精装 | 中楼层(共9层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_V3eJnQsss_1.jpg.296x216.jpg
20200208,宝山,罗店,7号线沿线近地铁商品房，总价低满五唯一，房型正气,288万,2室1厅 | 88.11平米 | 南 | 精装 | 中楼层(共5层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/ffd9d7de-9c67-4357-8958-4129972f3644.jpg.296x216.jpg
20200208,宝山,罗店,精装地暖，东边套79+12平，拎包入住，万科品质,340万,2室1厅 | 79.52平米 | 南 | 精装 | 低楼层(共6层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_gfv1OtPhy_1.jpg.296x216.jpg
20200208,宝山,罗店,房子户型方正，厨卫全明，随时可看,233万,2室2厅 | 84.91平米 | 南 | 简装 | 低楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_KZG25OWYn_1.jpg.296x216.jpg
20200208,宝山,罗店,05年一手动迁大两房，南北通户型，税费少，诚心出售房主自荐,250万,2室2厅 | 86.33平米 | 南 北 | 简装 | 高楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_8JFubLmEK_1.jpg.296x216.jpg
20200208,宝山,罗店,精装修，楼层好，视野宽阔，采光好，诚意出售房主自荐,460万,3室2厅 | 123平米 | 南 北 | 精装 | 中楼层(共5层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-49cd4b64-f985-456e-bca8-f8b3ff8ead0b.jpg.296x216.jpg
20200208,宝山,罗店,婚房装修，满五唯一带车位，地暖，南北通，全明,332万,2室2厅 | 87.87平米 | 南 | 精装 | 高楼层(共6层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_XXKd6AUm8_1.jpg.296x216.jpg
20200208,宝山,罗店,万科琥珀郡园 3室2厅 395万,395万,3室2厅 | 99.11平米 | 南 | 精装 | 低楼层(共7层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-d3c20d55-60d7-4408-9340-00c7a726a023.png.296x216.jpg
20200208,宝山,罗店,中华园丨89平精装电梯三层复式丨带地暖丨60平阁楼,410万,4室2厅 | 89.31平米 | 南 | 精装 | 高楼层(共6层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-81f27616-4bb8-4b94-a8bd-e19af25bdad2.png.296x216.jpg
20200208,宝山,罗店,精装电梯三房 带车位 有80平阁楼 满五唯一 户型正气,540万,3室2厅 | 92.29平米 | 南 | 精装 | 高楼层(共6层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-5bf513e9-33f1-41fc-a254-d5412718289e.jpg.296x216.jpg
20200208,宝山,罗店,美兰湖岭域 2室1厅 350万,350万,2室1厅 | 150.89平米 | 南 | 毛坯 | 低楼层(共6层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-59b65099-1821-4928-b617-d47d5177ae49.jpg.296x216.jpg
20200208,宝山,罗店,满五年精装修底楼复式，税少 拎包入住房主自荐,377万,2室1厅 | 87平米 | 南 | 精装 | 低楼层(共6层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_75r9hQbQ5_1.jpg.296x216.jpg
20200208,宝山,罗店,美兰湖颐景园 2室1厅 290万,290万,2室1厅 | 83平米 | 南 | 精装 | 中楼层(共5层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_i6E6O0YK6_1.jpg.296x216.jpg
20200208,宝山,罗店,房型正，双南户型，好楼层 采光好 配套成熟 交通棒,360万,3室2厅 | 92.43平米 | 南 北 | 毛坯 | 高楼层(共6层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-648bcdec-3530-4196-b535-3a4c55022139.jpg.296x216.jpg
20200208,宝山,罗店,满五唯一，南北格局方正，小区少有电梯房房主自荐,568万,6室2厅 | 174.8平米 | 南 北 | 简装 | 中楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-02450f46-a671-4a21-9d57-704587f21a7d.jpg.296x216.jpg
20200208,宝山,罗店,此房满五年唯一，带车位，顶楼复式买一层带一层,500万,3室2厅 | 90.33平米 | 南 | 精装 | 高楼层(共6层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-9bf4bcd7-7ce5-4445-9078-b42f12e7900e.jpg.296x216.jpg
20200208,宝山,罗店,1梯1户，近地铁，精装4房，保养很好,430万,4室2厅 | 89.11平米 | 南 | 精装 | 低楼层(共6层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-7b861fe5-a98e-4b06-8e8e-ed1006bcbdff.jpg.296x216.jpg
20200208,宝山,罗店,满五唯一，楼层好，随时看房，诚意出售,185万,2室1厅 | 69.83平米 | 南 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_kXiLDeIR6_1.jpg.296x216.jpg
20200208,宝山,罗店,楼层好视野宽阔，采光好，自住精装修，诚意出售,420万,4室2厅 | 132平米 | 南 | 精装 | 中楼层(共6层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_yhmi9xaBh_1.jpg.296x216.jpg
20200208,宝山,罗店,铂珏公馆 3室2厅 675万,675万,3室2厅 | 210.95平米 | 南 北 | 精装 | 中楼层(共8层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_hwwbfWnBE_1.jpg.296x216.jpg
20200208,宝山,罗店,美兰湖中华园 3室2厅 330万房主自荐,330万,3室2厅 | 89.55平米 | 东 | 简装 | 中楼层(共6层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_C5JGhGpnN_1.jpg.296x216.jpg
20200208,宝山,罗店,花园好房，带70平地下室，南北透,505万,3室2厅 | 139.5平米 | 南 | 精装 | 低楼层(共6层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_KMhDqRiHf_1.jpg.296x216.jpg
20200208,宝山,罗店,精装二楼带花园带地下室                    。房主自荐,572万,3室2厅 | 263平米 | 南 北 | 毛坯 | 中楼层(共5层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_LHD4a59L2_1.jpg.296x216.jpg
20200208,宝山,罗店,满5唯一，带车位，自住精装修，一楼带地下室,390万,3室2厅 | 142.86平米 | 南 | 精装 | 低楼层(共6层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-6226c551-edf9-4dfa-9624-8501c45ed494.jpg.296x216.jpg
20200208,宝山,罗店,一手纯毛坯，南北通 根据自己的想象设计温馨的家,305万,3室2厅 | 87.87平米 | 南 | 毛坯 | 中楼层(共6层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ab5edcac-b6de-4023-a649-184245294882.jpg.296x216.jpg
20200208,宝山,罗店,精装大三房；满五；好楼层；配套完善；采光好；房型正,340万,3室2厅 | 120.62平米 | 南 | 简装 | 高楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-5ee3eb66-fec9-4def-9697-6f96afa86826.jpg.296x216.jpg
20200208,宝山,罗店,环境优美户型方正通风好精装保养好,460万,3室2厅 | 117.96平米 | 南 | 精装 | 中楼层(共5层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-77e35e19-6fdb-485e-a00d-8a74346c7667.jpg.296x216.jpg
20200208,宝山,罗店,业主保养好，小区位置好，自住随时看房,299万,2室2厅 | 98.04平米 | 南 | 精装 | 低楼层(共9层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-1a272274-6cd5-4c85-822f-2e30589f43c3.jpg.296x216.jpg
20200208,宝山,罗店,满五唯一+40平花园+近地铁+天然氧吧（小区公园）,350万,2室2厅 | 79.52平米 | 南 | 简装 | 低楼层(共6层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e25843f3-da7b-4dcb-be3b-d24d19d5184c.jpg.296x216.jpg
20200208,宝山,罗店,南北通户型 大阁楼 两代人居住也合适房主自荐,440万,3室2厅 | 88.6平米 | 南 | 精装 | 高楼层(共6层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-25665d4d-600e-437c-bfcc-f77d0fb536a0.png.296x216.jpg
20200208,宝山,罗店,满五唯一，中间楼层，双南户型，税费少，诚心出售。房主自荐,215万,2室2厅 | 75.75平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e01b6105-b90e-41a2-9dce-6c2b5793d138.jpg.296x216.jpg
20200208,宝山,罗店,中华园︱161平精装地复︱地下室100平︱满2税少,600万,5室2厅 | 161.78平米 | 南 | 精装 | 低楼层(共6层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_8kG5s0ZB5_1.jpg.296x216.jpg
20200208,宝山,罗店,满五唯一 楼层好 随时签字 诚意出售,175万,2室1厅 | 57.28平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Mx7RG1W6o_1.jpg.296x216.jpg
20200208,宝山,罗店,7号线罗南新村站，精装两房，好楼层，满五唯一诚心卖,198万,2室2厅 | 72.94平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Qy87dq1Mr_1.jpg.296x216.jpg
20200208,宝山,罗店,美兰湖岭域 2室1厅 350万,350万,2室1厅 | 92.55平米 | 南 | 精装 | 低楼层(共6层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_PgGSRxjr4_1.jpg.296x216.jpg
20200208,宝山,罗店,美兰湖岭域 3室2厅 480万,480万,3室2厅 | 91.79平米 | 东南 | 毛坯 | 高楼层(共6层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_VN00vddQA_1.jpg.296x216.jpg
20200208,宝山,罗店,满2年 税少 位置楼层好  带车位 诚心卖  配套齐全！,730万,3室2厅 | 210平米 | 南 北 | 精装 | 高楼层(共8层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_8ViYv2qJ2_1.jpg.296x216.jpg
20200208,宝山,罗店,万科琥珀郡园 3室1厅 420万,420万,3室1厅 | 89.12平米 | 南 | 精装 | 中楼层(共6层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_gHHmHr9Xf_1.jpg.296x216.jpg
20200208,宝山,罗店,满2年 ，带产权车位  80万精装修  诚心卖  能签字,660万,3室2厅 | 210.95平米 | 南 北 | 精装 | 低楼层(共8层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_UEzEJtLHU_1.jpg.296x216.jpg
20200208,宝山,罗店,精装大三房；业主置换房子，诚意出售；看房方便.,405万,3室2厅 | 122.84平米 | 南 | 精装 | 中楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-9c4c2d45-0748-47c8-946c-ef0a6543cdf8.png.296x216.jpg
20200208,宝山,罗店,中华园，品质社区，满五唯一，环境优美，三房精装房主自荐,595万,3室2厅 | 164.19平米 | 南 | 精装 | 低楼层(共6层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d371ce3c-91b6-43ef-b782-ec7c8965567f.jpg.296x216.jpg
20200208,宝山,罗店,自住精装修，户型方正，二楼带花园带地下室，满五唯一房主自荐,549万,4室3厅 | 204.63平米 | 南 | 精装 | 低楼层(共6层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-979fb1d7-25eb-405e-97af-5ec9526b7132.png.296x216.jpg
20200208,宝山,罗店,美兰湖岭域 3室2厅 363万,363万,3室2厅 | 90.75平米 | 南 | 精装 | 低楼层(共6层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-bf1738c8-720d-40e0-992a-3eac888e6bc6.jpg.296x216.jpg
20200208,宝山,罗店,万科琥珀郡园 3室2厅 400万,400万,3室2厅 | 99.22平米 | 南 | 精装 | 低楼层(共8层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_x02ymtMvj_1.jpg.296x216.jpg
20200208,宝山,罗店,美兰湖颐景园精装修带阁楼，房东诚心出售，可做四房房主自荐,399万,3室2厅 | 127.06平米 | 南 | 精装 | 高楼层(共5层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-0f1d8395-53b0-4ea5-aed1-4e344128a9ac.jpg.296x216.jpg
20200208,宝山,罗店,万科琥珀郡园满五唯一大四房带花园70平.,660万,4室2厅 | 170.73平米 | 南 | 简装 | 低楼层(共5层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-5ee91756-def5-49a1-aeec-2dcf4e7e9057.jpg.296x216.jpg
20200208,宝山,罗店,四楼加五楼加六楼，南北通                   。,558万,6室3厅 | 197.84平米 | 南 | 简装 | 中楼层(共5层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-8d2dc4c8-7836-4128-ab9c-36209e8c142c.jpg.296x216.jpg
20200208,宝山,罗店,房东自住精装修，集中式空调系统加地暖，带电梯。房主自荐,650万,4室2厅 | 182.33平米 | 南 北 | 精装 | 高楼层(共5层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-3c66145d-4e87-4ef9-b673-8d09c3764f01.jpg.296x216.jpg
20200208,宝山,罗店,美兰湖岭域唯一飞机户型  两南一北 南北通,380万,3室2厅 | 92.66平米 | 南 | 毛坯 | 中楼层(共6层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-862bc1fa-900f-480a-b4e6-5ff23e6ac7f2.jpg.296x216.jpg
20200208,宝山,罗店,美兰湖颐景园 3室2厅 400万,400万,3室2厅 | 123.71平米 | 南 | 精装 | 高楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b45bea95-02a4-4a1f-8a7b-b15392f78356.jpg.296x216.jpg
20200208,宝山,罗店,万科琥珀郡园 3室2厅 390万,390万,3室2厅 | 99.11平米 | 南 | 精装 | 低楼层(共7层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Lvj5GO2NW_1.jpg.296x216.jpg
20200208,宝山,罗店,远洋7号 3室2厅 460万,460万,3室2厅 | 124.88平米 | 南 | 其他 | 中楼层(共12层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_y24LjKEla_1.jpg.296x216.jpg
20200208,宝山,罗店,经典好房，精装带花园+50平，万科品质，拎包入住,350万,3室1厅 | 76.96平米 | 南 | 精装 | 低楼层(共6层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_YWXXkPFy9_1.jpg.296x216.jpg
20200208,宝山,罗店,万科大三房 横厅宽敞 税费少+车位 看方便 诚意出售,540万,3室2厅 | 142.48平米 | 南 | 精装 | 低楼层(共8层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_V7hU2wc1L_1.jpg.296x216.jpg
20200208,宝山,罗店,万科琥珀郡园 3室2厅 398万,398万,3室2厅 | 99平米 | 南 | 其他 | 中楼层(共8层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_D7k2QsHnt_1.jpg.296x216.jpg
20200208,宝山,罗店,远洋7号 3室2厅 408万,408万,3室2厅 | 102.3平米 | 南 | 其他 | 中楼层(共11层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Wlzbn4poY_1.jpg.296x216.jpg
20200208,宝山,罗店,满5唯一 精装南北4房    配全部车位 家具家电房主自荐,680万,4室2厅 | 215.14平米 | 南 | 精装 | 中楼层(共6层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_9Fy4vVHbD_1.jpg.296x216.jpg
20200208,宝山,罗店,金辉兰湖美域 4室2厅 600万,600万,4室2厅 | 139.59平米 | 南 | 精装 | 低楼层(共6层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_IbF5L8Zah_1.jpg.296x216.jpg
20200208,宝山,罗店,金辉兰湖美域 3室2厅 399万,399万,3室2厅 | 131.91平米 | 南 | 毛坯 | 中楼层(共5层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_LcnNBDHNL_1.jpg.296x216.jpg
20200208,宝山,罗店,万科琥珀郡园 3室2厅 458万,458万,3室2厅 | 89.12平米 | 南 | 简装 | 中楼层(共6层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_VqW88U1li_1.jpg.296x216.jpg
20200208,宝山,罗店,房东诚意出售，配套好，近菜市场，公交车站,185万,2室1厅 | 69.73平米 | 南 | 毛坯 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-4d1b3529-2dc7-49e1-9bbc-ee4061f22feb.jpg.296x216.jpg
20200208,宝山,罗店,上置香岛原墅(公寓) 2室2厅 310万,310万,2室2厅 | 97.77平米 | 南 | 精装 | 低楼层(共10层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_6xzZLUcwv_1.jpg.296x216.jpg
20200208,宝山,罗店,美兰湖中华园 2室1厅 320万房主自荐,320万,2室1厅 | 88.06平米 | 南 北 | 精装 | 中楼层(共6层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_dT8xDqHQk_1.jpg.296x216.jpg
20200208,宝山,罗店,美兰湖中华园 2室2厅 315万房主自荐,315万,2室2厅 | 88.62平米 | 南 北 | 简装 | 中楼层(共6层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_RQ522OOQe_1.jpg.296x216.jpg
20200208,宝山,罗店,双朝南带露台带阁楼精装修，客厅餐厅分离双阳台房主自荐,335万,2室2厅 | 97.09平米 | 南 北 | 精装 | 高楼层(共5层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-20bc82aa-2697-4285-a117-bb70b04dff11.jpg.296x216.jpg
20200208,宝山,罗店,精装保养好，正气三房，带独卫有飘窗，交通便利,560万,3室2厅 | 140平米 | 南 | 精装 | 低楼层(共6层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f63e8594-7024-4749-8e2a-126910418345.jpg.296x216.jpg
20200208,宝山,罗店,科技住宅，恒温，恒湿，恒氧，新风系统,565万,3室2厅 | 145.76平米 | 西南 | 毛坯 | 中楼层(共7层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-bf38ea02-9fe4-41d3-9207-14ea17e13002.jpg.296x216.jpg
20200208,宝山,罗店,万科臻园，顶楼复式，精装4房，朝南，保养好,636万,4室2厅 | 156.27平米 | 南 | 精装 | 高楼层(共5层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ac79f198-33c5-40e1-b0bb-846c93db017d.jpg.296x216.jpg
20200208,宝山,罗店,精装修带车位，南北通风，中间楼层采光好，配套齐全,465万,3室2厅 | 131.88平米 | 南 | 精装 | 中楼层(共5层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_1in6C4MlV_1.jpg.296x216.jpg
20200208,宝山,罗店,罗南二村 2室1厅 190万房主自荐,190万,2室1厅 | 69.93平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_waoUhWBaN_1.jpg.296x216.jpg
20200208,宝山,罗店,上置香岛原墅(公寓) 2室2厅 285万,285万,2室2厅 | 100.51平米 | 南 | 精装 | 低楼层(共9层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_0ufg75oCB_1.jpg.296x216.jpg
20200208,宝山,罗店,满五唯一，带电梯，精装修近地铁，户型方正楼层好,368万,2室2厅 | 92.04平米 | 南 | 精装 | 中楼层(共6层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_P9MTdz69x_1.jpg.296x216.jpg
20200208,宝山,罗店,美兰湖颐景园 2室2厅 295万,295万,2室2厅 | 84平米 | 南 | 精装 | 中楼层(共5层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_zELh1yvee_1.jpg.296x216.jpg
