20200208,浦东,曹路,小巧的户型，温馨的家，采光充足，居住舒适。必看好房,219万,1室1厅 | 56.29平米 | 南 | 精装 | 中楼层(共24层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ea119e69-8eff-41f4-848a-3e783d52f7e8.jpg.296x216.jpg
20200208,浦东,曹路,南北通 近地铁 户型方正 三房必看好房,390万,3室2厅 | 108.84平米 | 南 | 精装 | 低楼层(共18层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Sj3sF5UX7_1.jpg.296x216.jpg
20200208,浦东,曹路,曹路两房  海尚东苑  楼层好 视野开阔 看房方便必看好房,295万,2室2厅 | 79.15平米 | 南 | 简装 | 高楼层(共14层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_E4UiD5WeT_1.jpg.296x216.jpg
20200208,浦东,曹路,小区中间位置，看房方便，装修保养很好，采光充足必看好房,278万,2室2厅 | 86.39平米 | 南 | 精装 | 高楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_VMlC6v9P4_1.jpg.296x216.jpg
20200208,浦东,曹路,一手动迁，户型好，单价低，近地铁，配套齐，随心装修必看好房,208万,1室1厅 | 55.14平米 | 南 | 毛坯 | 中楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_8cPip8kGm_1.jpg.296x216.jpg
20200208,浦东,曹路,一手动迁，满五唯一，楼层好，双南户型必看好房,287万,2室1厅 | 76.56平米 | 南 | 毛坯 | 中楼层(共18层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/d87eefbf-e0e3-474e-aaee-e286f7429c91.jpg.296x216.jpg
20200208,浦东,曹路,南进门北花园  满五唯一 精装修 中间套必看好房,1080万,3室2厅 | 183.73平米 | 南 | 简装 | 3层 | 2004年建 | 板楼 | 联排别墅,https://image1.ljcdn.com/310000-inspection/e6e1cc82-1993-4ce0-898e-557b2a23ca5e.jpg.296x216.jpg
20200208,浦东,曹路,佳伟景苑 大两房 南北房型 房东急售,276万,2室1厅 | 75.91平米 | 南 | 简装 | 高楼层(共14层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-4c72e345-59e4-4c1b-8676-463ebf323d76.jpg.296x216.jpg
20200208,浦东,曹路,一梯两户！户型正 房东置换急售，到价签字！,420万,3室2厅 | 129.64平米 | 南 | 毛坯 | 高楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-58e355ed-3a1e-48d7-8330-b40e82b0c437.png.296x216.jpg
20200208,浦东,曹路,金钻苑三改四电梯房一手动迁，高楼层，南北户型采光好,480万,3室2厅 | 127.51平米 | 南 北 | 简装 | 高楼层(共11层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-4521d8c8-02f1-4bf6-a4ec-e12a456be9ed.jpg.296x216.jpg
20200208,浦东,曹路,曹路新出精装一房，拎包入住，诚心出售，看房随时,215万,1室1厅 | 56.47平米 | 南 | 精装 | 低楼层(共11层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_yGpwdhrxf_1.jpg.296x216.jpg
20200208,浦东,曹路,舜峰家苑2房精装修 拎包入住房东诚意出售随时看房,275万,2室1厅 | 76.46平米 | 南 | 精装 | 低楼层(共11层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a19406e2-32d2-4aff-b4f2-11b2b99a77e1.jpg.296x216.jpg
20200208,浦东,曹路,中虹家园 大双南房型 20万精装修 房东诚心出售,277万,2室1厅 | 69.45平米 | 南 | 精装 | 高楼层(共18层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-6733a0c5-5cfa-4132-9bf4-eca8c9fadd38.jpg.296x216.jpg
20200208,浦东,曹路,一手动迁 税费少 楼层好 位置佳,285万,2室1厅 | 76.05平米 | 南 | 简装 | 高楼层(共11层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c2f9eea5-bc14-4bc3-8ef1-3fd768808190.jpg.296x216.jpg
20200208,浦东,曹路,中虹家园 两房精装  拎包入住 配套齐全,277万,2室1厅 | 70.74平米 | 南 北 | 精装 | 高楼层(共14层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_RTa6mZ9Af_1.jpg.296x216.jpg
20200208,浦东,曹路,满五唯一 税费少 精装修 拎包入住,280万,2室1厅 | 72.63平米 | 南 | 精装 | 低楼层(共18层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_YwsWKmhgk_1.jpg.296x216.jpg
20200208,浦东,曹路,中虹家园 两房精装  拎包入住 配套齐全。房主自荐,283万,2室1厅 | 70.79平米 | 南 | 精装 | 中楼层(共14层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_NDKqhgKuK_1.jpg.296x216.jpg
20200208,浦东,曹路,景观楼层，采光充足，动迁少税，业主诚意出售,310万,2室1厅 | 83平米 | 南 北 | 简装 | 高楼层(共24层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d94fd929-2be0-46e0-baf2-615d63d4f82b.jpg.296x216.jpg
20200208,浦东,曹路,自住精装，直达世纪大道，房东诚心出售，看房方便,460万,3室2厅 | 120平米 | 南 北 | 精装 | 高楼层(共24层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-3d19d9de-7b60-4cb1-9215-d2b21034c481.jpg.296x216.jpg
20200208,浦东,曹路,2004年商品房南北通透户型大两房，楼层位置佳！,360万,2室2厅 | 87.74平米 | 南 北 | 简装 | 中楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-fd8f7118-c398-4133-b71f-ad5d833280f8.png.296x216.jpg
20200208,浦东,曹路,星颂两房，南北户型，景观楼层，房东诚意出售,270万,2室1厅 | 72.7平米 | 南 | 简装 | 高楼层(共18层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_AXvHhNvJd_1.jpg.296x216.jpg
20200208,浦东,曹路,星晓双南两房，近曹路站，业主诚意。,310万,2室2厅 | 81.71平米 | 南 | 毛坯 | 低楼层(共24层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-423fd6f5-e09e-4db4-a5e7-641049a6d5f9.jpg.296x216.jpg
20200208,浦东,曹路,地铁9号线  双南户型  楼层佳 采光好,320万,2室1厅 | 82.33平米 | 南 | 毛坯 | 低楼层(共18层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_sCIm24pKb_1.jpg.296x216.jpg
20200208,浦东,曹路,房屋有大阳台，近恒越荣欣商场和9号线，楼层好,333万,2室2厅 | 83.96平米 | 南 北 东 东南 | 毛坯 | 中楼层(共24层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-6e650857-670c-471c-9f80-8b47bf1de2ff.jpg.296x216.jpg
20200208,浦东,曹路,低总价两房，看过来采光棒棒的，前是绿化，后也是绿化房主自荐,310万,2室2厅 | 84.84平米 | 南 | 简装 | 低楼层(共11层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-83c461b7-52a3-4216-8640-ca98a1fa0368.jpg.296x216.jpg
20200208,浦东,曹路,置换急售，满2年 省税房源，看中再谈，看房方便！,309万,3室2厅 | 100.29平米 | 南 北 | 精装 | 高楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-9d70b1b3-33d0-4801-b582-3bc83ddf6ab6.jpg.296x216.jpg
20200208,浦东,曹路,龚华新村南北户型，两房的价格买三房  全明户型,265万,3室1厅 | 87.97平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-0a73e355-e0c1-4a5e-a17f-bc3927a10f17.png.296x216.jpg
20200208,浦东,曹路,大三房，满2年 省税房源，看中再谈，有钥匙，看房方便,410万,3室2厅 | 120.41平米 | 南 北 | 毛坯 | 中楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-51383760-da7e-4566-aa34-10d8798ac145.jpg.296x216.jpg
20200208,浦东,曹路,急于出手！满五唯一，拎包入住随时看房,308万,2室1厅 | 88.11平米 | 南 | 简装 | 中楼层(共11层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_iJad3G5zU_1.jpg.296x216.jpg
20200208,浦东,曹路,省钱好房，装修精美舒适，满五唯一，税少。,388万,3室2厅 | 104平米 | 南 | 精装 | 低楼层(共11层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-6b8f9dd1-7b79-4030-8944-8a5f211b758d.jpg.296x216.jpg
20200208,浦东,曹路,小区好位置 中间楼层  精装直接入住 600米到九号线,428万,3室2厅 | 107.42平米 | 南 北 | 精装 | 中楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-af518d22-5d66-4ec9-b5b9-b044870747bc.jpg.296x216.jpg
20200208,浦东,曹路,阳光苑3房，业主置换，9号地铁沿线，交通便利。,263万,3室1厅 | 85.8平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-9bebd3d7-d523-4ee2-afff-4f483a3c8530.jpg.296x216.jpg
20200208,浦东,曹路,小位置安静楼层适中，户型正气房间一南一满五年唯一,460万,2室2厅 | 90.22平米 | 南 | 精装 | 中楼层(共11层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-707b5bf1-bf82-4348-a974-847797079cfb.png.296x216.jpg
20200208,浦东,曹路,中虹家园 大两房 装修房 房东诚心出售、房型可随心改,275万,2室1厅 | 70平米 | 南 | 精装 | 中楼层(共14层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_hEl4AiIZ2_1.jpg.296x216.jpg
20200208,浦东,曹路,环境好，景观楼层，采光充足，配套成熟，交通方便。,275万,2室1厅 | 68.92平米 | 南 | 精装 | 高楼层(共18层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_fmgcB91FW_1.jpg.296x216.jpg
20200208,浦东,曹路,中虹家园大两房诚意出售 看房方便 位置好 价格可谈,270万,2室1厅 | 70.8平米 | 南 | 毛坯 | 低楼层(共14层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Ul6nHjWfd_1.jpg.296x216.jpg
20200208,浦东,曹路,星颂 双南 毛坯两房  一手动迁税少 房东诚意出售,270万,2室1厅 | 76.56平米 | 南 | 毛坯 | 低楼层(共18层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-d50b9df1-cde6-4bf7-a41c-664e75a375dd.png.296x216.jpg
20200208,浦东,曹路,成熟社区，交通便利，高区采光好,237.5万,2室1厅 | 69.6平米 | 南 | 毛坯 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-cb33cbc8-cf3f-4e85-91d4-139d85d4f499.jpg.296x216.jpg
20200208,浦东,曹路,一手动迁南北两房！正中间位置！大间距视野宽！中层,295万,2室1厅 | 86.39平米 | 南 | 精装 | 中楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-49b3326c-0563-422f-a2b4-95b8c0bf43b5.jpg.296x216.jpg
20200208,浦东,曹路,高关注度好房，众望所归的：省钱、省心！业主诚意急卖,259万,2室1厅 | 71平米 | 南 | 精装 | 低楼层(共11层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-2e7ff862-199f-4ca1-a0ac-22edb8e03747.jpg.296x216.jpg
20200208,浦东,曹路,毛坯房  位置好税费底 顶楼带阁楼  已打通利用空间大,225万,1室1厅 | 52.8平米 | 南 | 毛坯 | 高楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ac50bbc2-cd10-4832-bbef-62fa053a7a24.jpg.296x216.jpg
20200208,浦东,曹路,龚路新城两房   精装修  拎包入住   业主诚心置换,278万,2室1厅 | 74.92平米 | 南 | 精装 | 中楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-bb01ec55-4e03-4123-9706-5206f2292b60.jpg.296x216.jpg
20200208,浦东,曹路,房间全南全明南北通透 复式两房两卫使用空间面积106平,320万,2室2厅 | 69.69平米 | 东 南 北 | 精装 | 高楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-1d55efb7-6264-4fd8-b571-9599c81b6c01.jpg.296x216.jpg
20200208,浦东,曹路,2000年的房子，双南大两房 楼层好 位置佳 税费低,235万,2室1厅 | 82.39平米 | 南 | 毛坯 | 低楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-57ad1baf-2ada-4437-a481-5296e8687511.png.296x216.jpg
20200208,浦东,曹路,近地铁，一手动迁，满五年唯一，附带阁楼,428万,3室2厅 | 129.89平米 | 南 北 | 毛坯 | 高楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-7b818ddb-0a4d-459a-a16e-f090ddeb42d2.jpg.296x216.jpg
20200208,浦东,曹路,东苑舒适两房，楼层好，位置佳，业主诚意。,300万,2室1厅 | 72.17平米 | 南 | 简装 | 低楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_qiz01jlQS_1.jpg.296x216.jpg
20200208,浦东,曹路,此房房东诚心出售，原始两房，户型无改动，产权明晰。,265万,2室1厅 | 75.41平米 | 南 | 毛坯 | 低楼层(共14层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f6dbc507-b395-4f20-8db5-d8204914adea.jpg.296x216.jpg
20200208,浦东,曹路,近地铁，全明户型，诚意急卖，满五唯一,203万,1室1厅 | 50.92平米 | 南 | 精装 | 中楼层(共6层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_TDYm3gGLb_1.jpg.296x216.jpg
20200208,浦东,曹路,西苑9号线民雷路楼层好，视野好，无增值税，方便,198万,1室1厅 | 49.51平米 | 南 | 简装 | 中楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_n43MILyOh_1.jpg.296x216.jpg
20200208,浦东,曹路,景观楼层，位置好，诚心出售，自住装修，满五,360万,2室2厅 | 86.67平米 | 南 北 | 精装 | 高楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_PHZEcsFdy_1.jpg.296x216.jpg
20200208,浦东,曹路,小区11商品房，精装修南北通透，南北阳台，环境好。,440万,2室2厅 | 90.53平米 | 南 北 | 精装 | 中楼层(共9层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_k6N2hcETG_1.jpg.296x216.jpg
20200208,浦东,曹路,满五年唯一 位于四楼南北通两房 两周后有钥匙随时看,305万,2室1厅 | 72.02平米 | 南 北 | 简装 | 高楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-53599f3f-3d10-4824-81bd-40d4a782e3c2.jpg.296x216.jpg
20200208,浦东,曹路,精装120平大三房，一手动迁 满五唯一 拎包入住,426万,3室1厅 | 120.33平米 | 南 | 精装 | 低楼层(共24层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-ea8fcdd4-e5de-4949-88de-98a3781515fb.png.296x216.jpg
20200208,浦东,曹路,满五唯一 精装修 位置好 不靠路 拎包入住 好房子,333万,2室2厅 | 88平米 | 南 | 精装 | 中楼层(共11层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-52fdbfa3-2f43-43cc-ba98-e7d58cbb7ca6.jpg.296x216.jpg
20200208,浦东,曹路,近9号地铁顾唐站  户型正气 带院子  买进价高,340万,2室1厅 | 71.06平米 | 南 | 精装 | 低楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-85861b9a-c8f4-4139-ab3d-dab3dec3218a.jpg.296x216.jpg
20200208,浦东,曹路,电梯房2+1户型，楼层好采光好，近宝龙广场和家乐福！,445万,2室2厅 | 91.49平米 | 南 | 精装 | 中楼层(共9层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_CYxAZ1dm3_1.jpg.296x216.jpg
20200208,浦东,曹路,南北通透大两房  户型正  楼层好   近地铁,364万,2室2厅 | 87平米 | 南 北 | 精装 | 高楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-dbb3db06-4294-4083-a947-53c594ce2f3a.png.296x216.jpg
20200208,浦东,曹路,一手动迁，税费少，业主置换，诚意出售，租客住,275万,2室1厅 | 69.13平米 | 南 | 毛坯 | 高楼层(共18层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ClmOqhv0R_1.jpg.296x216.jpg
20200208,浦东,曹路,一手动迁，距离九号线曹路站800米，楼层采光好,190万,1室1厅 | 51.05平米 | 南 | 毛坯 | 高楼层(共6层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_g4QG5pJLv_1.jpg.296x216.jpg
20200208,浦东,曹路,满五唯一， 景观楼层，房东诚心，小区好位置,222万,1室1厅 | 55.84平米 | 南 | 毛坯 | 高楼层(共24层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Vsy0bVcoN_1.jpg.296x216.jpg
20200208,浦东,曹路,此房一手动迁，商场近，配套成熟，采光充足，出行方便,275万,2室1厅 | 73.99平米 | 南 | 毛坯 | 低楼层(共6层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_M7K7RHVsL_1.jpg.296x216.jpg
20200208,浦东,曹路,一手动迁，小区环境好，采光充足，配套成熟，价格可谈,255万,2室1厅 | 68.67平米 | 南 | 毛坯 | 低楼层(共16层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Xpk5lYN4G_1.jpg.296x216.jpg
20200208,浦东,曹路,满五唯一 省钱好房 装修好 看房方便 诚意售,315万,2室2厅 | 87.95平米 | 南 | 精装 | 中楼层(共11层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_JtGKMHJfz_1.jpg.296x216.jpg
20200208,浦东,曹路,满三年 配套全 九号线地铁 交通方便 业主急售,265万,2室1厅 | 70.79平米 | 南 北 | 毛坯 | 低楼层(共14层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_XiuPhrqFp_1.jpg.296x216.jpg
20200208,浦东,曹路,满五年且唯一。双南格局，出行便利，小区环境优美,420万,2室1厅 | 93平米 | 南 | 简装 | 高楼层(共11层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_EzC2AdzJ6_1.jpg.296x216.jpg
20200208,浦东,曹路,阳光苑近地铁，满五唯一，带双天井，诚意急售！,257万,2室1厅 | 71.6平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_cE8OPZIwz_1.jpg.296x216.jpg
20200208,浦东,曹路,精装户型正，采光佳 ，地铁近，看房方便。,335万,3室1厅 | 92.66平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_uNS7hnPWq_1.jpg.296x216.jpg
20200208,浦东,曹路,9号线地铁沿线精装南北3房，电梯楼层佳，景观好！,628万,3室2厅 | 128.41平米 | 南 北 | 精装 | 高楼层(共9层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_bxd4ABzKf_1.jpg.296x216.jpg
20200208,浦东,曹路,河滨3房2卫经典户型、电梯房次顶层、景观位置,630万,3室2厅 | 127.48平米 | 南 | 精装 | 高楼层(共11层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_EFJnssMC3_1.jpg.296x216.jpg
20200208,浦东,曹路,精装修大三房，拎包住，税费少，欢迎实地预约看房~,575万,3室2厅 | 132.51平米 | 南 | 精装 | 高楼层(共11层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_fFiXAfdFh_1.jpg.296x216.jpg
20200208,浦东,曹路,一手动迁  满五唯一  海尚东苑简装小三房,365万,3室1厅 | 88.45平米 | 南 | 简装 | 中楼层(共14层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_YOHPPRGnG_1.jpg.296x216.jpg
20200208,浦东,曹路,三房户型布局合理 交通方便 使用面积大精装修 满五,260万,3室1厅 | 87.88平米 | 南 西南 | 精装 | 高楼层(共7层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_EDXssgjUu_1.jpg.296x216.jpg
20200208,浦东,曹路,民风小区三房，一梯两户，你值得拥有。,243万,3室2厅 | 77.78平米 | 东 西 | 精装 | 高楼层(共5层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_sLDvZWzOA_1.jpg.296x216.jpg
20200208,浦东,曹路,一手动迁税费少 楼层好 视野开阔 采光充足,400万,3室2厅 | 108.84平米 | 南 | 毛坯 | 高楼层(共18层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_8BdEqC1aE_1.jpg.296x216.jpg
20200208,浦东,曹路,房型正气，诚心出售，价格可谈，目前是租客住。,260万,2室1厅 | 71.2平米 | 南 | 简装 | 低楼层(共14层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_HyfA737U4_1.jpg.296x216.jpg
20200208,浦东,曹路,一梯一户大平层，满五唯一，近宝龙广场和九号线！房主自荐,564万,4室2厅 | 153平米 | 南 北 | 精装 | 中楼层(共5层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ulWHctP3T_1.jpg.296x216.jpg
