20200208,宝山,通河,地铁1号线+小区中间位置+南北通+满五年+我有钥匙必看好房,255万,2室1厅 | 55.89平米 | 南 北 | 简装 | 低楼层(共6层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/a20121a3-0001-47d5-8a4a-edb8fee85e93_1000.jpg.296x216.jpg
20200208,宝山,通河,新四村  钥匙房 诚心出售 原始户型 简单装修好改动,178万,1室1厅 | 40.55平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-0086b83e-86b9-49c3-96b6-68a2a4920b95.jpg.296x216.jpg
20200208,宝山,通河,共江小区 2室1厅 320万,320万,2室1厅 | 68.89平米 | 南 | 其他 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/cb31284a-de5e-43b7-a82c-836945eab133_1000.jpg.296x216.jpg
20200208,宝山,通河,交通便利，商圈配置完善，看房方便，诚意出售,175万,1室1厅 | 44.09平米 | 南 | 毛坯 | 高楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_i4tXzZHmB_1.jpg.296x216.jpg
20200208,宝山,通河,精装修一房，拎包入住，近地铁，房东诚意出售,183万,1室1厅 | 41.4平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ZRZS3ktUH.jpg.296x216.jpg
20200208,宝山,通河,一楼带天井诚心出售 看房方便看房联系专属维护人小黄,234万,2室1厅 | 55.16平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-8bbd4768-0676-49cd-ae0c-42befdb4c067.jpg.296x216.jpg
20200208,宝山,通河,通河八村 2室1厅 265万,265万,2室1厅 | 58.9平米 | 南 北 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_0TNzo5Gj9_1.jpg.296x216.jpg
20200208,宝山,通河,满五唯一  中间楼层 店长推荐 采光视野佳,199万,1室1厅 | 48.48平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/57f73b0e-0931-4114-86fa-9d88a26cf3ae_1000.jpg.296x216.jpg
20200208,宝山,通河,新四村+中间楼层+近地铁+总价低+全明采光+位置好房主自荐,180万,1室1厅 | 40.55平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-5802ea7b-5ed6-4dbc-bb7a-ff73887fb54b.jpg.296x216.jpg
20200208,宝山,通河,通河二村，满五唯一，交通方便。采光好。房型好,319万,2室1厅 | 76.52平米 | 东南 | 精装 | 中楼层(共13层) | 1992年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_wodMqXMGX_1.jpg.296x216.jpg
20200208,宝山,通河,通河二村   大两房 业主急售  地铁一号线通河新村站,305万,2室1厅 | 84.59平米 | 东 西 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-1ca85b37-1db6-4ffb-ad7e-653d6845562b.png.296x216.jpg
20200208,宝山,通河,94年新四村一房一厅 房型正气+用脚步丈量近地铁,193万,1室1厅 | 41.48平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-2a548a54-763f-4d93-b646-dba1c68cb8c1.jpg.296x216.jpg
20200208,宝山,通河,新上房源新四村+满五年唯一+近地铁+看房方便,250万,2室1厅 | 56.07平米 | 西南 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c443929d-35a0-471b-96ce-594455b7aa10.jpg.296x216.jpg
20200208,宝山,通河,全明户型 视野宽阔 采光好 小区位置佳 生活配套齐全,318万,2室2厅 | 75.55平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-cffbf8d2-44fe-49e4-9001-1ce04e360cc6.jpg.296x216.jpg
20200208,宝山,通河,婚房装修拎包入住，诚心出售，出行方便！,283万,2室1厅 | 73.3平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_MGEqOTp8H_1.jpg.296x216.jpg
20200208,宝山,通河,通河二村 2室1厅 300万,300万,2室1厅 | 70.04平米 | 南 | 毛坯 | 中楼层(共13层) | 1992年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-8f162524-a9da-459e-ae3b-6bfa635c1f52.jpg.296x216.jpg
20200208,宝山,通河,通河二村 1室1厅 174万,174万,1室1厅 | 46.07平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_BGbXkeI45.jpg.296x216.jpg
20200208,宝山,通河,低楼层 近地铁 改造空间大 小区四周配套齐,255万,1室1厅 | 55.07平米 | 东 | 毛坯 | 低楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_dultNn2St_1.jpg.296x216.jpg
20200208,宝山,通河,通河七村 1室1厅 210万房主自荐,210万,1室1厅 | 52.01平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_uWkfwZPf8.jpg.296x216.jpg
20200208,宝山,通河,此房满五唯一，税费清晰，房子在同小区单价较低,225万,2室1厅 | 57.32平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_15GIxffSQ.jpg.296x216.jpg
20200208,宝山,通河,采光好，交通便利，南北两房，非顶楼房主自荐,245万,2室1厅 | 56.36平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_lWyqFdYYl_1.jpg.296x216.jpg
20200208,宝山,通河,通河二村 1室1厅 176万,176万,1室1厅 | 39.55平米 | 南 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_HmM0kpAge_1.jpg.296x216.jpg
20200208,宝山,通河,两房朝南 中间楼层 交通便利 配套成熟,300万,2室1厅 | 69.91平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_p7inFA6CB_1.jpg.296x216.jpg
20200208,宝山,通河,通河板块的电梯高区，诚意出售，满五唯一，看房随时,330万,2室2厅 | 76.52平米 | 东 南 | 简装 | 高楼层(共13层) | 1992年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_1lhUNnnMw_1.jpg.296x216.jpg
20200208,宝山,通河,通河八村 2室1厅 235万,235万,2室1厅 | 54.3平米 | 北 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/89be6d32-c73d-4e88-add1-b97d2b440567_1000.jpg.296x216.jpg
20200208,宝山,通河,通河八村 1室1厅 172万,172万,1室1厅 | 41.57平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_BdTOSxPUn_2.jpg.296x216.jpg
20200208,宝山,通河,精装修 近地铁 拎包入住 配套齐全 业主诚心出售,290万,2室1厅 | 64.64平米 | 东 西 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/acbb641e-970b-486b-b03d-f8f486d3a289_1000.jpg.296x216.jpg
20200208,宝山,通河,精装修，采光好，配套全，必看好房,195万,1室1厅 | 45.16平米 | 南 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_9LQns6owr_1.jpg.296x216.jpg
20200208,宝山,通河,通河二村 2室1厅 245万,245万,2室1厅 | 57.92平米 | 南 北 | 精装 | 高楼层(共6层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_YQFldwDYx.jpg.296x216.jpg
20200208,宝山,通河,正气一房，视野好，采光好，配套齐全,169万,1室1厅 | 41.62平米 | 南 | 毛坯 | 高楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_uU5lQ8rcm_1.jpg.296x216.jpg
20200208,宝山,通河,满五唯一，低楼层，业主诚意出售,185万,1室1厅 | 42.43平米 | 南 | 简装 | 低楼层(共6层) | 1988年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_JvDoM8khg_1.jpg.296x216.jpg
20200208,宝山,通河,出行方便。户型明亮，房型方正，采光无遮挡,185万,1室1厅 | 43.38平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-94ab6f01-bd3a-4629-a142-3dc5a834c372.jpg.296x216.jpg
20200208,宝山,通河,边套全明 楼层好采光充足 满五唯一 税费少 业主诚售,268万,2室1厅 | 60.94平米 | 南 北 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-77b19fa7-f712-432c-a561-551b4df12e57.jpg.296x216.jpg
20200208,宝山,通河,一梯两户，房型正气，精装修，拎包入住，看房提前约,205万,1室1厅 | 43.23平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ad4e74d9-d4bf-4055-be3b-fbec954ef353.jpg.296x216.jpg
20200208,宝山,通河,售后公房，满五年，无增值税，业主诚心卖！！,320万,2室1厅 | 67.77平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b8065bda-5c46-479b-af17-482ff02bf60f.jpg.296x216.jpg
20200208,宝山,通河,通河二村 1室1厅 180万,180万,1室1厅 | 40.4平米 | 南 | 简装 | 中楼层(共6层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d3a8a8ff-11bb-4a04-af29-8d08ba75b809.jpg.296x216.jpg
20200208,宝山,通河,婚房精装 拎包入住 近地铁 户型方正,258万,2室1厅 | 56.23平米 | 南 | 简装 | 高楼层(共6层) | 1987年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_lqewu8o5T_1.jpg.296x216.jpg
20200208,宝山,通河,通河六村 1室1厅 175万,175万,1室1厅 | 45.24平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_wlFgbgwdD.jpg.296x216.jpg
20200208,宝山,通河,通河二村 1室1厅 175万,175万,1室1厅 | 39.01平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_GacBVfmGw_1.jpg.296x216.jpg
20200208,宝山,通河,银和家园 2室1厅 272万,272万,2室1厅 | 59.83平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_POGgN662m_1.jpg.296x216.jpg
20200208,宝山,通河,满五唯一，户型正气，诚意出售！,244万,2室1厅 | 55.55平米 | 南 | 简装 | 高楼层(共6层) | 1990年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_PJL5Al4zD.jpg.296x216.jpg
20200208,宝山,通河,通河八村 1室1厅 168万,168万,1室1厅 | 38.6平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_lkDP70Yek.jpg.296x216.jpg
20200208,宝山,通河,通河八村 1室1厅 195万,195万,1室1厅 | 43.93平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_SrK0sqWxE_2.jpg.296x216.jpg
20200208,宝山,通河,通河六村，一楼附带天井，业主诚心卖,181万,1室1厅 | 42.7平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_qxx9FAgyg_1.jpg.296x216.jpg
20200208,宝山,通河,通河四村 2室1厅 280万,280万,2室1厅 | 64.64平米 | 东 西 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_KYPFhyZCp_2.jpg.296x216.jpg
20200208,宝山,通河,通二 中楼层全明房东诚意出售！！！！,265万,2室1厅 | 61.29平米 | 南 东 | 简装 | 中楼层(共6层) | 1990年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_XaGU9suEg.jpg.296x216.jpg
20200208,宝山,通河,婚房精装修 拎包入住 采光视野好房主自荐,190万,1室1厅 | 45.12平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_RVkqdS0pc_1.jpg.296x216.jpg
20200208,宝山,通河,婚房装修 拎包入住  近地铁 户型正气  业主诚心卖,202万,1室1厅 | 42.7平米 | 南 | 精装 | 高楼层(共4层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_jZhMmiohu.jpg.296x216.jpg
20200208,宝山,通河,宝山万达 轨交双南两房 诚心出售,289万,2室1厅 | 64.28平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/66e7ddcf-0e67-4994-940d-d3f415e2f0b1_1000.jpg.296x216.jpg
20200208,宝山,通河,通河新四村 边套明户型 一号线 满五年唯一 诚意出售房主自荐,185万,1室1厅 | 40.55平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_i04gKn4zA.jpg.296x216.jpg
20200208,宝山,通河,通河总价低一房 满五年唯一，一梯两户全明户型。,176万,1室1厅 | 43.65平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/77d79323-328c-4191-95a8-370321b32961_1000.jpg.296x216.jpg
20200208,宝山,通河,通河六村 2室2厅 310万,310万,2室2厅 | 70.79平米 | 南 | 毛坯 | 中楼层(共7层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/9307a117-6612-4a49-9b65-6ed87ce16550_1000.jpg.296x216.jpg
20200208,宝山,通河,通河六村中间楼层，出入方便，小区仅此一套！！!,192万,1室1厅 | 45.12平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/47c4366e-d9d8-472d-9386-414bea474a03_1000.jpg.296x216.jpg
20200208,宝山,通河,南北两房，采光好，户型好，业主诚心卖,270万,2室1厅 | 69.65平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/0485e607-dc61-4d10-84a0-3cfb56a808a6_1000.jpg.296x216.jpg
20200208,宝山,通河,精装修，楼层好，交通便利，业主诚心卖,305万,2室1厅 | 70.97平米 | 南 | 精装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/c49b8bb0-6e4c-4fc7-a1ea-5ff0cc56d90f_1000.jpg.296x216.jpg
20200208,宝山,通河,通河二村 1室1厅 180万,180万,1室1厅 | 42.59平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,https://image1.ljcdn.com/310000-inspection/654adab5-8c42-409b-866d-98c0a1f88dc8_1000.jpg.296x216.jpg
20200208,宝山,通河,通河二村 1室1厅 180万,180万,1室1厅 | 42.28平米 | 南 | 精装 | 高楼层(共6层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/78d13cd9-03eb-405f-aae1-b7c09808bf21_1000.jpg.296x216.jpg
20200208,宝山,通河,通河二村 1室1厅 172万,172万,1室1厅 | 39.27平米 | 南 | 精装 | 高楼层(共6层) | 1988年建 | 板楼,https://image1.ljcdn.com/310000-inspection/27ac38f9-192e-438e-b2ec-7e1572efef1e_1000.jpg.296x216.jpg
20200208,宝山,通河,通河八村 1室1厅 160万,160万,1室1厅 | 35.66平米 | 南 | 简装 | 中楼层(共7层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/41d658af-9f10-48f0-8892-50fb4153a6d9_1000.jpg.296x216.jpg
20200208,宝山,通河,售后公房！税费少！装修新！！！,195万,1室1厅 | 52.01平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-6372057b-9c88-4e77-b549-15747a0ca7a5.jpg.296x216.jpg
20200208,宝山,通河,一梯两户，南北两房，银和家园，直接入住，诚意出售,277万,2室1厅 | 69.6平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-0e14214b-14b5-49fe-858b-26d8359cf9a9.jpg.296x216.jpg
20200208,宝山,通河,次顶楼采光充足 南北通风效果好 满五唯一,230万,2室1厅 | 59.65平米 | 南 北 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-efd196d8-be79-44fe-b8aa-86836ced8aff.jpg.296x216.jpg
20200208,宝山,通河,万达 家乐福近 一梯两户 采光好 户型不错 房东诚心卖,190万,1室1厅 | 42.76平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a3b192a2-d540-46ed-9417-856df9470cd4.jpg.296x216.jpg
20200208,宝山,通河,银和家园 2室1厅 290万,290万,2室1厅 | 70.26平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-1aa5695c-bbe5-46f4-825a-4dfe2639c9a8.jpg.296x216.jpg
20200208,宝山,通河,小区经典双南户型，满五唯一也这个月诚意出售,238万,2室1厅 | 55.41平米 | 南 | 毛坯 | 高楼层(共6层) | 1990年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d44d927e-5f1f-4b79-90b5-7f8c8048b0ce.jpg.296x216.jpg
20200208,宝山,通河,满五年唯一，一梯三户，单价低，采光好,182万,1室1厅 | 43.84平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-92667c3e-4b83-48bf-99c4-dcf7d45e3658.jpg.296x216.jpg
20200208,宝山,通河,通河八村 2室2厅 260万,260万,2室2厅 | 60.48平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-ec43cf8f-98b3-4faa-9b54-dfd21ae9ffcc.png.296x216.jpg
20200208,宝山,通河,通河七村 2室2厅 323万,323万,2室2厅 | 80.28平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d08d5280-3f4b-47a2-8868-1ccd1fd2bd04.jpg.296x216.jpg
20200208,宝山,通河,通河四村 1室0厅 215万,215万,1室0厅 | 45.52平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_77W7vzOhw.jpg.296x216.jpg
20200208,宝山,通河,通河二村 1室1厅 185万,185万,1室1厅 | 42.19平米 | 南 北 | 其他 | 高楼层(共6层) | 1988年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-624adc88-c031-4022-b827-a6cae35c1a63.jpg.296x216.jpg
20200208,宝山,通河,单价总价低通风采光好诚售看房联系专属维护人小黄,268万,2室1厅 | 69.65平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c9bb725d-b1d2-4b6f-930f-751e23a8dc0d.jpg.296x216.jpg
20200208,宝山,通河,通河八村 2室2厅 343万,343万,2室2厅 | 76.72平米 | 南 北 | 其他 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-dc7ef859-381c-4c83-8885-8ce3cfec2e25.jpg.296x216.jpg
20200208,宝山,通河,通河四村 2室1厅 209万,209万,2室1厅 | 54.77平米 | 南 北 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-463561f9-77a0-4c61-8946-2d244c667b04.jpg.296x216.jpg
20200208,宝山,通河,通河六村，满五唯一，全明户型，总价低，业主诚心卖,195万,1室1厅 | 45.12平米 | 南 | 其他 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-bdd3a311-4cb6-40c0-b10b-e801272f7368.jpg.296x216.jpg
