20200208,浦东,三林,近三林印象城，11号地铁沿线，电梯房景观楼层，满五年必看好房,457万,2室2厅 | 83.37平米 | 南 | 简装 | 中楼层(共18层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_JcCGNzCLn_1.jpg.296x216.jpg
20200208,浦东,三林,翠竹苑中层边套！南北户型少税诚意出售！必看好房,310万,2室1厅 | 62.33平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_NNC2uFfZl_1.jpg.296x216.jpg
20200208,浦东,三林,小区花园位置+中间楼层视野开阔+低总价+配套成熟必看好房,279万,1室1厅 | 48.28平米 | 南 | 精装 | 中楼层(共5层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/8670b767-7ca1-4dec-b435-19bd448ec857_1000.jpg.296x216.jpg
20200208,浦东,三林,满五唯一中间楼层南北两房精装修，随时看房诚意出售必看好房,335万,2室1厅 | 72.93平米 | 南 北 | 精装 | 中楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_eCP4N95cH_1.jpg.296x216.jpg
20200208,浦东,三林,带花园  满五唯一  地铁口  出行便利必看好房,325万,2室1厅 | 72.23平米 | 南 | 精装 | 低楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_sRJoak9D0_1.jpg.296x216.jpg
20200208,浦东,三林,前滩CBD 地铁6号8号线 双南户型，楼层佳，采光充足必看好房,360万,2室1厅 | 70.15平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/c139433c-9204-4cb3-86ad-1f9c8a492215_1000.jpg.296x216.jpg
20200208,浦东,三林,本房满五唯一，税费少，视野好采光好。必看好房,380万,2室1厅 | 74.14平米 | 南 | 其他 | 高楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_o5P7bSfFs_1.jpg.296x216.jpg
20200208,浦东,三林,精装修带全屋空调，附8平，40万装修，首付150万起必看好房,445万,2室1厅 | 89.66平米 | 南 北 | 精装 | 中楼层(共18层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-bb1c2149-e2e2-4298-a761-8a4862362f47.jpg.296x216.jpg
20200208,浦东,三林,一手动迁+中间楼层采光好+生活配套齐全+业主诚意出售必看好房,338万,2室1厅 | 64.02平米 | 南 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-0bdff7bb-98d5-4209-8eb1-2f19e702397b.png.296x216.jpg
20200208,浦东,三林,前滩辐射，双南两房，精装修 ，配套全必看好房,345万,2室1厅 | 70.36平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/46131c08-197e-4d9a-b2d7-291761152806_1000.jpg.296x216.jpg
20200208,浦东,三林,全明户型，中间楼层，户型方正，6、8、11号三轨交通必看好房,320万,2室1厅 | 65.54平米 | 南 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_cGAhiihIV_1.jpg.296x216.jpg
20200208,浦东,三林,前滩辐射潜力大，精装修拎包入住，看房方便必看好房,260万,2室1厅 | 55.36平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/a5b101c8-b15e-44e7-856d-d7f09c8363fd_1000.jpg.296x216.jpg
20200208,浦东,三林,前滩板块，三轨地铁，配套全，满五唯一，采光俱佳！必看好房,310万,2室1厅 | 64.92平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/346fd907-537f-40c4-b958-fb7225c8ecfe_1000.jpg.296x216.jpg
20200208,浦东,三林,前滩板块，三轨交通，双南精装，售后公房，价格可谈必看好房,288万,2室1厅 | 64.92平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-6f9dd155-bd0a-45ba-ad11-5d24d824c29a.jpg.296x216.jpg
20200208,浦东,三林,原始3房 改成板式2房  户型正气 位置佳 近地铁必看好房,327万,2室2厅 | 74.24平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_eEvcTtNaV_1.jpg.296x216.jpg
20200208,浦东,三林,复式带花园，统一装修进口材料，五房三厅三卫,1180万,5室3厅 | 200平米 | 南 | 精装 | 低楼层(共5层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-02ef0f10-cb9a-43d8-9959-986385afb4a0.jpg.296x216.jpg
20200208,浦东,三林,前滩辐射区 满五唯一无个税 小区花园位置 精装修 诚售,470万,3室2厅 | 88.58平米 | 南 | 精装 | 低楼层(共20层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-4655a6ac-7047-48b1-a5ad-ce4c4b930482.jpg.296x216.jpg
20200208,浦东,三林,商品房+户型方正+满五年唯一+楼层佳 闹中取静位置,705万,3室1厅 | 112.73平米 | 南 | 精装 | 中楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-26aae037-7495-44fc-b850-db34c15ebe75.jpg.296x216.jpg
20200208,浦东,三林,此房满五唯一，中间楼层，采光好，提前约随时看,460万,2室2厅 | 89.79平米 | 南 | 精装 | 中楼层(共18层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-5472cbd2-a925-4b06-9f7c-9875123caa70.jpg.296x216.jpg
20200208,浦东,三林,动迁满五年，板正户型，阳光充足中间楼层，11号线边上,660万,3室2厅 | 103.06平米 | 南 北 | 精装 | 11层 | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_5zpIcQbxQ_1.jpg.296x216.jpg
20200208,浦东,三林,顶楼复式，带18平露台，一手动迁，满五唯一，随时看房主自荐,480万,3室2厅 | 96.42平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-2bdf15b6-5d20-4ec2-8ca6-67c3a0ad9c73.png.296x216.jpg
20200208,浦东,三林,前排别墅采光无遮挡，临河，地下两个车位，人车分流,660万,4室2厅 | 189平米 | 南 | 精装 | 低楼层(共18层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_lGgE2l7iA_1.jpg.296x216.jpg
20200208,浦东,三林,09年小区，环境好，看房方便，价格可谈,549万,2室2厅 | 91.29平米 | 南 | 简装 | 低楼层(共14层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-0a1dfb3e-da28-4315-95be-28799a65fee8.jpg.296x216.jpg
20200208,浦东,三林,好梦难成真 好房难遇到 淘得此墅来 此际即无憾,1950万,6室3厅 | 319平米 | 南 北 | 精装 | 3层 | 2008年建 | 板楼 | 双拼别墅,https://image1.ljcdn.com/310000-inspection/pc1_MboHOx9RU_1.jpg.296x216.jpg
20200208,浦东,三林,此房楼层好，采光充足，户型方正，交通便利,925万,3室2厅 | 137.2平米 | 南 北 | 精装 | 高楼层(共11层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-1ed5b404-9d90-41b7-86a8-8a10207db7e7.jpg.296x216.jpg
20200208,浦东,三林,小区少见的大一房，近金谊广场，三林地铁站,315万,1室2厅 | 67.87平米 | 南 北 | 简装 | 低楼层(共14层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_KzwotVvVY_1.jpg.296x216.jpg
20200208,浦东,三林,品质社区，采光充足，视野开阔，业主诚意出售！,635万,2室2厅 | 89.41平米 | 南 | 精装 | 14层 | 2009年建 | 板塔结合,https://image1.ljcdn.com/310000-inspection/pc1_86cj6qdZX_1.jpg.296x216.jpg
20200208,浦东,三林,品质别墅小区中间位置教育商超1公里内近前滩诚心出售,1900万,5室2厅 | 321平米 | 南 | 精装 | 3层 | 2008年建 | 板楼 | 双拼别墅,https://image1.ljcdn.com/310000-inspection/pc1_rHrNCea1t_1.jpg.296x216.jpg
20200208,浦东,三林,遇见好房一生吼，该出手时就出手！,445万,2室2厅 | 88.12平米 | 南 | 毛坯 | 低楼层(共18层) | 2011年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-b067d9cb-de6e-44bb-9593-7a400dddcd68.jpg.296x216.jpg
20200208,浦东,三林,永泰花苑.稀有毛坯电梯复式.地铁11号800米，配套成熟,665万,3室3厅 | 136.72平米 | 南 北 | 毛坯 | 高楼层(共12层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e07c51ea-84b0-4539-ae75-07eac921d346.jpg.296x216.jpg
20200208,浦东,三林,万科品质，经典小三房，看房方便,640万,3室2厅 | 89.33平米 | 南 北 | 精装 | 中楼层(共10层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-44a1754e-46c4-474a-a298-7fcbc59bb136.jpg.296x216.jpg
20200208,浦东,三林,商品房+满五年+看房随时+近地铁 +配套齐全+不靠路,588万,3室2厅 | 101.65平米 | 南 | 简装 | 高楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_AaNfQX2mk_1.jpg.296x216.jpg
20200208,浦东,三林,高品质花园小区 精装复式带产权车位 地暖空调配置,1150万,4室3厅 | 188平米 | 南 | 精装 | 低楼层(共6层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-8aaa9272-c178-4f43-9136-5d82074fdb9a.jpg.296x216.jpg
20200208,浦东,三林,万科雅筑带大三房带地暖，正对花园位置，拎包入住,910万,3室2厅 | 137.2平米 | 南 | 精装 | 中楼层(共11层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b8bb255d-d10b-4a3f-b163-2aa2a2c9197a.jpg.296x216.jpg
20200208,浦东,三林,金地品质小区 正气三房 满五唯一 临河景观位置,830万,3室2厅 | 141.55平米 | 南 | 精装 | 低楼层(共11层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-0d843eda-140a-49ae-b74e-043f5ff4de91.png.296x216.jpg
20200208,浦东,三林,三林安居苑，带阁楼，带露台，使用面积大于产证面积房主自荐,325万,1室1厅 | 57.21平米 | 南 | 毛坯 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-f71ccb0d-914c-4dc4-9b0a-08ace87968d0.png.296x216.jpg
20200208,浦东,三林,一手动迁，满五唯一，楼层好，位置好，诚意出售,398万,2室1厅 | 79.76平米 | 南 | 简装 | 低楼层(共16层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-9864c431-425b-4317-8806-22044f3c80d8.png.296x216.jpg
20200208,浦东,三林,一手动迁，满五唯一，带阁楼使用面积大,500万,3室2厅 | 95.56平米 | 南 | 简装 | 高楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-3368ab1e-c84c-40d4-9c58-56e7abd71340.png.296x216.jpg
20200208,浦东,三林,近地铁 满5唯一 南北通透 房型正气 看房方便,718万,3室2厅 | 122.09平米 | 南 北 | 简装 | 低楼层(共18层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d256ee9f-f4ec-438f-bee6-975725ec1bbe.jpg.296x216.jpg
20200208,浦东,三林,高楼层采光好，11号浦三路地铁，13年次新房，附13平,669万,3室2厅 | 89.33平米 | 南 | 精装 | 高楼层(共12层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-439b4672-5472-4534-a9b3-ec18d1206895.jpg.296x216.jpg
20200208,浦东,三林,精装修保养好，舒适小三房，中间楼层南北通风采光好,435万,3室1厅 | 93.19平米 | 南 | 精装 | 中楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-814aabd4-8ce6-473d-9517-8aa35ecc287e.jpg.296x216.jpg
20200208,浦东,三林,万科金色雅筑新出电梯5楼小三房，不靠马路，诚心出售,645万,3室1厅 | 89平米 | 南 | 精装 | 中楼层(共10层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-bf031307-c193-44fc-bb17-70100e29ca55.jpg.296x216.jpg
20200208,浦东,三林,南北双花园+一排停车位+南北通户型+诚意出售,455万,3室2厅 | 88.76平米 | 南 北 | 精装 | 低楼层(共20层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b75d806a-6305-4c06-8280-ed57108de569.jpg.296x216.jpg
20200208,浦东,三林,少有一本产证大复式 精装修 带花园 产权车位 房东诚售,1653万,5室3厅 | 249.2平米 | 南 北 | 精装 | 7层 | 2008年建 | 板塔结合,https://image1.ljcdn.com/310000-inspection/prod-eaec17c8-cfb3-4e4e-9e9a-9ccdbb1dd985.jpg.296x216.jpg
20200208,浦东,三林,前滩辐射区 满五唯一 小区花园位置 精装修 南北通风房主自荐,458万,3室2厅 | 88.58平米 | 南 | 精装 | 低楼层(共20层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c7642e59-ec11-4084-a5ae-ce77d6d019a2.jpg.296x216.jpg
20200208,浦东,三林,中间楼层 + 中间位置 + 热门户型房主自荐,352万,2室1厅 | 64.02平米 | 南 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_UuCJWcIol_1.jpg.296x216.jpg
20200208,浦东,三林,新上好房，前排花园，全南户型，满五唯一。,425万,2室2厅 | 87.16平米 | 南 | 精装 | 低楼层(共20层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_6rVK6r9QV_1.jpg.296x216.jpg
20200208,浦东,三林,小区唯一 一套在卖三楼边套户型 全明 户型房主自荐,348万,2室1厅 | 64.02平米 | 南 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-802d1b58-6630-4e36-96fa-50e721bc8afc.jpg.296x216.jpg
20200208,浦东,三林,空中别墅8房3厅3卫，满五唯一精装修，有车位房主自荐,1050万,8室3厅 | 125.86平米 | 南 | 精装 | 高楼层(共16层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_tqrjQGGxC_1.jpg.296x216.jpg
20200208,浦东,三林,满五唯一、飞机户型、景观位置、近地铁、近商场房主自荐,585万,3室2厅 | 101.46平米 | 南 | 简装 | 高楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_KGxN0BaSE_1.jpg.296x216.jpg
20200208,浦东,三林,高楼层无遮挡，采光充足，近地铁交通便利，配套齐全,560万,2室2厅 | 99.23平米 | 南 | 精装 | 高楼层(共12层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_emrmdvXNX_1.jpg.296x216.jpg
20200208,浦东,三林,三林地铁 金谊广场 朝南精两房 户型方正 看房方便。,415万,2室1厅 | 72.28平米 | 南 | 精装 | 低楼层(共12层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_zhquSk8qL_1.jpg.296x216.jpg
20200208,浦东,三林,靠前滩 带车位 6.8号线双轨交汇 全明南北两房,325万,2室1厅 | 69.89平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_BLahG3yYD_1.jpg.296x216.jpg
20200208,浦东,三林,本房采光充足，电梯高层。板式户型一梯两户,392万,2室1厅 | 79.73平米 | 南 | 简装 | 低楼层(共14层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-3c85200b-8566-40c6-9001-26c8d5259815.jpg.296x216.jpg
20200208,浦东,三林,2008年金谊河畔大三房，万科物业，出门就是商场房主自荐,810万,3室2厅 | 134.39平米 | 南 北 | 精装 | 低楼层(共18层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_zqIWmDM5V_1.jpg.296x216.jpg
20200208,浦东,三林,满五唯一，朝南前排别墅，无遮挡，采光好，有钥匙,460万,3室1厅 | 87.78平米 | 南 | 毛坯 | 低楼层(共18层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d05cdee1-5b10-4038-bbe3-b928d0632c17.jpg.296x216.jpg
20200208,浦东,三林,品珍苑，通透两居，小区旁就是印象城,385万,2室2厅 | 74.06平米 | 南 | 简装 | 高楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-46923d5d-a423-4617-a56c-205aec34193c.jpg.296x216.jpg
20200208,浦东,三林,前无遮挡采光好，楼层佳，采光好的。,465万,3室2厅 | 88.32平米 | 南 | 精装 | 18层 | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_FN49yvd1b_1.jpg.296x216.jpg
20200208,浦东,三林,前滩辐射区，无个税，双轨地铁11/6，花园洋房带电梯,735万,3室2厅 | 86.8平米 | 南 北 | 精装 | 6层 | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-005bd466-808f-41c7-8a9e-c8eb5834a71e.jpg.296x216.jpg
20200208,浦东,三林,前滩辐射板块 全明户型 地铁6\8号线交汇 小区居中位置,343万,2室1厅 | 75.97平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-3e998231-d3b5-400b-9f8a-9b54494fecc6.png.296x216.jpg
20200208,浦东,三林,地铁11号线三林东1.8公里，中海物业，2011年商品房,465万,3室2厅 | 88平米 | 南 | 精装 | 18层 | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_cZpyatyKj_1.jpg.296x216.jpg
20200208,浦东,三林,二手买进 看房方便 业主诚意出  地铁11号线浦三路,345万,2室1厅 | 76.72平米 | 南 | 简装 | 高楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_6zLI9vwxk_1.jpg.296x216.jpg
20200208,浦东,三林,三林新村，一手动迁，满五年，南北户型，电梯房,410万,2室1厅 | 75.81平米 | 南 | 毛坯 | 高楼层(共18层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_4cvKhStai_1.jpg.296x216.jpg
20200208,浦东,三林,前滩辐射区，08年电梯房，近11好线三林站，金谊广场,430万,2室2厅 | 83.82平米 | 南 | 简装 | 低楼层(共18层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_V3z4LQxQu_1.jpg.296x216.jpg
20200208,浦东,三林,满五唯一，南北户型， 高区采光无遮挡，视野宽阔,560万,3室2厅 | 89.09平米 | 南 北 | 简装 | 高楼层(共18层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_2y8EPNzfx_1.jpg.296x216.jpg
20200208,浦东,三林,精装3房，满五唯一，前排别墅，视野好，看房随时,475万,3室2厅 | 87.78平米 | 南 | 精装 | 低楼层(共18层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ABMnoM25h_1.jpg.296x216.jpg
20200208,浦东,三林,一首动迁，配套齐全，高区景观，适合刚需客户,420万,2室1厅 | 78.75平米 | 南 | 简装 | 中楼层(共16层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_fnWTHKWYr.jpg.296x216.jpg
20200208,浦东,三林,此房业主诚意出售，位处一楼花园，价格优美，看房随时房主自荐,382万,2室2厅 | 87.16平米 | 南 | 简装 | 低楼层(共20层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_GRSgJytfX_1.jpg.296x216.jpg
20200208,浦东,三林,精装1房，采光好，位置好，得房率高,323万,1室1厅 | 58.89平米 | 北 南 | 简装 | 高楼层(共5层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-8470ae03-998b-40e9-902e-890725705e56.jpg.296x216.jpg
20200208,浦东,三林,位置好，南北通二房，户型正气，看房方便,415万,2室2厅 | 73.78平米 | 南 | 简装 | 中楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_eOzWe6LRo_1.jpg.296x216.jpg
20200208,浦东,三林,三林印象城，位置号，中间楼层，紧俏边套全明户型，,500万,3室2厅 | 111.61平米 | 南 | 简装 | 中楼层(共5层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_YKE7pkZD3_1.jpg.296x216.jpg
20200208,浦东,三林,一手动迁，税收少，小区位置好，采光佳，业主诚意出售房主自荐,349万,2室2厅 | 74.87平米 | 南 | 精装 | 高楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-dde572ca-b21e-4c19-8400-25d1d097f1bb.jpg.296x216.jpg
20200208,浦东,三林,花草幽巷，岁月婉转，图文无法穷尽，亲临始见风华房主自荐,520万,2室2厅 | 97.54平米 | 南 | 精装 | 低楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Rvi3TXCkg_1.jpg.296x216.jpg
20200208,浦东,三林,满五唯一，精装两房南北通，看房随时诚意卖,353万,2室2厅 | 72.09平米 | 南 北 | 精装 | 高楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d9c722fc-4f43-4693-b033-69961332ac15.jpg.296x216.jpg
20200208,浦东,三林,板式三房，高区景观层，看房方便，诚意出售,720万,3室2厅 | 89.46平米 | 南 | 精装 | 14层 | 2009年建 | 板塔结合,https://image1.ljcdn.com/310000-inspection/pc1_zGJdcEsEB_1.jpg.296x216.jpg
20200208,浦东,三林,浦发绿城永泰路1960弄 3室2厅 445万,445万,3室2厅 | 113平米 | 南 北 | 简装 | 高楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_JPTZE2Sjt_1.jpg.296x216.jpg
20200208,浦东,三林,永泰花苑 原始三房 小区中间位置,540万,3室2厅 | 96.34平米 | 南 | 简装 | 中楼层(共12层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_kictOtL8M_1.jpg.296x216.jpg
