20200208,浦东,北蔡,满五唯一税费少！单价低总价也低！房东诚意出售！必看好房,400万,3室1厅 | 118.69平米 | 南 | 简装 | 低楼层(共22层) | 1998年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_lDyJkmqzF_1.jpg.296x216.jpg
20200208,浦东,北蔡,双南户型，采光好，楼层好 ,通风好必看好房,345万,2室1厅 | 66.43平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_5LkittvoM_1.jpg.296x216.jpg
20200208,浦东,北蔡,7号线芳华路地铁口，满五年，全明户型，房型正气必看好房,260万,2室1厅 | 53.69平米 | 东 | 毛坯 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ceGITCURD_1.jpg.296x216.jpg
20200208,浦东,北蔡,买进价高·增值税费少，稀有东边套·位置楼层好必看好房,425万,1室1厅 | 54.75平米 | 南 | 精装 | 高楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_AUjq6t1qH_2.jpg.296x216.jpg
20200208,浦东,北蔡,开发商精装修+商品房小区+房龄新+房东急售必看好房,760万,3室2厅 | 117.48平米 | 南 | 精装 | 中楼层(共21层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-bf77f37f-84e6-45a4-be98-87fe3f33b0eb.jpg.296x216.jpg
20200208,浦东,北蔡,2000年商品房+东边套+一梯两户+着急出售。必看好房,279万,2室1厅 | 57.31平米 | 南 | 精装 | 高楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_4asCcUS9S_2.jpg.296x216.jpg
20200208,浦东,北蔡,中间楼层，房东原始格局，没有改动过，看房有钥匙！必看好房,265万,2室1厅 | 63.21平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-2373e9c1-6fbe-4ea2-97c6-59cedf3eadd4.jpg.296x216.jpg
20200208,浦东,北蔡,二街区电梯一房，一手动迁，看房方便，诚意出售随时签必看好房,362万,1室1厅 | 55.71平米 | 南 | 简装 | 低楼层(共18层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b329dafa-3fea-4215-9d7d-ba60331f386c.jpg.296x216.jpg
20200208,浦东,北蔡,满两年少税，业主置换诚售，看中价可谈，有钥匙随时看必看好房,242万,1室1厅 | 47.6平米 | 南 北 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-fbd57694-228d-48d2-aab0-1fec81d9d41c.jpg.296x216.jpg
20200208,浦东,北蔡,小区中间，楼层2楼，西边套，采光明亮，看房方便必看好房,525万,3室1厅 | 107.83平米 | 南 | 精装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-260fdab1-1188-44b7-babb-07dce30b0a2c.jpg.296x216.jpg
20200208,浦东,北蔡,中环内，大一房，一梯两户，明厨明卫，通风性好必看好房,185万,1室1厅 | 45.69平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-fa538eca-f12b-402f-9aa0-6879aa8273fe.jpg.296x216.jpg
20200208,浦东,北蔡,距离13线地铁400米，全明两房朝南，税费低，位置好必看好房,321万,2室1厅 | 61.2平米 | 南 | 毛坯 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_qNg71oeIk_1.jpg.296x216.jpg
20200208,浦东,北蔡,龙阳路板块 全明双南户型 看房有钥匙随时方便必看好房,310万,2室1厅 | 63.22平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_5NroUg3eZ_1.jpg.296x216.jpg
20200208,浦东,北蔡,央座高区+精装带地暖+双轨交通+买进价高税少+南北通必看好房,677万,2室2厅 | 88.34平米 | 南 | 精装 | 高楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-6e762d20-16d0-4aee-983f-ad254dd01a9c.jpg.296x216.jpg
20200208,浦东,北蔡,南北大阳台，通透，位置安静，有车位，近地铁7+13必看好房,838万,3室2厅 | 117.91平米 | 南 北 | 精装 | 中楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f60e8dd3-b52f-4443-a426-77d220359828.jpg.296x216.jpg
20200208,浦东,北蔡,近地铁13号线、小高层、电梯3房、南北通透、双卫户型必看好房,727万,3室2厅 | 111.94平米 | 南 北 | 精装 | 中楼层(共14层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_UTSHasSg1_1.jpg.296x216.jpg
20200208,浦东,北蔡,新挂牌，近地铁，离家乐福近，房东诚意出售。采光好必看好房,373万,1室1厅 | 53.39平米 | 南 | 精装 | 低楼层(共18层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-14d887f2-ca52-47ab-8376-3032b5892cc3.jpg.296x216.jpg
20200208,浦东,北蔡,一手动迁，满五唯一，双天井，精装修，看房方便！必看好房,315万,2室1厅 | 60.3平米 | 南 | 精装 | 低楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a5002ba7-0ea5-46d9-adb8-228bbfbf8c7c.jpg.296x216.jpg
20200208,浦东,北蔡,龙阳高区 采光好 装修好 拎包入住 总价低 前后无遮挡必看好房,192万,1室1厅 | 41.37平米 | 南 北 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-42dce93a-8990-4c2b-848e-9736a427fa66.jpg.296x216.jpg
20200208,浦东,北蔡,装修好，非顶楼，配套齐全，近地铁双轨必看好房,350万,1室1厅 | 53.2平米 | 南 | 精装 | 高楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-4058d70f-2cd6-4eb6-85c0-3e362c0fbc04.jpg.296x216.jpg
20200208,浦东,北蔡,小户型，二楼总价低，景观房，近地铁采光好必看好房,152万,1室0厅 | 26.28平米 | 南 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_fnNbJ1h0R_1.jpg.296x216.jpg
20200208,浦东,北蔡,此房金钻楼层，双房朝南，双轨地铁，业主诚意售房！必看好房,405万,2室1厅 | 70.49平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_3AJyHMsjK_1.jpg.296x216.jpg
20200208,浦东,北蔡,好楼层，采光好，自住精装修，交通便捷，税少必看好房,409万,2室1厅 | 69.13平米 | 南 | 精装 | 中楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_YHyRglUeX_1.jpg.296x216.jpg
20200208,浦东,北蔡,南北通透大两房，房型正气，税费少，两年前精装修必看好房,375万,2室2厅 | 79.22平米 | 南 北 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-306b86a0-b86a-48a6-b4ab-eb334937212f.jpg.296x216.jpg
20200208,浦东,北蔡,低总价，中间楼层，前方无遮挡采光好，南北通必看好房,167万,1室1厅 | 33.35平米 | 南 | 毛坯 | 中楼层(共7层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-2de3bb5f-cd28-4aa6-8609-2e0bd6c3ac60.jpg.296x216.jpg
20200208,浦东,北蔡,非顶楼，看房方便，价格可谈，地铁200米，总价低必看好房,160万,1室1厅 | 31.67平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_tqA3xqmqX_1.jpg.296x216.jpg
20200208,浦东,北蔡,税费各付 正气三房 1T2户 近地铁7号线必看好房,460万,3室2厅 | 104.1平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_sjSR8XpDz_1.jpg.296x216.jpg
20200208,浦东,北蔡,诚意出售，精装，楼层好，视野开阔，小区环境优美。必看好房,680万,1室2厅 | 77.81平米 | 南 | 精装 | 高楼层(共24层) | 2016年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ddfd8cec-dc89-4e3d-bc62-5528045e8cf9.jpg.296x216.jpg
20200208,浦东,北蔡,内中环，大一房，单价3.59万/㎡。看房方便，诚意出售必看好房,170万,1室1厅 | 48.87平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a9ee26a7-7e1b-480d-8f70-a768213100cb.jpg.296x216.jpg
20200208,浦东,北蔡,精装修+双轨7/13号线+客厅带窗+诚意出售必看好房,285万,2室1厅 | 52.45平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Ko1VDbxxi_1.jpg.296x216.jpg
20200208,浦东,北蔡,电梯高区大2房  总价低  全明户型 诚售必看好房,755万,2室2厅 | 104.76平米 | 南 | 精装 | 中楼层(共18层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-990c2be1-9713-4369-a13b-472658df681a.jpg.296x216.jpg
20200208,浦东,北蔡,优质钥匙房 龙头双拼别墅  400万装修  满五年唯一必看好房,2580万,6室3厅 | 352平米 | 南 | 精装 | 3层 | 2008年建 | 板楼 | 双拼别墅,https://image1.ljcdn.com/310000-inspection/4cad41a6-6f9c-4183-ab91-7bdca9736292.JPG.296x216.jpg
20200208,浦东,北蔡,满五唯一，小区中间，有车位  税费少 看房方便必看好房,770万,2室1厅 | 108.83平米 | 南 | 毛坯 | 中楼层(共20层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/8e0d9c8a-8960-485f-a91b-23b4694a8e4b.jpg.296x216.jpg
20200208,浦东,北蔡,房子满五唯一免征个税，阁楼70平米，通风好，全明户型必看好房,830万,4室3厅 | 91.91平米 | 南 北 | 精装 | 高楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/shfdfs-image/20171018/1c38dd8a-8dcc-477e-9dc9-b170fe1d75ec.jpg.296x216.jpg
20200208,浦东,北蔡,中间位置3楼 一手动迁税少 门口7号地铁 北蔡热门小区必看好房,490万,2室1厅 | 77.94平米 | 南 | 毛坯 | 中楼层(共6层) | 2007年建 | 板楼,
20200208,浦东,北蔡,浦东星河湾泳池全景房+视野开阔+优选房源+诚意出售,2600万,4室3厅 | 301.31平米 | 南 | 精装 | 中楼层(共17层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b7430c46-494a-4e33-8dc2-eadc7af8524b.jpg.296x216.jpg
20200208,浦东,北蔡,中间位置大平层带产权车位，楼层低但四开间朝南采光好,1818万,4室2厅 | 196.73平米 | 南 北 | 精装 | 低楼层(共18层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-2fc76cc6-0683-48ac-a0ed-b53e066e5a1a.jpg.296x216.jpg
20200208,浦东,北蔡,私人订制四改三，从未住人，真正的新房 高层正观泳池,2800万,4室2厅 | 290.26平米 | 南 | 精装 | 中楼层(共16层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-f147f794-5244-4004-8c4c-a0f1e93c09b0.png.296x216.jpg
20200208,浦东,北蔡,东边套 +中间楼层+看房有钥匙+房东诚意出售。,439万,2室1厅 | 81.32平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-f6866faa-23a1-47d3-9ba8-a182cfa909bb.png.296x216.jpg
20200208,浦东,北蔡,钥匙房源，满五不唯一，全明户型，诚意急售,235万,1室1厅 | 48.7平米 | 南 | 简装 | 高楼层(共7层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-74529e6a-9487-4173-a2c2-ab43c2ee04c0.png.296x216.jpg
20200208,浦东,北蔡,04年商品房，满五唯一，小区花园位置,480万,2室2厅 | 91.94平米 | 南 | 简装 | 低楼层(共5层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-db393d32-a650-438c-bb2f-8bf14e457d86.png.296x216.jpg
20200208,浦东,北蔡,边套。低总价！户型方正，通透！价格可谈！,190万,1室1厅 | 49.68平米 | 南 | 毛坯 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-40750ffc-85f4-41dd-acec-6b27ebb169fe.png.296x216.jpg
20200208,浦东,北蔡,由由三村小区环境优美+双南厨卫朝北+户型正气近地铁,319万,2室1厅 | 67.5平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-bd04ff35-64c6-46af-9bac-a05d51336c9e.png.296x216.jpg
20200208,浦东,北蔡,精装大两房，楼层佳采光好，得房率高,550万,2室2厅 | 91平米 | 南 | 精装 | 6层 | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Sp66dZlyc_1.jpg.296x216.jpg
20200208,浦东,北蔡,一山一水一世界，一房一价一好房，身在此中乐开怀,880万,3室2厅 | 127.43平米 | 南 北 | 精装 | 中楼层(共11层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-f0aeda6f-6a65-4664-af76-edd8cb20a0c0.png.296x216.jpg
20200208,浦东,北蔡,满五唯一 自住装修，地铁7号线出行方便 花木街道管理,215万,2室0厅 | 44.71平米 | 南 北 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-685e6b97-20bb-4dab-882e-4d26c14b5273.png.296x216.jpg
20200208,浦东,北蔡,原始大一房板式户型动迁 免增值税 看房方便诚信出售,380万,1室2厅 | 68.28平米 | 南 | 简装 | 高楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-34ffd71b-3516-41c9-b27a-cdd712da1ed7.png.296x216.jpg
20200208,浦东,北蔡,满五年小高层景观房，客厅三面采光，小区景观尽收眼底,870万,3室2厅 | 133.7平米 | 西南 | 精装 | 中楼层(共11层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a586f977-dc7f-42a2-8934-c73db38b084e.jpg.296x216.jpg
20200208,浦东,北蔡,星河湾一期大三房，从未入住，看房有钥匙，随时可看,2100万,3室2厅 | 226.65平米 | 南 北 | 精装 | 低楼层(共11层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-1f1bd4b2-508f-4d5d-a488-480e1522284b.jpg.296x216.jpg
20200208,浦东,北蔡,双阳台落地窗，满五年。固定车位，南北通。诚意出,394万,2室2厅 | 93.01平米 | 南 | 毛坯 | 高楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-297da8ee-c2d0-4030-8732-759c33bcef49.jpg.296x216.jpg
20200208,浦东,北蔡,万邦中间位置三房，单价实惠朝南户型采光好离地铁近！,820万,3室2厅 | 127.3平米 | 南 | 简装 | 低楼层(共16层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a1cfedd5-a30d-40f1-bc85-0de52fbe98ac.jpg.296x216.jpg
20200208,浦东,北蔡,南北通小三房2013年次新房，明窗设计浅色装修刷卡入户,1180万,3室2厅 | 123.35平米 | 南 | 精装 | 低楼层(共19层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-ced28324-9236-4a8d-93b9-a20f2fc859b5.png.296x216.jpg
20200208,浦东,北蔡,地铁7号线 精装两房 双南双阳台 看房有钥匙房主自荐,349万,2室2厅 | 69.17平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-96849c70-5d05-416a-8927-9d38e58c56ea.jpg.296x216.jpg
20200208,浦东,北蔡,房改售房满五年税费少，非顶楼，户型正价格可谈近地铁,495万,3室1厅 | 90.13平米 | 南 | 简装 | 高楼层(共7层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_dRLZGCUIP_1.jpg.296x216.jpg
20200208,浦东,北蔡,大平层得房率高+视野开阔层高3.15米+通风效果好,1299万,5室1厅 | 156.58平米 | 南 | 毛坯 | 低楼层(共27层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-28de694d-a5f3-42a3-95c3-c35e6ad3bef9.jpg.296x216.jpg
20200208,浦东,北蔡,钥匙房，房东好 小户型，楼层2楼，小区中间位置,205万,1室1厅 | 33.49平米 | 南 | 毛坯 | 低楼层(共7层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b5f86e38-4c58-41a2-a24f-8a7f64d65714.jpg.296x216.jpg
20200208,浦东,北蔡,《2010年次新房+中环内+双南户型+房型好业主急卖》,325万,1室2厅 | 57.87平米 | 南 | 精装 | 11层 | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f4b9e9c3-e86a-4058-96e4-a925a5c68f1c.jpg.296x216.jpg
20200208,浦东,北蔡,中环小两房，普通住宅 满五唯一,405万,2室1厅 | 77.28平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-4aa70c67-7903-40c4-8fb6-03c691c5d6d5.jpg.296x216.jpg
20200208,浦东,北蔡,婚房装修 一手动迁 南北通透大两房 中环内次新房房主自荐,495万,2室2厅 | 86.58平米 | 南 北 | 精装 | 6层 | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-fd1af2fe-3c4f-4a08-bc09-89fcff6b4f45.png.296x216.jpg
20200208,浦东,北蔡,2005年商品房，满五年唯一，阳光充足，价位可谈哦。房主自荐,400万,2室2厅 | 82.38平米 | 南 | 精装 | 中楼层(共7层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-da6e7a87-a5ac-461f-a1b9-c7f37050011c.jpg.296x216.jpg
20200208,浦东,北蔡,有产权车位+采光好+2卧朝南+7/13号线双地铁+全明通风房主自荐,960万,3室2厅 | 134.5平米 | 南 | 精装 | 低楼层(共10层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-5119ccdd-ab8f-4b99-97d6-d6feb6e66d4b.png.296x216.jpg
20200208,浦东,北蔡,精装大三房 带阁楼 花木街道 环境好 可拎包入住房主自荐,629万,3室2厅 | 110.32平米 | 南 北 | 精装 | 高楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_2vLEhvLf9_1.jpg.296x216.jpg
20200208,浦东,北蔡,统一精装修 近地铁 高区视野带地暖,750万,2室1厅 | 83.69平米 | 南 | 精装 | 中楼层(共17层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_csNv8lP6d_1.jpg.296x216.jpg
20200208,浦东,北蔡,中间位置2房朝南板式户型，离磁悬浮远满五唯一！,960万,3室2厅 | 126.81平米 | 南 | 精装 | 中楼层(共11层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_lyQymLGEK_1.jpg.296x216.jpg
20200208,浦东,北蔡,中内环，开发商统一精装修，南北通三房两厅两卫房主自荐,780万,3室2厅 | 119.25平米 | 南 西 北 | 精装 | 低楼层(共21层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_4lP2ULoOD_1.jpg.296x216.jpg
