20200208,徐汇,徐家汇,精装修、户型方正，朝南，铂金3楼，只一套了必看好房,400万,1室1厅 | 40.85平米 | 南 | 精装 | 中楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b4c3ffbb-1484-4250-a2dd-b60a5f89b99d.jpg.296x216.jpg
20200208,徐汇,徐家汇,近徐家汇地铁.闹中取静 品质小区 中高区边套.全南两房必看好房,1069万,2室2厅 | 110.44平米 | 南 | 精装 | 中楼层(共26层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_GuWr4BFBy_1.jpg.296x216.jpg
20200208,徐汇,徐家汇,售后公房+两房朝南采光好+近交通大学地铁+近淮海中路必看好房,435万,2室1厅 | 47.29平米 | 南 | 精装 | 高楼层(共5层) | 1977年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-0221f2e4-f5d8-4a5b-9aba-35410861908b.jpg.296x216.jpg
20200208,徐汇,徐家汇,徐家汇公园+朝南两房+高区全明户型+诚意出售必看好房,678万,2室2厅 | 93.06平米 | 南 | 简装 | 中楼层(共22层) | 1999年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/d11983f0-340a-4484-8acb-04084f2a1552_1000.jpg.296x216.jpg
20200208,徐汇,徐家汇,电影华苑 1室2厅 628万必看好房,628万,1室2厅 | 60.95平米 | 南 | 精装 | 低楼层(共33层) | 2008年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-0b0766e1-2c96-4591-825c-510cc91fdb0a.jpg.296x216.jpg
20200208,徐汇,徐家汇,徐家汇 低总价 一室半 有钥匙 随时看房必看好房,255万,1室1厅 | 38.22平米 | 南 | 简装 | 低楼层(共5层) | 1979年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_RA9JG28XC_1.jpg.296x216.jpg
20200208,徐汇,徐家汇,番南小区标准一室户，单价总价低，位置安静交通方便必看好房,430万,1室1厅 | 44.6平米 | 南 | 简装 | 低楼层(共7层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-6732967e-fc71-4fce-9515-e96f6156609a.jpg.296x216.jpg
20200208,徐汇,徐家汇,内环内 总价低 边套全明南北通 看房方便 不靠马路必看好房,276万,1室1厅 | 39.54平米 | 南 | 简装 | 高楼层(共6层) | 1975年建 | 板楼,https://image1.ljcdn.com/310000-inspection/fdfe04b1-ef2d-4e18-b552-97173e55ce3f_1000.jpg.296x216.jpg
20200208,徐汇,徐家汇,朝南全明一室户+院子12平+阳光充足 钥匙房 随时看必看好房,490万,1室1厅 | 27.94平米 | 南 | 精装 | 低楼层(共5层) | 1984年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_QyCGBFzRg_1.jpg.296x216.jpg
20200208,徐汇,徐家汇,凯旋花苑大两房+高区无遮挡+业主诚售必看好房,1025万,2室2厅 | 104.85平米 | 南 | 精装 | 高楼层(共30层) | 2003年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_w24EsTCRi_1.jpg.296x216.jpg
20200208,徐汇,徐家汇,全屋精装修+满五年唯一税费少 +高区 东南向阳光充足必看好房,735万,2室2厅 | 77.23平米 | 东南 | 简装 | 高楼层(共24层) | 1997年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_ZOodxlfyv_1.jpg.296x216.jpg
20200208,徐汇,徐家汇,内环内地铁口三条轨交，楼层好，阳光好，92.8%得房率必看好房,345万,1室1厅 | 45.79平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_XQATcrg5p_1.jpg.296x216.jpg
20200208,徐汇,徐家汇,高安低总价电梯一房+精装有钥匙+徐家汇公园必看好房,560万,1室1厅 | 47.01平米 | 东 | 精装 | 低楼层(共20层) | 1995年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_7Q5MYTRMz_1.jpg.296x216.jpg
20200208,徐汇,徐家汇,徐家汇站500米  海天公寓 精装小户型必看好房,375万,1室1厅 | 42.2平米 | 东 | 精装 | 高楼层(共16层) | 1989年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_xT7NdEu8K_1.jpg.296x216.jpg
20200208,徐汇,徐家汇,电影华苑 1室2厅 645万必看好房,645万,1室2厅 | 80.94平米 | 南 | 精装 | 低楼层(共21层) | 2008年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_XA49OtIwI_1.jpg.296x216.jpg
20200208,徐汇,徐家汇,永新城仅有2套的户型+4开间朝南+产权清晰+另外有车位必看好房,1520万,3室2厅 | 143.2平米 | 南 | 精装 | 低楼层(共21层) | 2007年建 | 板塔结合,https://image1.ljcdn.com/310000-inspection/pc1_MFAH0HDz2_1.jpg.296x216.jpg
20200208,徐汇,徐家汇,南北通风+徐家汇景观房+24小时管家服务必看好房,1590万,3室2厅 | 170.24平米 | 南 | 精装 | 低楼层(共36层) | 2005年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_b76f80za3_1.jpg.296x216.jpg
20200208,徐汇,徐家汇,小区中间位置，板式南北通大三房，户型方正必看好房,1350万,3室2厅 | 140.68平米 | 南 | 精装 | 低楼层(共28层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_RXjm8Hj0q_1.jpg.296x216.jpg
20200208,徐汇,徐家汇,内环三轨交汇+花园小区+满五唯一+户型方正+看房随时必看好房,962万,2室2厅 | 111.68平米 | 南 北 | 精装 | 中楼层(共22层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-421e187c-95d6-4e32-9f9c-259a30f7a780.jpg.296x216.jpg
20200208,徐汇,徐家汇,业主诚售+卖家税费无+采光视野好+位置安静+精装修必看好房,510万,2室1厅 | 52.76平米 | 南 | 精装 | 高楼层(共6层) | 1991年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a3519c95-f895-4517-889c-545281e181e6.jpg.296x216.jpg
20200208,徐汇,徐家汇,总价低 二楼楼层适中  近地铁必看好房,220万,1室0厅 | 32.33平米 | 南 | 简装 | 中楼层(共5层) | 1978年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ce85ffe6-2156-4c2a-ac5f-ce46950d9389.jpg.296x216.jpg
20200208,徐汇,徐家汇,徐家汇铂金地段，交通便利，满五年无增值税。必看好房,420万,2室1厅 | 54.62平米 | 南 | 简装 | 中楼层(共6层) | 1991年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_42mqNm7s4_1.jpg.296x216.jpg
20200208,徐汇,徐家汇,满五唯一+边套全明+精装修+车位可租+不临街+采光好必看好房,319万,2室1厅 | 50.86平米 | 南 | 精装 | 高楼层(共6层) | 1988年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-51a47113-61d8-4ea2-b459-7bdcea6a77b3.jpg.296x216.jpg
20200208,徐汇,徐家汇,精装修 大天井 两房朝南 不潮湿必看好房,675万,2室1厅 | 57.85平米 | 南 | 精装 | 低楼层(共6层) | 1987年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-50f26548-cb0b-471f-a970-9bd5523f3a4d.png.296x216.jpg
20200208,徐汇,徐家汇,近美罗城 南北二房 品质公房 临徐汇图书馆 环境整洁必看好房,475万,2室1厅 | 52.53平米 | 南 | 精装 | 中楼层(共6层) | 1985年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-1aff6793-2a9a-42f3-95e7-ac9314f24bcd.jpg.296x216.jpg
20200208,徐汇,徐家汇,93年新房龄+中间楼层+总价低+装修新必看好房,230万,1室0厅 | 33.38平米 | 东 | 精装 | 低楼层(共3层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_3kLYdEPJm_1.jpg.296x216.jpg
20200208,徐汇,徐家汇,小户型，楼层好，阳光充足，视野开阔必看好房,498万,1室1厅 | 29.96平米 | 南 | 精装 | 中楼层(共5层) | 1984年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_0JsGV2ufv_1.jpg.296x216.jpg
20200208,徐汇,徐家汇,售后公房  满五唯一   双卧朝南   采光视野好必看好房,595万,2室1厅 | 67.96平米 | 南 | 精装 | 中楼层(共18层) | 1992年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_X1FXZIgYD_1.jpg.296x216.jpg
20200208,徐汇,徐家汇,南北通格局，视野好，采光充足，配套齐全，不靠马路必看好房,288万,1室1厅 | 36.21平米 | 南 | 精装 | 高楼层(共6层) | 1976年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_VNlaHSXMl_1.jpg.296x216.jpg
20200208,徐汇,徐家汇,小高层，1梯2户，阳光好，高得房，满五唯一，车库另算必看好房,1030万,3室1厅 | 104.46平米 | 南 北 | 精装 | 高楼层(共9层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_SksJWNvhU_1.jpg.296x216.jpg
20200208,徐汇,徐家汇,店长力荐，自带会所，看江景和八万人体育馆，全天采光必看好房,765万,2室1厅 | 101.71平米 | 南 | 简装 | 高楼层(共26层) | 1997年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-94774997-654a-4c8f-858d-bb0fdf75a1c3.jpg.296x216.jpg
20200208,徐汇,徐家汇,徐家汇明星楼  板式大一居 降价急售 满五年唯一必看好房,854万,1室2厅 | 79.3平米 | 南 | 精装 | 低楼层(共31层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b98394ff-209c-442a-a09b-792c3e320647.jpg.296x216.jpg
20200208,徐汇,徐家汇,品质小区双南户型  诚意出售 看房方便必看好房,835万,2室2厅 | 99.79平米 | 南 | 简装 | 中楼层(共17层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_3cY6muGU2_1.jpg.296x216.jpg
20200208,徐汇,徐家汇,售后公房  满五唯一  采光充足  位置安静必看好房,530万,2室1厅 | 62.89平米 | 南 | 简装 | 高楼层(共18层) | 1989年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_vs03gABO3_1.jpg.296x216.jpg
20200208,徐汇,徐家汇,汇师售后公房唯一、无个税，业主比较诚意出售！必看好房,717万,2室1厅 | 78.91平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/a611aea3-9f5c-47aa-abd5-203dde6a1fbd_1000.jpg.296x216.jpg
20200208,徐汇,徐家汇,内环内  天钥桥路上90年公房小区，满五唯一，必看好房,380万,2室0厅 | 45.42平米 | 南 | 简装 | 中楼层(共4层) | 1990年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-68a5dbdc-2618-491f-af87-3a230c4c792f.jpg.296x216.jpg
20200208,徐汇,徐家汇,售后公房，满五年唯一，税费少，带院子，业主诚意出售必看好房,405万,1室1厅 | 35.11平米 | 南 | 简装 | 低楼层(共6层) | 1990年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_amJklBuzw_1.jpg.296x216.jpg
20200208,徐汇,徐家汇,内环内+小区靠里边位置朝南+单价总价低+诚意出售必看好房,208万,1室1厅 | 33.17平米 | 南 | 简装 | 高楼层(共6层) | 1987年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_vDPx6AxA3_1.jpg.296x216.jpg
20200208,徐汇,徐家汇,徐家汇内环内 中间楼层 南北全明两房 税少必看好房,455万,2室1厅 | 55.34平米 | 南 | 简装 | 中楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-bc306624-ac98-4068-a41b-a81f4e7de11f.jpg.296x216.jpg
20200208,徐汇,徐家汇,好楼层，精装修，近地铁，满五唯一，诚意出售,必看好房,399万,1室1厅 | 35.56平米 | 南 | 精装 | 中楼层(共5层) | 1988年建 | 板楼,https://image1.ljcdn.com/310000-inspection/930c3181-9136-4468-8d0b-27473f31f103_1000.jpg.296x216.jpg
20200208,徐汇,徐家汇,满五唯一带车位+200万装修真金镀顶+正看小区花园必看好房,2330万,5室2厅 | 231.17平米 | 南 | 精装 | 高楼层(共11层) | 2002年建 | 板楼,
20200208,徐汇,徐家汇,亚都新上挂牌大三房，满五唯一，两南一北，位置安静必看好房,1388万,3室2厅 | 147.04平米 | 南 北 | 精装 | 高楼层(共30层) | 2003年建 | 板楼,
20200208,徐汇,徐家汇,有钥匙，没有个税，装修花了88万，业主诚意卖价格可谈房主自荐,880万,3室1厅 | 125.3平米 | 南 北 | 精装 | 低楼层(共20层) | 1997年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/test-d70c2718-cd56-4950-b8e6-87cfd0b955f4.png.296x216.jpg
20200208,徐汇,徐家汇,5.5万！97年，徐家汇板块，地铁口，电梯房单价总价低,845万,3室2厅 | 147.02平米 | 南 | 简装 | 低楼层(共27层) | 1997年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/test-5411575d-6851-44ef-bbea-7f63830d3b9f.png.296x216.jpg
20200208,徐汇,徐家汇,正气三房满五唯一，内环内，税费少，诚意出售,1100万,3室2厅 | 154.43平米 | 东 | 精装 | 中楼层(共25层) | 1992年建 | 板塔结合,https://image1.ljcdn.com/shfdfs-image/20160831/ea9e3bbe-7f24-4c2e-896e-1b8ffe4f3994.jpg.296x216.jpg
20200208,徐汇,徐家汇,三年出此一套+南北通透+业主诚意出售房主自荐,800万,2室1厅 | 80.39平米 | 南 北 | 精装 | 低楼层(共18层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-76503c68-aad9-4dcb-9f3c-139489439230.png.296x216.jpg
20200208,徐汇,徐家汇,进来看一看，徐家汇93年新公房 中区边套全明,550万,2室1厅 | 64.7平米 | 南 | 精装 | 中楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-757913fc-e67b-4887-abf9-39e305e2d7e9.png.296x216.jpg
20200208,徐汇,徐家汇,汇师精致一房+近地铁+紧挨上海体育馆+看房随时。,620万,1室1厅 | 64.33平米 | 东 东南 | 精装 | 低楼层(共23层) | 1992年建 | 板塔结合,https://image1.ljcdn.com/shfdfs-image/20180128/f6a6936c-825a-4f8a-9748-92f046a52839.jpg.296x216.jpg
20200208,徐汇,徐家汇,徐家汇 朝南电梯一室户、电梯房、阳光全天不挡,430万,1室1厅 | 55.28平米 | 南 | 简装 | 30层 | 1995年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/test-bd75d0e3-a021-4fe4-88e4-a4a2635601a0.png.296x216.jpg
20200208,徐汇,徐家汇,中漕小区，内环内电梯三房，中高层采光好，低总价,860万,3室1厅 | 88.85平米 | 南 | 精装 | 中楼层(共8层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/0176d849-6f36-4435-a617-aad4c5591d26.jpg.296x216.jpg
