20200208,浦东,联洋,9号线+进才+南北双阳台+统装交付+地暖+空调必看好房,1350万,3室2厅 | 136.32平米 | 南 | 精装 | 低楼层(共26层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_So4PujBjX_2.jpg.296x216.jpg
20200208,浦东,联洋,诚售！世纪公园全景房 空中别墅 大四房 免个税随时看,1700万,4室2厅 | 194.67平米 | 南 | 精装 | 高楼层(共23层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a2b7f9b7-7c50-4c38-b243-b7c8aa1bd329.jpg.296x216.jpg
20200208,浦东,联洋,第九城市(二期) 3室2厅 1390万,1390万,3室2厅 | 147.83平米 | 南 | 毛坯 | 高楼层(共23层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-34d01c5d-ccfd-41d9-a068-26a11abc649b.jpg.296x216.jpg
20200208,浦东,联洋,小区中间位置+五房朝南+带60㎡露台+自住装修+带车位,1950万,6室2厅 | 223.71平米 | 南 | 精装 | 高楼层(共11层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-7b614bbc-e99b-4174-baf5-498eaaa51ae9.jpg.296x216.jpg
20200208,浦东,联洋,大阳台三房，小区安静位置，前后视野无遮挡，诚意出售,1520万,3室2厅 | 161平米 | 南 | 精装 | 低楼层(共26层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-be17e2f8-f50d-4707-ac98-5b8eae410593.jpg.296x216.jpg
20200208,浦东,联洋,带产权车位 世纪公园景观房 人车分流 稀有小户型,970万,2室2厅 | 99.49平米 | 南 | 精装 | 20层 | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c4b28600-e452-4ddc-b11e-5bb222bc9f1b.jpg.296x216.jpg
20200208,浦东,联洋,面朝世纪公园，226平大四房，税少，2/9/18号线，诚售,1880万,4室2厅 | 226.96平米 | 南 | 精装 | 中楼层(共4层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-db361f4c-933f-4ab5-b52a-edf78e03ec26.jpg.296x216.jpg
20200208,浦东,联洋,看东方明珠景观+小区中间位置+2015年新装修+近地铁口,1850万,4室2厅 | 193.83平米 | 南 北 | 精装 | 高楼层(共18层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-2d317c38-98c5-47c5-88b2-933d9c364f60.jpg.296x216.jpg
20200208,浦东,联洋,4房+1保姆房 单价8.6万 中间安静位置 看房随时 视野好,1799万,4室2厅 | 207.67平米 | 南 | 精装 | 低楼层(共26层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_i1vfmtmzy.jpg.296x216.jpg
20200208,浦东,联洋,有天有地有花园附带精装修地下室、诚意出售、保养好、,1180万,3室2厅 | 123平米 | 南 北 | 精装 | 低楼层(共9层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-4cd2701a-a20c-4ec7-95b7-c4ce424ad562.jpg.296x216.jpg
20200208,浦东,联洋,景观房原始复式丨满五唯一、带车位丨看中价格可以沟通,2400万,5室2厅 | 259.02平米 | 南 | 精装 | 高楼层(共9层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-01d58859-4562-40c3-89d8-376ccd59b113.jpg.296x216.jpg
20200208,浦东,联洋,浦东内环内 世纪公园旁 精装复式 动静分离 户型方正,1350万,3室2厅 | 155.69平米 | 南 | 精装 | 高楼层(共23层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-251b5b68-da83-4504-931e-49f159eaa16d.jpg.296x216.jpg
20200208,浦东,联洋,朝南3开间，南北通三房，近9号线地铁， 位置安静,1200万,3室2厅 | 138.44平米 | 南 | 精装 | 低楼层(共18层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a80844dc-696f-4284-ab64-ab33d9e72b88.jpg.296x216.jpg
20200208,浦东,联洋,9号线芳甸路顶楼复式，有车位，河景位置佳，通透性好,1980万,5室3厅 | 209.24平米 | 南 | 精装 | 高楼层(共21层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-79f429eb-b50d-4e38-84b5-a001a12a8791.jpg.296x216.jpg
20200208,浦东,联洋,钥匙房 精装带地暖 随时看急售 拎包入住,1370万,3室2厅 | 150.83平米 | 南 北 | 精装 | 中楼层(共30层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-1a5b1821-5838-4169-9e37-4e169c7bd72a.jpg.296x216.jpg
20200208,浦东,联洋,正气大三房，三个阳台，有车位另算70万，楼层好,1320万,3室2厅 | 145.52平米 | 南 | 精装 | 中楼层(共25层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e58959e5-9028-4628-9c5e-400e64a58e0e.jpg.296x216.jpg
20200208,浦东,联洋,双南户型+装修精美+采光好+视野开阔,530万,2室1厅 | 77.62平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d1ee88ac-7161-4b7d-a9dc-a030f52d9671.jpg.296x216.jpg
20200208,浦东,联洋,满五年唯一人车分离 正看小区景观大道采光好 视野开阔,980万,2室2厅 | 97.38平米 | 南 | 简装 | 18层 | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_BDa3fUAlS.jpg.296x216.jpg
20200208,浦东,联洋,人车分流 小区中间位置 小高层 得房率高 看房方便,1720万,3室2厅 | 204.57平米 | 南 | 精装 | 7层 | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-0913083c-3aa9-482f-96e8-df055389d3b7.jpg.296x216.jpg
20200208,浦东,联洋,大三房南北通户型好，全新装修1年保养好，可领包入住,1380万,3室2厅 | 150.8平米 | 南 北 | 精装 | 低楼层(共24层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-6cd2a5ad-68ed-4c51-963c-fe1257192c36.jpg.296x216.jpg
20200208,浦东,联洋,景观位置 免征个税 3+1房 自住看房方便 税费低 有车位,1650万,4室2厅 | 181.18平米 | 南 北 | 精装 | 中楼层(共18层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-761d5f72-352a-4e75-b789-4f1f00c2a111.jpg.296x216.jpg
20200208,浦东,联洋,南北直通双阳台 采光好视野佳 装修保养好 近地铁,1338万,3室2厅 | 140.33平米 | 南 北 | 精装 | 中楼层(共11层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-bcaf9f54-d992-42a7-a5d2-13c06a7ee80f.jpg.296x216.jpg
20200208,浦东,联洋,1190的三房，联洋热推，有地下车位，人车分流，诚意,1190万,3室2厅 | 125.91平米 | 南 | 精装 | 9层 | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-da0511e6-a8ed-48e7-933b-b262da4123cd.jpg.296x216.jpg
20200208,浦东,联洋,房型方正+近地铁+南北正通+单价低+万科物业+随时看房,1200万,3室2厅 | 180平米 | 南 | 精装 | 低楼层(共11层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ed4a1383-f5d4-4d7b-acb6-39e801173471.jpg.296x216.jpg
20200208,浦东,联洋,满五唯一税费少+绿化尽收眼底+前后视野无遮挡+方便看,1300万,3室2厅 | 145.34平米 | 南 | 精装 | 17层 | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ff8654fd-8ce7-4518-a4e2-6ad37f64e63c.jpg.296x216.jpg
20200208,浦东,联洋,2+1，满五年唯一，装修好保养如新，高区视野宽阔房主自荐,1160万,2室2厅 | 119.59平米 | 南 北 | 精装 | 高楼层(共21层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-67aa6fe5-b5c2-48fe-99b3-2e7f3aee89b2.jpg.296x216.jpg
20200208,浦东,联洋,走过路过不要错过、景观大道正三房、业主急售、随时看,1470万,3室2厅 | 156平米 | 南 | 精装 | 低楼层(共26层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-36b1697e-419e-4a64-98e8-7c7704ea0875.jpg.296x216.jpg
20200208,浦东,联洋,精美复式三房，位置安静，动静分离，面宽大，采光足,1398万,3室2厅 | 155.69平米 | 南 | 精装 | 中楼层(共25层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-aae39b28-eed8-4188-a50d-b51e5a4c1bf3.jpg.296x216.jpg
20200208,浦东,联洋,诚意vip房源，小区中间位置，安静怡人 满五年唯一,740万,1室2厅 | 76.04平米 | 南 | 精装 | 低楼层(共21层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-5243bf88-0fb7-4f1c-afc9-e8017d73eaa7.jpg.296x216.jpg
20200208,浦东,联洋,落地窗房间敞亮，高区景观好，买入价高税费少，带车位,1650万,3室2厅 | 171.48平米 | 南 | 精装 | 高楼层(共25层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-14cece3e-041f-4bc8-82f7-7875791ee7d7.png.296x216.jpg
20200208,浦东,联洋,满5年唯一，装修好的顶楼复式，挑空8米客厅，正气5房,1980万,5室3厅 | 242.14平米 | 南 | 精装 | 高楼层(共12层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_L3Rbi3Jyh_1.jpg.296x216.jpg
20200208,浦东,联洋,总价低、户型好、地铁、诚意出售、随时看、位置好,858万,2室2厅 | 87.99平米 | 南 | 精装 | 低楼层(共18层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-7c5fa851-a5c9-49e8-ba40-8dea4edf298e.png.296x216.jpg
20200208,浦东,联洋,世纪公园全景+有车位+拎包住+台湾业主+满五唯一房主自荐,2594万,4室3厅 | 259.47平米 | 南 | 精装 | 高楼层(共19层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ZwgPfWLoF_1.jpg.296x216.jpg
20200208,浦东,联洋,轨交9号线+方正三房+ 中高区采光好+南北错通+随时看,1248万,3室2厅 | 141.24平米 | 南 | 精装 | 中楼层(共18层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e4d26ce4-11dc-43f3-8eed-0cb686f43246.jpg.296x216.jpg
20200208,浦东,联洋,五房户型，小区安静位置，出入方便，看房方便,1930万,5室3厅 | 226.17平米 | 南 | 精装 | 低楼层(共26层) | 2005年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-1c6c3eb4-33f9-4211-bbc3-b7885272934d.jpg.296x216.jpg
20200208,浦东,联洋,震惊，税费一点点，高区景观房，诚意卖，赶紧联系我,1050万,2室1厅 | 110.22平米 | 南 | 精装 | 29层 | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-a78f2287-261b-4f0f-b822-8700908578b5.png.296x216.jpg
20200208,浦东,联洋,免征个税 单价7.6万 明厨明卫 南北直通 户型方正房主自荐,920万,2室2厅 | 120.4平米 | 南 北 | 精装 | 低楼层(共21层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-22cfc6fc-e024-43f0-95a0-d94ab1b691de.png.296x216.jpg
20200208,浦东,联洋,北邻河水 边套全明户型 有车位在楼下  诚意出售保养好,1460万,3室2厅 | 151.16平米 | 南 | 精装 | 低楼层(共30层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_jQB4n7TK6_1.jpg.296x216.jpg
20200208,浦东,联洋,地铁口，小户型复式，无个税，高区视野好，看房方便房主自荐,1500万,3室2厅 | 151.67平米 | 南 | 精装 | 高楼层(共12层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_SmDkAJEq3_1.jpg.296x216.jpg
20200208,浦东,联洋,大四房+有车位（另算）+保养如新+诚意出售+看房随时,2900万,4室2厅 | 269.64平米 | 南 北 | 精装 | 低楼层(共27层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ecnAEk8PH_1.jpg.296x216.jpg
20200208,浦东,联洋,内环单价4万9+三年装修+面积大+通透户型+9号线,1290万,3室2厅 | 262.52平米 | 南 | 精装 | 低楼层(共11层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_XRr1UcoiV.jpg.296x216.jpg
20200208,浦东,联洋,装修保养好 有车位可停两部车 满五年 双卫户型好,1020万,2室1厅 | 104.4平米 | 南 | 精装 | 中楼层(共23层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_lNzM8dQDe_1.jpg.296x216.jpg
20200208,浦东,联洋,次顶楼 满五年唯一 税费少正看小区央景 南北直通,1190万,3室2厅 | 124.67平米 | 南 北 | 简装 | 10层 | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_26ntvhB0K.jpg.296x216.jpg
20200208,浦东,联洋,南北三房+房型好+九号线+满五唯一,1290万,3室2厅 | 156.86平米 | 南 | 精装 | 低楼层(共18层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_6eTyL8Ty2_1.jpg.296x216.jpg
20200208,浦东,联洋,满五年唯一，买进高，地铁，好房，诚意出售，保养好，,1450万,3室2厅 | 137平米 | 南 | 精装 | 中楼层(共26层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-132b407b-d1d5-4608-a9b1-276dadb202ea.jpg.296x216.jpg
20200208,浦东,联洋,9号线地铁，边套全明格局，车位，税费低，方便看,1460万,3室2厅 | 136.11平米 | 南 北 | 精装 | 低楼层(共30层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_hKETZJnKb_1.jpg.296x216.jpg
20200208,浦东,联洋,9号线，全新精装二房，总价低，必看好房，拎包入住,1018万,2室1厅 | 104.92平米 | 南 | 精装 | 低楼层(共23层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_pQInq8HP4_1.jpg.296x216.jpg
20200208,浦东,联洋,世纪公园景观房，三开间朝南，高区视野开阔，保养好,970万,2室2厅 | 115.38平米 | 南 | 精装 | 中楼层(共34层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_8GPv33i4I_1.jpg.296x216.jpg
20200208,浦东,联洋,世纪公园高区景观大三房  地铁刚需必备,1420万,3室2厅 | 155.25平米 | 南 | 精装 | 18层 | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_siaOWKDFn.jpg.296x216.jpg
20200208,浦东,联洋,16年二次装修+有地暖+有车位+有露台+央座景观房房主自荐,1500万,3室2厅 | 146.21平米 | 南 | 精装 | 18层 | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_juMzJdfx5_1.jpg.296x216.jpg
20200208,浦东,联洋,曾获白玉兰奖，南面小区水景，采光足，好口碑业主诚售,1468万,4室2厅 | 214.18平米 | 南 | 精装 | 低楼层(共11层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_VJKZAHalz.jpg.296x216.jpg
20200208,浦东,联洋,近地铁9号线、满五年、高区精装，大5房、带露台、车位,2450万,5室2厅 | 253.55平米 | 南 | 精装 | 高楼层(共11层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_R9lQX1xmy_1.jpg.296x216.jpg
20200208,浦东,联洋,高区观景房 有钥匙 保养新 1420万 满四年唯一,1460万,3室2厅 | 136.05平米 | 南 | 精装 | 中楼层(共30层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_5fhVOAUPE_1.jpg.296x216.jpg
20200208,浦东,联洋,钥匙房+安静位置+精装，保养好+出国移民+业主诚售,1410万,3室2厅 | 151.4平米 | 南 北 | 精装 | 低楼层(共26层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_cZGnWw7W2_1.jpg.296x216.jpg
20200208,浦东,联洋,小区正中间位置 高区景观房 业主诚意出售,1790万,5室2厅 | 193.83平米 | 南 | 毛坯 | 高楼层(共18层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_slZ6z0Ymi.jpg.296x216.jpg
20200208,浦东,联洋,个税免征，配套齐全，位置安静，若想要地下室也可另算,1200万,4室2厅 | 158.7平米 | 南 | 毛坯 | 低楼层(共22层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_HxmKzvqvm_1.jpg.296x216.jpg
20200208,浦东,联洋,双南两房，位置安静，出入方便，视野开阔，总价低,1058万,2室2厅 | 111.72平米 | 南 | 精装 | 25层 | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Fq209rlA7_1.jpg.296x216.jpg
20200208,浦东,联洋,地铁、满五年唯一、税费少、随时看、好房、诚意出售,950万,2室2厅 | 92.45平米 | 南 | 精装 | 低楼层(共18层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Gqp45VV2r_1.jpg.296x216.jpg
20200208,浦东,联洋,景观大三房+百万装修+全屋地暖空调+阳光充裕随时看,1450万,3室2厅 | 158.55平米 | 南 | 精装 | 中楼层(共30层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_t0qi5dkbo_1.jpg.296x216.jpg
20200208,浦东,联洋,满五年唯一，四房朝南，近地铁9号线，附带20平露台,1600万,4室2厅 | 168.19平米 | 南 | 精装 | 高楼层(共30层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_CuGdJM2pU_1.jpg.296x216.jpg
20200208,浦东,联洋,世纪公园+满五+双轨交通+双阳台+精装修+业主诚售,1230万,3室2厅 | 146.79平米 | 南 | 精装 | 低楼层(共13层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_dn2JpelMM_1.jpg.296x216.jpg
20200208,浦东,联洋,厨卫全明，高层，自住装修，保养很好,1380万,3室2厅 | 151.16平米 | 南 北 | 精装 | 高楼层(共30层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_GAiWGoNcE.jpg.296x216.jpg
20200208,浦东,联洋,有车位+看房方便+小区绿化景观+南北通+地铁,1380万,3室2厅 | 139.55平米 | 北 南 | 精装 | 低楼层(共25层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ZS2aiT57c_1.jpg.296x216.jpg
20200208,浦东,联洋,南北通，飞机户型，满五年，二次装修，拎包住,1500万,3室2厅 | 154.61平米 | 南 | 精装 | 高楼层(共18层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_yEme8okBi_1.jpg.296x216.jpg
20200208,浦东,联洋,满五唯一没有个税+大户型顶复+采光视野很好,2580万,6室2厅 | 282.7平米 | 南 北 | 精装 | 12层 | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Au0WeslHp_1.jpg.296x216.jpg
20200208,浦东,联洋,三房朝南 精装修 带地暖 高楼层 含产权车位,1380万,3室2厅 | 165.56平米 | 南 | 精装 | 中楼层(共22层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_PxPAdPeyh_1.jpg.296x216.jpg
20200208,浦东,联洋,高区采光佳+内环内精装大两房+自住精装修,540万,2室1厅 | 77.62平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_nL29HEyUr_1.jpg.296x216.jpg
20200208,浦东,联洋,43平大露台，少有户型 ，房东诚意出售，看房方便,1400万,3室2厅 | 156.38平米 | 南 | 简装 | 18层 | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_6REeXrG49_1.jpg.296x216.jpg
20200208,浦东,联洋,仁恒拎包入住三房一楼带花园，私密性好，带产权车位,1380万,3室2厅 | 150.1平米 | 南 北 | 精装 | 低楼层(共30层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-6a18eb19-f70b-4617-81d3-1bd8171ffc96.png.296x216.jpg
20200208,浦东,联洋,满五年唯一，近地铁9号线，精装三房，两房朝南，中区,1280万,3室2厅 | 150平米 | 北 | 精装 | 低楼层(共30层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c0f0f385-2b45-4e82-b997-644319a90040.jpg.296x216.jpg
20200208,浦东,联洋,诚意出售，位置好，户型方正，满五年,740万,1室2厅 | 75.98平米 | 南 | 精装 | 低楼层(共26层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-9bcc7c90-cd6e-44f6-99f7-8cf1ebd90214.jpg.296x216.jpg
20200208,浦东,联洋,房东自住诚意出售+房子装修保养不错+看房方便带车位,1800万,4室2厅 | 195.42平米 | 南 | 精装 | 低楼层(共18层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-9aceaf60-730c-4d80-88ea-b1cbf51435e7.png.296x216.jpg
20200208,浦东,联洋,9号线，满五唯一，全新精装房 ，景观高层，改善三房,1480万,3室1厅 | 154.03平米 | 南 | 精装 | 高楼层(共31层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-b5394a45-5630-4625-b858-1332fc923c50.png.296x216.jpg
20200208,浦东,联洋,9号线+临河大两房+地暖装修保养好+中层无遮挡,1115万,2室2厅 | 113.83平米 | 南 | 精装 | 中楼层(共18层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_YHH0K9Qk5_1.jpg.296x216.jpg
20200208,浦东,联洋,精装高区大两房，南北通，满两年，税费少，随时可签,1080万,2室2厅 | 112.97平米 | 南 北 | 精装 | 高楼层(共24层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_xkFqh75Nd_1.jpg.296x216.jpg
20200208,浦东,联洋,品质小三房，二次装修，阳台全封，带产权车位,1190万,3室2厅 | 125.21平米 | 北 | 精装 | 低楼层(共26层) | 2005年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_wJlpeTGkK_1.jpg.296x216.jpg
20200208,浦东,联洋,总价低，近地铁，配套齐全，小区安静舒适，看房方便,735万,1室2厅 | 75.48平米 | 南 | 精装 | 低楼层(共31层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_LkBbT5brx_1.jpg.296x216.jpg
20200208,浦东,联洋,带产权车位，适合二娃和双方父母同住，上下各三个卧室,1760万,6室2厅 | 204.91平米 | 南 | 精装 | 高楼层(共18层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b86b21de-e579-4296-bc15-a54f608b8fe3.jpg.296x216.jpg
20200208,浦东,联洋,进才+高区景观+边套全明格局+车位+增值税低+方便看,1460万,3室2厅 | 137平米 | 南 | 精装 | 高楼层(共26层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-19a30cb1-d0c6-4508-964c-7396abb214d6.jpg.296x216.jpg
20200208,浦东,联洋,少有3+1飞机户型，税费少，产权清晰 有车位 全明格局,1480万,3室2厅 | 165平米 | 南 | 精装 | 低楼层(共19层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d17223e8-6fb5-4257-b6ad-8210d9ed4a8f.jpg.296x216.jpg
20200208,浦东,联洋,南北通两房、满五唯一、税费少、装修保养好、地铁、,1115万,2室2厅 | 116.46平米 | 南 | 精装 | 中楼层(共18层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-60811704-50de-4cba-8655-69baab404cd7.png.296x216.jpg
20200208,浦东,联洋,天安稀有153㎡大三房，花园式小高层，满五税少诚售房主自荐,1398万,3室2厅 | 153.08平米 | 南 北 | 简装 | 11层 | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a541c8fb-e2b4-443f-bae0-f3d781f3203e.jpg.296x216.jpg
20200208,浦东,联洋,南北通，自住保养好，高区无遮挡，税费低，诚意出售,1345万,3室2厅 | 145.75平米 | 南 北 | 精装 | 高楼层(共20层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-d8512951-c108-408d-b08c-772b1b79fc1a.png.296x216.jpg
20200208,浦东,联洋,仁恒南北通透两房+满五唯一免个税+有产权车位房主自荐,1140万,2室1厅 | 112.52平米 | 南 北 | 精装 | 低楼层(共30层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-bc69219c-70c3-428a-b8bb-7d5bc77de071.png.296x216.jpg
20200208,浦东,联洋,17年二次装修 有地暖3+1户型 一梯一户 三卧室都朝南,1550万,4室1厅 | 162.88平米 | 南 北 | 精装 | 高楼层(共19层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-30fcf57b-877f-496b-99cd-6e171eeaccc7.png.296x216.jpg
