20200208,浦东,川沙,房屋格局好，户型方正，满两年，唯必看好房,208万,2室1厅 | 59.89平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/500dfff3-2462-4954-9fdc-691a1223f9ec_1000.jpg.296x216.jpg
20200208,浦东,川沙,小区中间楼层，南北通户型，采光好位置好必看好房,247万,2室1厅 | 74.87平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/582af34c-4e25-4492-a62f-d81a5c35a354_1000.jpg.296x216.jpg
20200208,浦东,川沙,心圆东苑 1室1厅 273万必看好房,273万,1室1厅 | 58.97平米 | 南 | 精装 | 中楼层(共15层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/a90a83d5-101e-44b5-b236-556595db5db4_1000.jpg.296x216.jpg
20200208,浦东,川沙,急卖，价格可谈，vlp房源，必看好房。必看好房,210万,2室1厅 | 60.78平米 | 南 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/15d67b84-f761-442d-a8a2-33e528822faa_1000.jpg.296x216.jpg
20200208,浦东,川沙,新德三村总价低，小户型，诚心出售，好房子好漂亮必看好房,154万,1室1厅 | 45.65平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a1843659-875d-4d0c-b7ea-e600b66e18c6.jpg.296x216.jpg
20200208,浦东,川沙,05年次新房 南北通 四楼 满五唯一 出门园西 诚售必看好房,330万,2室2厅 | 74.16平米 | 南 | 精装 | 中楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f6cb7254-d2dc-4f32-8a4c-e9d923437bf7.jpg.296x216.jpg
20200208,浦东,川沙,中间楼层，精装修交通便捷，各大公交门口，近地铁。必看好房,288万,3室1厅 | 85.5平米 | 南 | 精装 | 中楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/afd85e27-1336-40bf-af86-fd04dec6f3ce_1000.jpg.296x216.jpg
20200208,浦东,川沙,妙栏小区 2室1厅 245万必看好房,245万,2室1厅 | 58.23平米 | 南 | 简装 | 高楼层(共5层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Fan2rtdXH_2.jpg.296x216.jpg
20200208,浦东,川沙,东锦苑 3室2厅 482万必看好房,482万,3室2厅 | 109.81平米 | 南 | 精装 | 中楼层(共15层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/0fef1bf7-1dac-4550-9c65-9deb23544248_1000.jpg.296x216.jpg
20200208,浦东,川沙,六街坊三房，着急出售，房型好，价格美丽，手慢无必看好房,215万,3室2厅 | 98.46平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f31904c5-82c2-445c-8daf-d8740f6217d3.jpg.296x216.jpg
20200208,浦东,川沙,桃园公寓 两室两厅 一房朝南一房朝北 采光通透必看好房,298万,2室2厅 | 95.86平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-2b9d72a8-e873-4735-81f7-a6b67b91a8aa.jpg.296x216.jpg
20200208,浦东,川沙,绿海家园 2室1厅 225万必看好房,225万,2室1厅 | 66.92平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-9d3688ba-be69-4d81-9025-7748b679ab0e.png.296x216.jpg
20200208,浦东,川沙,双南户型，满五唯一税费少，18年精装必看好房,247万,2室1厅 | 70.95平米 | 南 北 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/bbcbd92b-40d1-436c-9dc1-492a8aec1a6d_1000.jpg.296x216.jpg
20200208,浦东,川沙,鸿基公寓 2室1厅 280万必看好房,280万,2室1厅 | 83.14平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_YhQgQNjZZ_1.jpg.296x216.jpg
20200208,浦东,川沙,川沙电梯复式房   满五唯一   诚心出售必看好房,388万,3室1厅 | 133.4平米 | 南 | 精装 | 中楼层(共18层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/8dc20ebb-1f0c-4682-b414-4aca359f48f5_1000.jpg.296x216.jpg
20200208,浦东,川沙,思凡花苑六街坊小一房 二手买进税费少 总价低诚售必看好房,86万,1室1厅 | 31.38平米 | 南 | 毛坯 | 低楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ec97a557-6c1f-4499-bec4-da9945fc43f7.jpg.296x216.jpg
20200208,浦东,川沙,施湾两房 低总价 诚意出售 看房提前预约必看好房,175万,2室1厅 | 74.24平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ztO6iXiqA_1.jpg.296x216.jpg
20200208,浦东,川沙,此房精装修+看房方便 +有钥匙必看好房,405万,2室2厅 | 91.65平米 | 南 | 精装 | 高楼层(共11层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_pB0W7s7TE_1.jpg.296x216.jpg
20200208,浦东,川沙,售后公房 满五唯一 2楼 总价低必看好房,202万,2室1厅 | 60.1平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d802a969-f392-49ad-a2dd-f9a7d9c1904b.jpg.296x216.jpg
20200208,浦东,川沙,满五唯一，楼层适中，采光充足，适合居住必看好房,188万,2室1厅 | 74.62平米 | 南 | 简装 | 中楼层(共6层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_QZlprsvHS_1.jpg.296x216.jpg
20200208,浦东,川沙,晨阳小区一改二户型，采光好，小区中间位置。必看好房,120万,1室1厅 | 48.92平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_xsr11svnU_1.jpg.296x216.jpg
20200208,浦东,川沙,房东卖房也是置换的，楼层好采光好，。毛坯自己做主，必看好房,269万,2室2厅 | 85.88平米 | 南 | 简装 | 高楼层(共13层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/de962c4f-f061-4700-ba4b-843c2816d7d8_1000.jpg.296x216.jpg
20200208,浦东,川沙,2012年新房子，南北通，采光充足，视野开阔必看好房,203万,2室2厅 | 83.21平米 | 南 | 毛坯 | 高楼层(共6层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_VuLXpqs9v_1.jpg.296x216.jpg
20200208,浦东,川沙,06年商品房 低总价 电梯  满五年必看好房,310万,2室2厅 | 92.89平米 | 南 | 精装 | 中楼层(共11层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-e42a4251-05f3-438d-a035-89c5d26a4ada.png.296x216.jpg
20200208,浦东,川沙,业主自住精装修，可拎包入住，双南户型必看好房,233万,2室2厅 | 68.81平米 | 南 | 简装 | 高楼层(共5层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_uYejpFlVu_1.jpg.296x216.jpg
20200208,浦东,川沙,鼎鑫高层四房，精装修+产权车位；产权清晰位置佳！必看好房,648万,4室2厅 | 161.8平米 | 南 北 | 精装 | 高楼层(共13层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e7c5c3a4-b786-403e-b264-2a18ef6270d9.jpg.296x216.jpg
20200208,浦东,川沙,中间楼层的正户型两房一手动迁没有增值税房东诚心必看好房,189万,2室1厅 | 76平米 | 南 北 | 毛坯 | 低楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_uiNyBfIba_1.jpg.296x216.jpg
20200208,浦东,川沙,河滨小区 2室1厅 215万必看好房,215万,2室1厅 | 60.6平米 | 南 | 其他 | 中楼层(共5层) | 1981年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_H8dMEBmST_1.jpg.296x216.jpg
20200208,浦东,川沙,满五年唯一  交通便利 看房方便必看好房,226万,2室1厅 | 64.38平米 | 南 | 精装 | 高楼层(共6层) | 1991年建 | 板楼,https://image1.ljcdn.com/310000-inspection/188a1188-338b-4958-8e34-de89dbf35e35_1000.jpg.296x216.jpg
20200208,浦东,川沙,百欣苑一房诚心出售，自住精装修必看好房,146万,2室1厅 | 55.22平米 | 南 | 精装 | 高楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f3aeeccc-d5d8-4e89-a2c3-2c77a88b8246.jpg.296x216.jpg
20200208,浦东,川沙,观澜 满五唯一  精装修 中间楼层 小区中间 安静舒适必看好房,158万,1室1厅 | 39.9平米 | 南 | 精装 | 中楼层(共5层) | 1981年建 | 板楼,https://image1.ljcdn.com/310000-inspection/7e6123af-901b-4cab-814c-4a3f218967a9_1000.jpg.296x216.jpg
20200208,浦东,川沙,中间楼层的正户型一楼有装修房东买进满五年诚心出售必看好房,145万,1室1厅 | 47.73平米 | 南 | 其他 | 中楼层(共6层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-8cd75fc1-b4b6-4776-bf6b-8ac4c17179d0.jpg.296x216.jpg
20200208,浦东,川沙,金湾佳园 精装两房 价格合适 看房方便必看好房,218万,2室1厅 | 85.39平米 | 南 | 精装 | 低楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/32bef2c4-b95e-4e42-8eeb-2eeb181da307_1000.jpg.296x216.jpg
20200208,浦东,川沙,满五唯一，简装2房，干净清新，采光充足。必看好房,215万,2室1厅 | 55.77平米 | 南 | 简装 | 低楼层(共6层) | 1982年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_GYWkUo9m1_1.jpg.296x216.jpg
20200208,浦东,川沙,诚心出售，了解情况和价格找维护人*朗必看好房,210万,2室1厅 | 59.44平米 | 南 | 简装 | 中楼层(共6层) | 1988年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Kl8pEUvDF_1.jpg.296x216.jpg
20200208,浦东,川沙,百欣苑经典1居室，55平138万，中间楼层，价格实惠必看好房,138万,1室1厅 | 55.22平米 | 南 | 简装 | 中楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-88617291-3949-42d3-8dd9-b2743dcb3008.jpg.296x216.jpg
20200208,浦东,川沙,次房12年次新房 电梯房  川中  高楼层  视野好 诚心卖必看好房,442万,3室2厅 | 100.66平米 | 南 | 毛坯 | 中楼层(共15层) | 2012年建 | 板楼,https://image1.ljcdn.com/x-se/hdic-frame/42434f8d-5440-46b2-b5a1-767a3bebe91b.png.296x216.jpg
20200208,浦东,川沙,瀚龙苑 06年商品房 配套丰富 交通便利  精装靠河景观房主自荐,460万,4室2厅 | 121.08平米 | 南 北 | 精装 | 高楼层(共7层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-2e293a33-fd5b-41fd-bf89-4a2f242fe1b2.jpg.296x216.jpg
20200208,浦东,川沙,2007年一手动迁满五年唯一，可做小两房，诚意出售,240万,1室1厅 | 56.17平米 | 南 | 毛坯 | 低楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-7884e64b-f15a-45c1-a493-14798df9560d.jpg.296x216.jpg
20200208,浦东,川沙,川沙唯一电梯复式  满五唯一  税少,400万,3室2厅 | 129平米 | 南 | 精装 | 中楼层(共18层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c5bb1a9e-4b70-4174-ab47-d46893c67e74.jpg.296x216.jpg
20200208,浦东,川沙,2009年次新房+带租车位+交通便利+视野宽阔房主自荐,390万,2室2厅 | 92.72平米 | 南 | 精装 | 低楼层(共11层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-7e61f672-537b-4dc0-a3f8-0eb443e14184.png.296x216.jpg
20200208,浦东,川沙,合欢公寓，紧地铁口旁，中间楼层，满五唯一有钥匙l,330万,2室2厅 | 89.4平米 | 南 | 简装 | 低楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-0e19d356-50fe-4085-97e4-102e929db2ca.jpg.296x216.jpg
20200208,浦东,川沙,青厦小区  南北户型 一梯两户 看房随时,215万,2室1厅 | 57.74平米 | 南 北 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-19db8a10-51a1-45ff-96ba-38b3ddb119bd.jpg.296x216.jpg
20200208,浦东,川沙,新德佳苑07年竣工，南北通大三房，一手动迁税费少,408万,3室2厅 | 99.49平米 | 南 北 | 毛坯 | 低楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-cd444333-b5d5-4078-b250-d501bc3e4c71.jpg.296x216.jpg
20200208,浦东,川沙,此房楼层好，小区位置好，南北通格局好，采光充足,305万,2室1厅 | 76.3平米 | 南 | 简装 | 低楼层(共7层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_jg8rLMBXl_2.jpg.296x216.jpg
20200208,浦东,川沙,两房朝南，小区中间位置，房子通风采光好房主自荐,270万,2室1厅 | 64.92平米 | 南 | 简装 | 低楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_xOl9CqVgP_1.jpg.296x216.jpg
20200208,浦东,川沙,大平层，南北通透，精装修，近地铁，看房方便,669万,4室2厅 | 152.05平米 | 南 北 | 精装 | 高楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f14f9213-41d9-411e-bae0-d090f715800c.jpg.296x216.jpg
20200208,浦东,川沙,园西 一手动迁满五不唯一 户型方正,325万,2室1厅 | 72.37平米 | 南 | 简装 | 高楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_IUTx6n3P6_1.jpg.296x216.jpg
20200208,浦东,川沙,顶楼带阁楼，南北通格局好，采光充足，视野开阔,345万,4室2厅 | 129.02平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/c483b8fd-9af9-4984-854c-569fefa93dc0_1000.jpg.296x216.jpg
20200208,浦东,川沙,12年动迁房小区 位置安静 一手动迁 简单装修总价低,310万,2室1厅 | 74.45平米 | 南 | 简装 | 低楼层(共15层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/46cdd98b-f8a1-4f0e-a67d-0dab9e8c4c08_1000.jpg.296x216.jpg
20200208,浦东,川沙,东方城市绿洲很少的四房小区临河位置精装修拎包入住,720万,4室2厅 | 163.94平米 | 南 | 精装 | 低楼层(共13层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_sJvX21nOn_1.jpg.296x216.jpg
20200208,浦东,川沙,13年二手买进买五税费少 小区靠中无噪音 有钥匙房主自荐,249万,2室2厅 | 78.99平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-01bd9e73-a933-4b04-96b8-87656394d71e.jpg.296x216.jpg
20200208,浦东,川沙,瀚龙苑  中环唐黄路出口  配套全 交通便捷,420万,3室2厅 | 117.01平米 | 南 | 精装 | 高楼层(共7层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-4f27f539-c9fb-4a5f-9f63-34513407e7aa.jpg.296x216.jpg
20200208,浦东,川沙,合欢公寓 诚心急售此房 2号线华夏东路 户型正气随时看房主自荐,360万,3室2厅 | 103.22平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/23796584-7ea5-4acc-8f48-63079e49ae42_1000.jpg.296x216.jpg
20200208,浦东,川沙,楼层好 位置好 环境好南北户型好 大2房钥匙房看房方便,355万,2室2厅 | 82.8平米 | 南 | 其他 | 中楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/60b29d39-3b3f-4a0f-9e1c-97a11a2e139e_1000.jpg.296x216.jpg
20200208,浦东,川沙,自住婚房精装修  高楼层采光佳  随时可看的品质住宅,690万,3室2厅 | 128.66平米 | 南 | 精装 | 高楼层(共11层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_0blqY5sJ4_1.jpg.296x216.jpg
20200208,浦东,川沙,川杨璟苑，04年商品房，产权车位，近地铁，钥匙房房主自荐,510万,3室2厅 | 135.45平米 | 南 | 简装 | 低楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-5caad938-eeb7-4590-94b0-ce238717fadb.jpg.296x216.jpg
20200208,浦东,川沙,园西一手动迁 南北户型 少税 中层楼层采光佳 中间位置,398万,3室2厅 | 99.65平米 | 南 | 毛坯 | 中楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ba9c5790-a4cb-4ac4-8fa6-74c7df9fbe9a.jpg.296x216.jpg
20200208,浦东,川沙,精装3房，户型方正，园西+地铁,,,,,420万,3室2厅 | 100.46平米 | 南 | 精装 | 中楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/3dc19cab-df61-4df6-8070-8af4fc9930e6_1000.jpg.296x216.jpg
20200208,浦东,川沙,小区位置好  两房朝南 客厅朝南带阳台 附带35平,360万,3室2厅 | 102.61平米 | 南 | 精装 | 高楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/651d58d3-f92d-4b30-85c1-efe23a869e14_1000.jpg.296x216.jpg
20200208,浦东,川沙,园西小区，南北户型，业主诚售，看房随时有钥匙，,213万,2室1厅 | 55平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-7d4bbf94-73bc-4c5f-8c66-7249a7ed679a.jpg.296x216.jpg
20200208,浦东,川沙,心圆东苑2012年次新房，一手动迁，纯毛坯，有钥匙,409.4万,3室2厅 | 109.31平米 | 南 北 | 毛坯 | 低楼层(共14层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-75157823-8101-4eb6-ba21-6c7411134085.jpg.296x216.jpg
20200208,浦东,川沙,房东急售无增值稅 无个稅 精装修 仅有的中高楼层,860万,3室2厅 | 142.95平米 | 南 | 精装 | 中楼层(共13层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/2302c0ff-b521-4ebd-a03c-85e62ca67af8_1000.jpg.296x216.jpg
20200208,浦东,川沙,妙境公寓 中间楼层  小区中间位置  有装修 三房,358万,3室2厅 | 104.4平米 | 南 | 简装 | 中楼层(共5层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/554fe181-7237-44ae-9139-cddfca911be6_1000.jpg.296x216.jpg
20200208,浦东,川沙,金厦苑地铁口大三房诚意出售，看房随时！,525万,3室2厅 | 129.21平米 | 暂无数据 | 简装 | 高楼层(共6层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f8bd78ff-28e2-4a4c-88e5-f95abe8ef5c1.jpg.296x216.jpg
20200208,浦东,川沙,钻石苑 二号线川沙地铁站 精装3房 拎包入住,445万,3室2厅 | 107.79平米 | 南 北 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-36b7e083-db62-43b5-9eeb-7b98e814a788.jpg.296x216.jpg
20200208,浦东,川沙,此房满五唯一，17年精装修，楼层好，视野宽阔采光佳,343万,2室2厅 | 87.98平米 | 南 | 精装 | 高楼层(共6层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/1027dc13-fb49-432d-8cf3-92a261efca0d_1000.jpg.296x216.jpg
20200208,浦东,川沙,单价超低，交通便利，大两房，业主诚意出售,260万,2室1厅 | 91.78平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/2c0f2323-ea46-462f-8e82-7b80a593a095_1000.jpg.296x216.jpg
20200208,浦东,川沙,珠光苑  地铁站步行200米 舒适楼层 老少皆宜 采光好房主自荐,496万,3室2厅 | 143.33平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/989d936b-a58f-4f32-9174-50fcde654e41_1000.jpg.296x216.jpg
20200208,浦东,川沙,满两年+小区央座+精装修+配套齐全+业主诚售+拎包入住,230万,2室1厅 | 67.12平米 | 南 | 精装 | 高楼层(共6层) | 1991年建 | 板楼,https://image1.ljcdn.com/310000-inspection/99c6ae56-6f92-4b11-a43f-26175cb6e5d9_1000.jpg.296x216.jpg
20200208,浦东,川沙,佳腾花园 3室2厅 410万,410万,3室2厅 | 116.34平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,https://image1.ljcdn.com/310000-inspection/bd64028e-b184-4450-8721-918e6a45bfda_1000.jpg.296x216.jpg
20200208,浦东,川沙,三房两厅一厨两卫，一首动迁房，无增值税，随时看房,485万,3室2厅 | 118.89平米 | 南 | 精装 | 低楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_f5EU1BLo4_2.jpg.296x216.jpg
20200208,浦东,川沙,心圆东苑，一手动迁无增值税，小区新环境好南北通风,328万,2室1厅 | 78.23平米 | 南 | 简装 | 低楼层(共15层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/e70bafec-0695-4e5f-8159-7c23d076f73b_1000.jpg.296x216.jpg
20200208,浦东,川沙,临丰小区1梯2户，2房朝南，户型方正，适合居家型房主自荐,230万,2室2厅 | 64.93平米 | 南 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_JXeOx2ZlY_2.jpg.296x216.jpg
20200208,浦东,川沙,小区中间位置，平常看房方便一手动迁税费少,215万,1室1厅 | 49.27平米 | 南 北 | 简装 | 低楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/16454f12-d330-43b4-b2ec-ba84945408cd_1000.jpg.296x216.jpg
20200208,浦东,川沙,华盛名门 3室2厅 520万,520万,3室2厅 | 143.67平米 | 南 | 简装 | 低楼层(共11层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/ac0c11fd-f861-4baa-903a-a63d76fe5a26_1000.jpg.296x216.jpg
20200208,浦东,川沙,永达城市公寓两房出售满五不唯一精装修拎包入住,580万,2室2厅 | 112平米 | 南 | 简装 | 高楼层(共11层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/aa97c571-428e-4eeb-a85d-3c63ed8af2ae_1000.jpg.296x216.jpg
20200208,浦东,川沙,欧洲苑 3室2厅 600万,600万,3室2厅 | 142.25平米 | 南 | 精装 | 高楼层(共11层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/02df77eb-fb91-41ac-bb8c-9b3dada1f1a9_1000.jpg.296x216.jpg
20200208,浦东,川沙,川沙+园西+中市街幼儿园+ 产权清晰，业主诚心出售，,319万,2室2厅 | 73.03平米 | 南 | 其他 | 低楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/8e7620e1-e6ac-40c7-b963-bbba816b1bf0_1000.jpg.296x216.jpg
20200208,浦东,川沙,银华苑(浦东) 2室1厅 265万,265万,2室1厅 | 76.13平米 | 南 | 其他 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/c8339cb0-35ee-4c00-aa6e-d55c99229401_1000.jpg.296x216.jpg
20200208,浦东,川沙,新德佳苑2008年一手动迁 房配套成熟南北通透大三房,445万,3室2厅 | 117.85平米 | 南 北 | 毛坯 | 高楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/e7a71fa6-bdbc-44a6-9001-3571a0a3ca28_1000.jpg.296x216.jpg
20200208,浦东,川沙,次新房 舒馨北苑，园西，适宜老幼居住,235万,1室1厅 | 56.17平米 | 南 | 毛坯 | 低楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-1e3f2e5f-2909-4d82-8e22-f51f3ad77f4e.jpg.296x216.jpg
20200208,浦东,川沙,园西  精装修  拎包入住  2号线川沙站,230万,2室1厅 | 52.44平米 | 南 | 精装 | 高楼层(共5层) | 1987年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-184f8b64-740d-411e-9192-3e5c497b9e0d.jpg.296x216.jpg
