20200208,闵行,浦江,浦江丽都，两房电梯,房型方正，南北通户型必看好房,230万,2室2厅 | 71.82平米 | 南 | 简装 | 中楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-e48a7a62-9be7-42da-9044-b92f250cece9.png.296x216.jpg
20200208,闵行,浦江,电梯洋房二复三 带产权车位 精致装修自住 看房方便必看好房,890万,3室2厅 | 155.82平米 | 南 北 | 精装 | 中楼层(共5层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ZkGvjQ2P6.jpg.296x216.jpg
20200208,闵行,浦江,近地铁小三房，精装修，原动迁满五唯一，业主诚意出售必看好房,445万,3室2厅 | 94.17平米 | 南 东 西 | 简装 | 中楼层(共5层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_bANUnX2SP_1.jpg.296x216.jpg
20200208,闵行,浦江,M8联航路站 电梯中层 一手动迁税费少 视野开阔必看好房,295万,2室2厅 | 75.62平米 | 南 | 简装 | 中楼层(共11层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-eace5296-85ce-41e5-990d-a55e9916c7d7.jpg.296x216.jpg
20200208,闵行,浦江,沿河景观中间楼层，一梯两户南北通，诚心出售必看好房,225万,2室1厅 | 77.21平米 | 南 北 | 毛坯 | 中楼层(共14层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_CbeCHkfMF.jpg.296x216.jpg
20200208,闵行,浦江,聚缘南庭+高楼层+不是顶楼+业主诚心卖+价格可谈必看好房,207万,2室2厅 | 73.34平米 | 南 北 | 毛坯 | 高楼层(共9层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_NeKHpd8cT_1.jpg.296x216.jpg
20200208,闵行,浦江,浦江馨都  双阳台，原始动迁房必看好房,222万,2室1厅 | 74.09平米 | 南 | 毛坯 | 低楼层(共7层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_jMEOQfPPu_1.jpg.296x216.jpg
20200208,闵行,浦江,2008年的商品房，满五，中间楼层，无遮挡，诚意出售必看好房,174万,1室1厅 | 54.96平米 | 南 | 毛坯 | 高楼层(共14层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_gd7ECySVN_1.jpg.296x216.jpg
20200208,闵行,浦江,原动迁，配套齐全，采光好，生活交通便利必看好房,173万,1室1厅 | 59.19平米 | 南 | 毛坯 | 低楼层(共14层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_NAL4Jzvye_1.jpg.296x216.jpg
20200208,闵行,浦江,地铁600米 精装大三房宽景洋房 满五唯一 免个税必看好房,970万,3室2厅 | 148.8平米 | 南 | 精装 | 中楼层(共4层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_CYY7BFyFP_1.jpg.296x216.jpg
20200208,闵行,浦江,品质小区、精装三房、景观楼层、满五年唯一、免个税必看好房,465万,3室2厅 | 92.67平米 | 南 北 | 精装 | 高楼层(共12层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_TbZ3dh1XB_1.jpg.296x216.jpg
20200208,闵行,浦江,近地铁。两房中间楼层。诚心出售。得房率高。带电梯必看好房,228万,2室2厅 | 76.58平米 | 南 | 毛坯 | 中楼层(共7层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_up6pqMCbg_1.jpg.296x216.jpg
20200208,闵行,浦江,汇秀大三房！总价低！楼层好！小区中间位置！不可错过必看好房,305万,3室1厅 | 96.75平米 | 南 | 毛坯 | 中楼层(共11层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_U11A3Z5lW.jpg.296x216.jpg
20200208,闵行,浦江,小区花园位置，高区观景楼层，南北双阳台，户型正气必看好房,750万,3室2厅 | 137平米 | 南 北 | 精装 | 高楼层(共12层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_64NLjE4v2_1.jpg.296x216.jpg
20200208,闵行,浦江,世博家园十一街坊 2室1厅 249万必看好房,249万,2室1厅 | 56.12平米 | 南 北 | 简装 | 低楼层(共5层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_FX7JxSeSB_1.jpg.296x216.jpg
20200208,闵行,浦江,中间楼层，满五唯一无个税，诚意出售必看好房,385万,2室2厅 | 79.88平米 | 南 北 | 简装 | 中楼层(共5层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_dQcQZIIFo_1.jpg.296x216.jpg
20200208,闵行,浦江,十一街坊中间楼层南北通两房，联航路地铁站旁必看好房,355万,2室2厅 | 78.16平米 | 南 | 简装 | 中楼层(共5层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_DREXN9ILK_1.jpg.296x216.jpg
20200208,闵行,浦江,近地铁700米  商品房品质高 小区环境物业好必看好房,164万,1室1厅 | 56.13平米 | 南 | 精装 | 低楼层(共11层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-5f84ab38-5f09-4156-83c1-45e059555b30.jpg.296x216.jpg
20200208,闵行,浦江,新浦江城(江桦路600弄) 4室2厅 930万必看好房,930万,4室2厅 | 193.36平米 | 南 | 简装 | 中楼层(共11层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_hVRSpc83D_1.jpg.296x216.jpg
20200208,闵行,浦江,浦江颐城(公寓) 3室2厅 950万必看好房,950万,3室2厅 | 231.25平米 | 南 | 毛坯 | 低楼层(共7层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-7af005e7-c3a4-4fd4-abea-2d7f1a012034.jpg.296x216.jpg
20200208,闵行,浦江,南北通，楼层好，位置好，交通便利，采光充足必看好房,175万,1室1厅 | 59.55平米 | 南 | 毛坯 | 中楼层(共17层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_0O1deFNFL_1.jpg.296x216.jpg
20200208,闵行,浦江,满五 没个税  中间楼层 小区中间位置 采光充足必看好房,320万,2室1厅 | 90.86平米 | 南 北 | 简装 | 中楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_JbSw7W0j9_1.jpg.296x216.jpg
20200208,闵行,浦江,满五唯一，高楼层，视野开阔，南北通透双阳台必看好房,249万,2室2厅 | 75.89平米 | 南 北 | 精装 | 高楼层(共14层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_b2YCe8B33.jpg.296x216.jpg
20200208,闵行,浦江,南北通户型 光线充足次卧面积较大合适居住必看好房,210万,2室1厅 | 75平米 | 南 | 毛坯 | 低楼层(共9层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_NbgyB8sXU_1.jpg.296x216.jpg
20200208,闵行,浦江,精装大一房 带超大露台 南北通 带车位税少 诚意出售必看好房,490万,1室1厅 | 77.9平米 | 南 | 精装 | 高楼层(共13层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_YwdxSVx8D_1.jpg.296x216.jpg
20200208,闵行,浦江,满五唯一，楼层好，可以随时拎包入住必看好房,183万,1室1厅 | 55.69平米 | 南 | 简装 | 高楼层(共14层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_mVctNLcGd_1.jpg.296x216.jpg
20200208,闵行,浦江,精装一房，新小区小区绿化好，景观楼层必看好房,174万,1室1厅 | 59.55平米 | 南 | 精装 | 高楼层(共18层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_PcqUZfdMc_1.jpg.296x216.jpg
20200208,闵行,浦江,此房原始动迁，看房联系维护人。必看好房,372万,3室2厅 | 107.97平米 | 南 北 | 毛坯 | 高楼层(共14层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ZxkszTZMI_1.jpg.296x216.jpg
20200208,闵行,浦江,多层大一房高得房率，中间楼层，视野开阔，配套成熟必看好房,239万,1室2厅 | 65.04平米 | 南 | 简装 | 中楼层(共5层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-38db2448-fd7a-43ee-8b84-36864dd67e72.jpg.296x216.jpg
20200208,闵行,浦江,电梯一房 近8号线联航站地铁  看房方便必看好房,265万,1室1厅 | 60.63平米 | 南 | 简装 | 低楼层(共11层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_WliUKMejG_1.jpg.296x216.jpg
20200208,闵行,浦江,商品房，，可做三.房，拎包入住，有钥匙，诚意卖。必看好房,248万,2室2厅 | 75.87平米 | 南 | 精装 | 中楼层(共14层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_w1pAbLbns.jpg.296x216.jpg
20200208,闵行,浦江,两方毛坯，坐北朝南，户型正气。必看好房,245万,2室2厅 | 84.64平米 | 南 北 | 毛坯 | 高楼层(共14层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_BauGDAZzL_1.jpg.296x216.jpg
20200208,闵行,浦江,景江苑+楼层好位置佳+总价低+交通便利必看好房,266万,2室1厅 | 73.75平米 | 南 | 毛坯 | 中楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_wagLJerYn_1.jpg.296x216.jpg
20200208,闵行,浦江,南北双阳台，视野好，采光充足，配套齐全，交通便利必看好房,251万,2室2厅 | 75平米 | 南 北 | 精装 | 中楼层(共14层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b9d6f25e-c163-486c-9c27-7c361b7f1187.jpg.296x216.jpg
20200208,闵行,浦江,虹浦新城毛坯两房，沿河景观总价低必看好房,218万,2室1厅 | 77.15平米 | 南 | 毛坯 | 低楼层(共9层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b80b8932-782a-46de-8894-7874e46be40c.jpg.296x216.jpg
20200208,闵行,浦江,漫城一期 精装两房 高楼层采光好 业主诚心出售必看好房,540万,2室2厅 | 87.76平米 | 南 | 精装 | 13层 | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_vAz2LsrpS_1.jpg.296x216.jpg
20200208,闵行,浦江,原始动迁，税费少，近地铁，生活配套齐全必看好房,170万,1室1厅 | 55.61平米 | 南 | 毛坯 | 高楼层(共14层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_NPBkIyHDH_1.jpg.296x216.jpg
20200208,闵行,浦江,南北通透三房，诚意出售，出行方便。配套好。必看好房,265万,3室2厅 | 95.12平米 | 南 北 | 简装 | 低楼层(共14层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/2c75e425-32fd-49f7-99da-5089dcee72bf.JPG.296x216.jpg
20200208,闵行,浦江,华侨城一期小两房，总价低，精装修，满五唯一低税费必看好房,475万,2室2厅 | 79.24平米 | 南 | 精装 | 中楼层(共11层) | 2007年建 | 板楼,https://image1.ljcdn.com/x-se/hdic-frame/e0d739b5-8e70-408e-bb21-54aef70a0220.png.296x216.jpg
20200208,闵行,浦江,万科早城(二期) 2房间1卫 110万必看好房,110万,1室1厅 | 60平米 | 北 | 精装 | 中楼层(共6层) | 2014年建 | 板楼,https://image1.ljcdn.com/x-se/hdic-resblock/33e36322-15a8-4ed2-925c-9f70c3b5014b.jpg.296x216.jpg
20200208,闵行,浦江,浦江华侨城低密度小区  户型比较少 院墅 有车库,1430万,4室2厅 | 220.77平米 | 南 | 精装 | 低楼层(共2层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-c4c9a183-e2fc-4927-ae30-e8f25717c92c.jpg.296x216.jpg
20200208,闵行,浦江,总价低、户型正气、南北通户型、配套完善,596万,4室2厅 | 148平米 | 南 | 精装 | 低楼层(共12层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-7ffaf717-6a86-492c-9b78-a4a2310a9ec6.jpg.296x216.jpg
20200208,闵行,浦江,边套全明。三面采光、看花园、2+1房、楼层佳、间距宽,540万,2室2厅 | 90.37平米 | 东 | 毛坯 | 中楼层(共11层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-5b9d19f8-3cfb-42bc-854c-ca0b03491505.jpg.296x216.jpg
20200208,闵行,浦江,8号线芦恒路地铁，附带大露台，全景落地窗，价格可谈,835万,4室2厅 | 143平米 | 南 | 简装 | 5层 | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-2db750a2-48da-497d-aa5b-5bad7112104d.jpg.296x216.jpg
20200208,闵行,浦江,一品漫城4期一楼带地下室！精装修！业主诚意急售！,790万,4室3厅 | 186.78平米 | 南 | 精装 | 低楼层(共13层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e6884f77-e4c6-4c1f-b03f-49de7db92e81.jpg.296x216.jpg
20200208,闵行,浦江,景观房，一览无遗带有露台，顶楼复式隐私好,865万,3室2厅 | 154.81平米 | 南 | 精装 | 高楼层(共11层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_6kYrR9xAF_1.jpg.296x216.jpg
20200208,闵行,浦江,新小区+两年装修+交通方便+大三房,650万,3室2厅 | 119平米 | 南 北 | 精装 | 13层 | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c8156842-3745-4ddf-9efa-d2f6bec2ce31.jpg.296x216.jpg
20200208,闵行,浦江,近地铁，原始动迁，交通便利，生活方便,270万,1室1厅 | 61.58平米 | 南 | 简装 | 低楼层(共11层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-acc6f373-697f-44cd-a162-ff8997d8f4cb.png.296x216.jpg
20200208,闵行,浦江,12年 小区 动迁房 大两房 税费少,249万,2室2厅 | 78.99平米 | 南 | 毛坯 | 低楼层(共7层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-35dcd29a-ce84-43f1-9f80-a99a1ee3d5f2.jpg.296x216.jpg
20200208,闵行,浦江,多利用户型，花园洋房人车分流 有产权车位，配套成熟,700万,2室1厅 | 146平米 | 南 | 毛坯 | 低楼层(共7层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_4JgwM7lga_1.jpg.296x216.jpg
20200208,闵行,浦江,装修一房，业主诚心出售，200米到达地铁,174万,1室1厅 | 49.17平米 | 南 北 | 简装 | 低楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_hlMThx5kw_1.jpg.296x216.jpg
20200208,闵行,浦江,保利茉莉央企开发+满2年自持物业+带阁楼采光无遮挡,1050万,5室2厅 | 171.46平米 | 南 北 | 毛坯 | 高楼层(共6层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-6860e05d-a5e4-4585-b4c7-90bd81ce5ace.jpg.296x216.jpg
20200208,闵行,浦江,原动迁毛坯一房，业主诚心出售......,177万,1室1厅 | 59.55平米 | 南 北 | 毛坯 | 中楼层(共18层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-0e105fdd-9c44-46ab-b831-f4cf26557ad0.png.296x216.jpg
20200208,闵行,浦江,精装修，户型方正，近地铁，采光好,850万,3室2厅 | 153.56平米 | 南 | 精装 | 5层 | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-6ca7be58-dd9b-479b-b557-a268e3d1ef0c.png.296x216.jpg
20200208,闵行,浦江,南北通 满五年 看房随时 地铁700米,228万,2室1厅 | 72.01平米 | 南 北 | 毛坯 | 高楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a7913e94-4a34-4eaa-818d-6b964ec1a412.jpg.296x216.jpg
20200208,闵行,浦江,大两房居住舒服，功能间齐全，全明户型,355万,2室1厅 | 99.19平米 | 南 | 简装 | 低楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_b5SnKk4ip_1.jpg.296x216.jpg
20200208,闵行,浦江,南北通一房，楼层好视野开阔采光好出行便利配套成熟,190万,1室1厅 | 60.13平米 | 南 北 | 毛坯 | 中楼层(共18层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-38121842-e6d6-4549-a090-5007280fda80.jpg.296x216.jpg
20200208,闵行,浦江,瑞和华苑大两房，小区位置优越，面积大，交通方便,251万,2室2厅 | 84.64平米 | 南 北 | 毛坯 | 高楼层(共14层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e8a8d575-c68b-440b-b436-e82f60f3b2bb.jpg.296x216.jpg
20200208,闵行,浦江,地铁沿线钥匙房，电梯适合多种人居住，旁边配套成熟,253万,2室1厅 | 73.65平米 | 南 | 精装 | 低楼层(共11层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-6fb0f329-5f0d-4b1c-b458-834c503ad3c5.jpg.296x216.jpg
20200208,闵行,浦江,精装院墅，大花园，低密度，小区环境好,1500万,4室2厅 | 232.88平米 | 南 | 简装 | 低楼层(共1层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-78bb8352-9d17-4b4b-8644-ca10fffa5f69.jpg.296x216.jpg
20200208,闵行,浦江,精装修，带地暖、2+1房、交通便利、南北通，房型正气,625万,2室2厅 | 102.38平米 | 南 | 精装 | 低楼层(共11层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b1c3ed05-201d-4da3-9699-0fe39cfea04a.jpg.296x216.jpg
20200208,闵行,浦江,大花园+附大车位+低密度人车分流小区+电梯洋房,850万,3室2厅 | 158.62平米 | 南 | 毛坯 | 低楼层(共5层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_eUSjULPx4_1.jpg.296x216.jpg
20200208,闵行,浦江,新浦江城 大平层 采光好 开发商硬装自己软装修 环保,999万,4室2厅 | 196.82平米 | 南 | 精装 | 高楼层(共11层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_2WtphKKvN_1.jpg.296x216.jpg
20200208,闵行,浦江,南北通双阳台，采光通风好，离浦江线近，业主很诚心,268万,2室2厅 | 76.47平米 | 南 北 | 毛坯 | 中楼层(共17层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_A6pVzOxt4_1.jpg.296x216.jpg
20200208,闵行,浦江,中间楼层，东边套，满五唯一，无个税，业主诚意出售,340万,2室1厅 | 75.93平米 | 南 | 简装 | 中楼层(共5层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-718a8bb9-a556-45bc-9fec-3559f8181aa2.jpg.296x216.jpg
20200208,闵行,浦江,浦江线水语人家，电梯适合多种人居住，旁边配套成熟,268万,2室2厅 | 80.09平米 | 东南 南 | 毛坯 | 中楼层(共17层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Mo7UG3ecb_1.jpg.296x216.jpg
20200208,闵行,浦江,漫城二期高区两房，视野好，采光好，开发商精装,567万,2室2厅 | 89.88平米 | 南 | 精装 | 高楼层(共13层)  | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_AK46Kr03N_1.jpg.296x216.jpg
20200208,闵行,浦江,华侨城上叠别墅+户型正气+视野好+附100平露台,1160万,4室2厅 | 200.35平米 | 南 | 毛坯 | 4层 | 2011年建 | 板楼 | 联排别墅,https://image1.ljcdn.com/310000-inspection/prod-9f2294e8-be46-4864-a02f-8938d3187091.jpg.296x216.jpg
20200208,闵行,浦江,汇颂南苑  8号线延伸站  200米 步行,280万,3室1厅 | 92.09平米 | 南 | 简装 | 低楼层(共11层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d391da40-42d4-4128-b8cf-7a05a13a1dd5.jpg.296x216.jpg
20200208,闵行,浦江,户型正气，采光充足，配套齐全，交通便利，近地铁,235万,2室2厅 | 76.63平米 | 南 | 毛坯 | 中楼层(共7层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-5ed39427-b051-4c92-886a-dc30f66526c4.jpg.296x216.jpg
20200208,闵行,浦江,世博家园动迁一房，税费少，采光效果好,260万,1室1厅 | 60.19平米 | 南 | 简装 | 低楼层(共11层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-640edcb4-7656-4e0c-b122-ffa68f85dd55.jpg.296x216.jpg
20200208,闵行,浦江,浦江丽都楼梯两房，视野开阔，楼层位置好,235万,2室2厅 | 71.82平米 | 南 北 | 毛坯 | 高楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-baa325b2-c48f-45b8-a218-4a8930bdb309.jpg.296x216.jpg
20200208,闵行,浦江,地铁一房，户型正气，诚信出售.,165万,1室1厅 | 55.92平米 | 南 | 毛坯 | 低楼层(共11层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-506c9de9-6ffe-439c-ae9d-4283ab897bfc.jpg.296x216.jpg
20200208,闵行,浦江,漫城2房两厅2卫，房型正气，采光好，业主诚心出售,650万,2室2厅 | 111.4平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_AONPyESZ8_1.jpg.296x216.jpg
20200208,闵行,浦江,浦江近地铁 生活方便 交通便利,325万,3室1厅 | 98.03平米 | 南 北 | 毛坯 | 低楼层(共17层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ba544b02-30c6-48ac-a530-6dde212bc555.jpg.296x216.jpg
20200208,闵行,浦江,14年次新+户型好+近地铁+电梯高层+原动迁,241万,2室1厅 | 79.63平米 | 南 | 毛坯 | 高楼层(共17层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c9d75262-06bc-415a-988c-2eac191264d3.jpg.296x216.jpg
20200208,闵行,浦江,小区花园位置，次顶楼，采光好，诚心出售,212万,2室1厅 | 74.89平米 | 南 北 | 毛坯 | 高楼层(共11层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_MIFDq9N84.jpg.296x216.jpg
20200208,闵行,浦江,一品漫城二期近地铁三房 ，采光好，南北通透,780万,3室2厅 | 128.3平米 | 南 北 | 毛坯 | 高楼层(共12层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Z1gxPPbu2_1.jpg.296x216.jpg
20200208,闵行,浦江,欣佳宝邸(北区) 2室1厅 242万,242万,2室1厅 | 75.27平米 | 南 | 毛坯 | 高楼层(共7层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_fjuXIgX1K_1.jpg.296x216.jpg
20200208,闵行,浦江,晶寓退台洋房，有2个北阳台和2个南露台，电梯中高层,850万,3室2厅 | 143.04平米 | 南 北 | 精装 | 中楼层(共7层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_KCJtOQQEf_1.jpg.296x216.jpg
20200208,闵行,浦江,汇秀大两房，中上楼层，花园位置，产权清晰,215万,2室1厅 | 82.8平米 | 南 | 毛坯 | 高楼层(共17层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-21a6d75d-bcc5-4b83-9594-a25a74ee49f1.jpg.296x216.jpg
20200208,闵行,浦江,2013年次新房，布局方正，电梯景观楼层，采光无遮挡,240万,2室1厅 | 79.47平米 | 南 | 精装 | 高楼层(共17层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-e73c52b7-1781-422d-8d03-b9302457a372.png.296x216.jpg
20200208,闵行,浦江,欣佳宝邸 2室2厅 243万,243万,2室2厅 | 78.45平米 | 南 北 | 简装 | 中楼层(共14层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_OPHzfdzpr_1.jpg.296x216.jpg
