20200208,浦东,世博,视野宽阔，采光充足，交通便利，配套齐全必看好房,363万,3室0厅 | 66.41平米 | 南 | 简装 | 高楼层(共6层) | 1983年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-291e8560-2904-41af-a71e-0cb192ddf755.jpg.296x216.jpg
20200208,浦东,世博,急！急售！双轨地铁口，满五唯一，两房朝南，一梯两户必看好房,305万,2室1厅 | 58.16平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-29bf7f92-cc3b-4c03-b7ad-04870e4400da.jpg.296x216.jpg
20200208,浦东,世博,业主比较诚意出售，房子已看好，看房随时方便！！！必看好房,239万,2室1厅 | 53.51平米 | 南 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-cf66adaa-28bb-4953-9a36-1a75a647b4eb.jpg.296x216.jpg
20200208,浦东,世博,地段好配套齐全，南北户型，采光通透中间楼层。必看好房,210万,1室0厅 | 39.57平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/9aa43f0f-07ea-4a9a-9f0a-e05fb13aa329_1000.jpg.296x216.jpg
20200208,浦东,世博,首付66万起 中环 就可拥有一个家  一梯三户 上清流必看好房,195万,1室0厅 | 30.54平米 | 南 | 简装 | 中楼层(共6层) | 1986年建 | 板楼,https://image1.ljcdn.com/310000-inspection/12d3fed5-2bc9-4fe8-b607-0d8527aa483e_1000.jpg.296x216.jpg
20200208,浦东,世博,小户型满五唯一婚房装修，双轨，交通便利，生活方便必看好房,208万,1室1厅 | 34.9平米 | 南 | 精装 | 低楼层(共6层) | 1984年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_JgyXcImjy_1.jpg.296x216.jpg
20200208,浦东,世博,简装一房 高楼层 采光好 看房方便 价格实惠交通便利必看好房,184万,1室1厅 | 42.23平米 | 南 | 精装 | 高楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_DIsvKrvdh_1.jpg.296x216.jpg
20200208,浦东,世博,一梯三户，卧室朝南，客厅朝南，户型正气必看好房,212万,1室1厅 | 38.68平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/0299eeec-b9bf-4298-adef-b0b85cd05738_1000.jpg.296x216.jpg
20200208,浦东,世博,此房满五唯一，总价低，楼层好，适合老人居住必看好房,208万,1室1厅 | 42.37平米 | 南 | 简装 | 低楼层(共6层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_CjrGO2gAL_1.jpg.296x216.jpg
20200208,浦东,世博,精装修近地铁南北一房，采光好，透气强，必看好房,215万,1室0厅 | 34.39平米 | 南 | 精装 | 中楼层(共5层) | 1987年建 | 板楼,https://image1.ljcdn.com/310000-inspection/866d46a5-4b63-496a-b057-351555f33db6_1000.jpg.296x216.jpg
20200208,浦东,世博,满五年唯一 +中间位置楼层+近双轨6/13号线东明路站必看好房,377万,2室1厅 | 66.22平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_aGdKlSgnS_1.jpg.296x216.jpg
20200208,浦东,世博,齐七小区 双南两房 视野开阔采光好 环境清幽必看好房,289万,2室1厅 | 58.32平米 | 南 | 精装 | 高楼层(共7层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-dfbca12c-7f04-4727-b6eb-4f4ec0c79a63.jpg.296x216.jpg
20200208,浦东,世博,双轨交汇 中间楼层 生活配套齐全 诚意出售必看好房,289万,2室1厅 | 56.69平米 | 南 | 毛坯 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_U3prtUCH2_1.jpg.296x216.jpg
20200208,浦东,世博,成山8/13号线南北大两房一厅房东诚意出售必看好房,298万,2室1厅 | 54.81平米 | 南 | 简装 | 高楼层(共6层) | 1985年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_aOsWUaavf_1.jpg.296x216.jpg
20200208,浦东,世博,南北通，中层楼，满五唯一，交通便利必看好房,298万,2室1厅 | 51.01平米 | 南 | 简装 | 中楼层(共6层) | 1984年建 | 板楼,https://image1.ljcdn.com/310000-inspection/b4e13398-01e7-4d92-95a3-57bb2f4ccaa6_1000.jpg.296x216.jpg
20200208,浦东,世博,高区一室一厅，小区环境好，房龄新，采光好必看好房,222万,1室1厅 | 43.6平米 | 南 | 精装 | 高楼层(共6层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/7b58b2f7-7164-4cb0-95a2-f435aa3387d7_1000.jpg.296x216.jpg
20200208,浦东,世博,品质小区 智享品质生活 世博板块 地铁口 商品房必看好房,637万,2室2厅 | 91.63平米 | 南 | 精装 | 中楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ZAgJv5FlA_1.jpg.296x216.jpg
20200208,浦东,世博,小户型，总价低，采光好，停车方便，6/13双轨必看好房,180万,1室1厅 | 35.58平米 | 南 | 毛坯 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/f1abb579-44a7-4071-991d-778976c3eac2_1000.jpg.296x216.jpg
20200208,浦东,世博,地铁6/13号线东明路站+小区中间楼层+厅南房南带窗必看好房,233万,1室1厅 | 38.68平米 | 南 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/bb92e624-c3f5-4b99-9602-7105c81550f0_1000.jpg.296x216.jpg
20200208,浦东,世博,昌七小区 近地铁6/13号双轨东边套全明采光好刚需优选必看好房,341万,2室1厅 | 65.15平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-48e0b2a6-7ab0-4368-9fc3-7961db755986.png.296x216.jpg
20200208,浦东,世博,大三房，看房子都比较方便，业主诚意出售必看好房,760万,3室2厅 | 126.25平米 | 南 | 简装 | 中楼层(共12层) | 1997年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/ce93be50-14e2-4d1a-8ccb-71573dce78b3_1000.jpg.296x216.jpg
20200208,浦东,世博,温馨一房非顶楼。采光无遮挡，视野开阔，业主诚心卖！必看好房,158万,1室0厅 | 30.45平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-247640f8-e74b-47ec-8252-9e649aeb39c1.jpg.296x216.jpg
20200208,浦东,世博,经典小户型一居室，中间楼采光好，业主诚售必看好房,175万,1室0厅 | 29.22平米 | 南 | 简装 | 中楼层(共5层) | 1985年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_NbGWsZ0FK_1.jpg.296x216.jpg
20200208,浦东,世博,距地铁200米，采光充足，配套成熟，非顶楼，生活便利必看好房,299万,2室1厅 | 59.43平米 | 南 | 精装 | 高楼层(共6层) | 1983年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_6vNWA86uk_1.jpg.296x216.jpg
20200208,浦东,世博,近地铁7/13号线长清路站，采光通风很好，满五年唯一必看好房,239万,2室0厅 | 53.86平米 | 南 | 精装 | 高楼层(共6层) | 1987年建 | 板楼,https://image1.ljcdn.com/310000-inspection/b3f3899f-3eda-4930-9aa2-916dd0ce7a82_1000.jpg.296x216.jpg
20200208,浦东,世博,双轨地铁口，清流，采光棒，楼层佳必看好房,305万,2室1厅 | 47.73平米 | 南 | 其他 | 中楼层(共5层) | 1981年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_CLYpxPTG4_1.jpg.296x216.jpg
20200208,浦东,世博,地铁口双南电梯两房，高楼层视野宽阔，诚意出售必看好房,460万,2室1厅 | 82.47平米 | 南 | 精装 | 高楼层(共24层) | 1998年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_3EaJTKstI_1.jpg.296x216.jpg
20200208,浦东,世博,南北通两房+耀华路地铁站+售后公房+税少+高层采光好必看好房,279万,2室1厅 | 51.87平米 | 南 | 毛坯 | 高楼层(共6层) | 1980年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-70ba7555-04eb-4f00-8498-4d5264df6da6.jpg.296x216.jpg
20200208,浦东,世博,小户型低区楼层，看房随时，，，必看好房,179万,1室1厅 | 36.47平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-37edc9e8-c8a0-4a80-ae13-ca81d069c3bb.jpg.296x216.jpg
20200208,浦东,世博,世博板块 8/13号线地铁双轨  低区适合置换客户！！必看好房,188万,1室0厅 | 36.08平米 | 南 | 毛坯 | 低楼层(共6层) | 1985年建 | 板楼,https://image1.ljcdn.com/310000-inspection/fdc01f34-a8c6-4fff-b4a9-8a641fe747f3_1000.jpg.296x216.jpg
20200208,浦东,世博,经典双南户型，厨卫宽敞，一手动迁满五唯一税费划算必看好房,306.6万,2室1厅 | 62.53平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-efb55af5-b01f-4e8d-aa06-772c8350cdc3.jpg.296x216.jpg
20200208,浦东,世博,单价，总价低 视野开阔 采光充足 配套齐全 交通便利必看好房,262万,2室1厅 | 54.85平米 | 南 北 | 精装 | 高楼层(共5层) | 1987年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f5ee09e3-3c27-43ec-9ce4-6adef994acae.jpg.296x216.jpg
20200208,浦东,世博,楼层好 小区中间位置 地铁6/13号线必看好房,319万,2室1厅 | 56平米 | 南 北 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_JsDVjvd8k_1.jpg.296x216.jpg
20200208,浦东,世博,近地铁8/13号线 非顶楼  看房随时 户型方正 产权清晰必看好房,259万,2室0厅 | 54.91平米 | 东南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-10c93255-99b6-4b20-80ed-65f9843f1c24.jpg.296x216.jpg
20200208,浦东,世博,世博好房：地铁三轨交通+中间位置楼层单价必看好房,173万,1室1厅 | 37.08平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d506808d-5ae0-4f19-afd3-f0941bdb662a.jpg.296x216.jpg
20200208,浦东,世博,精装修拎包入住，中高区原始两卫改一卫采光视野好必看好房,820万,3室2厅 | 138.01平米 | 南 | 精装 | 中楼层(共14层) | 1997年建 | 塔楼,https://image1.ljcdn.com/x-se/hdic-frame/standard_03a37038-65f4-4b9b-a773-04cf67cad987.png.296x216.jpg
20200208,浦东,世博,双南电梯两房，户型正气，景观房,350万,2室1厅 | 69.3平米 | 南 | 毛坯 | 高楼层(共24层) | 1993年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/test-9b229960-cd97-42e5-89de-1b8a03552425.png.296x216.jpg
20200208,浦东,世博,上南花城的飞机户型，小高层电梯房。,960万,3室2厅 | 133.75平米 | 南 | 简装 | 低楼层(共14层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-bff5ad5c-86cd-4782-a785-949e2da9a35c.png.296x216.jpg
20200208,浦东,世博,固定车位，卧室全朝南，视野开阔，采光充足，一梯两户房主自荐,468万,3室1厅 | 88.84平米 | 南 北 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-46eed397-fb33-4b83-8414-0b93c39b1917.png.296x216.jpg
20200208,浦东,世博,凯德二期,新风+地暖,满五唯一.高区,随时看房,727万,2室1厅 | 92.46平米 | 南 西南 | 精装 | 高楼层(共16层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-f1650d0e-4fb8-4740-b53a-f8053659f438.png.296x216.jpg
20200208,浦东,世博,正气户型板式带阁楼，自住装修保养好，价格可谈！房主自荐,749万,3室2厅 | 112.21平米 | 南 | 精装 | 高楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/a6247a43-ef45-490f-a210-81e871e2e0fb.jpg.296x216.jpg
20200208,浦东,世博,近67号线高科西路站 一梯两户 2001年商品房 居家三房房主自荐,730万,3室1厅 | 114.63平米 | 南 | 简装 | 中楼层(共6层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c06c1c74-e0ad-4f0c-8d77-9cf115d37cd6.jpg.296x216.jpg
20200208,浦东,世博,地铁口精装两房，视野开阔，房东诚意出售,305万,2室0厅 | 53平米 | 南 | 精装 | 高楼层(共6层) | 1987年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-8a867715-b2dc-4606-8618-49aee11c4e4d.png.296x216.jpg
20200208,浦东,世博,南北户型，东边套，正规的两房一厅，全明户型,299万,2室1厅 | 51.62平米 | 南 | 简装 | 中楼层(共6层) | 1984年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-9255163e-0c6a-4413-84e2-0fd886cc19ba.jpg.296x216.jpg
20200208,浦东,世博,6/13号双轨地铁 一梯两户全明户型双阳台有钥匙随时看,358万,2室1厅 | 65.45平米 | 南 | 毛坯 | 低楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-22c2ca2d-f4f2-43d6-b999-6169fdd97a31.jpg.296x216.jpg
20200208,浦东,世博,小区中间位置，视野开阔，采光好,220万,1室1厅 | 50.93平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,https://image1.ljcdn.com/310000-inspection/prod-9476ace6-ee78-4b96-be4e-35b04043929b.jpg.296x216.jpg
20200208,浦东,世博,观前滩CBD,望中国馆宏伟建筑。房型正气，方便看房,630万,3室1厅 | 102.15平米 | 南 | 精装 | 高楼层(共16层) | 1993年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/de074fc8-b430-48fa-91a4-0a9435704c1e_1000.jpg.296x216.jpg
20200208,浦东,世博,非电梯房 一T两户 婚装一年 全明视野开阔,450万,2室1厅 | 77.32平米 | 南 | 精装 | 高楼层(共7层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-785d7958-9f86-4df3-a3a8-1285faa5d72b.jpg.296x216.jpg
20200208,浦东,世博,双轨地铁 品质小区  居家两房  采光好 单价超级便宜,338万,2室1厅 | 68.78平米 | 南 北 | 毛坯 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_QlucVNFr4_1.jpg.296x216.jpg
20200208,浦东,世博,世博源旁，电梯大三房，南北通透，地铁三线交汇处,1000万,3室2厅 | 134.86平米 | 南 北 | 精装 | 中楼层(共10层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-67a42c38-4852-49b4-8fbd-cf9450c11294.jpg.296x216.jpg
20200208,浦东,世博,博爱家园，新出电梯3房，地铁口，满五唯一，景观楼层,858万,3室2厅 | 122.49平米 | 南 北 | 简装 | 中楼层(共11层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-3ff1cad7-c8af-47aa-b0b9-bbd5a734f07f.jpg.296x216.jpg
20200208,浦东,世博,楼房位置佳！业主诚意出售，看房子都很方便！大三房,880万,3室2厅 | 139.45平米 | 南 | 简装 | 低楼层(共18层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_rXNKEnMWX_1.jpg.296x216.jpg
20200208,浦东,世博,8/13号线，顶楼复式，带30平露台，世博轴，商品房,840万,4室2厅 | 104.42平米 | 南 北 | 精装 | 高楼层(共7层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/3593c29f-d177-40db-aa25-448a52a61184_1000.jpg.296x216.jpg
20200208,浦东,世博,直眺滨江风光带，7号线云台路站高区景观房，产权清晰,1010万,3室2厅 | 201.93平米 | 南 | 精装 | 高楼层(共28层) | 2003年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-75e526f4-b1c9-41f2-bfc9-9a7f22764db1.jpg.296x216.jpg
20200208,浦东,世博,3+1户型精装修业主诚心出售看房方便临7/13号线,1190万,4室2厅 | 152.97平米 | 南 北 | 精装 | 中楼层(共14层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-77785a47-8e54-4618-98e0-49c3d06f6da1.jpg.296x216.jpg
20200208,浦东,世博,2011次新房+全明采光+双南户型,580万,2室2厅 | 93平米 | 南 北 | 简装 | 低楼层(共24层) | 2011年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-49b25825-5091-4465-b01b-c702158025e6.jpg.296x216.jpg
20200208,浦东,世博,世博板块，电梯高区，近7号线杨高南路地铁房主自荐,298万,2室1厅 | 66.53平米 | 东 | 简装 | 高楼层(共25层) | 1998年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_UJMWE5r6I_1.jpg.296x216.jpg
20200208,浦东,世博,紧靠后滩世博源，电梯高层，耀华路长清路双地铁三房,1200万,3室2厅 | 150.86平米 | 南 北 | 简装 | 中楼层(共11层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a0e69ad7-215c-42da-a381-e0576a87d16e.jpg.296x216.jpg
20200208,浦东,世博,紧靠后滩世博源，高层电梯房，耀华路长清路双地铁三房房主自荐,995万,3室2厅 | 137.58平米 | 南 北 | 精装 | 中楼层(共11层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-a416f04e-bc20-432d-ac63-6f2b51b67305.png.296x216.jpg
20200208,浦东,世博,世博一室一厅，低层，楼栋位置好，满五年不唯一,234万,1室1厅 | 43.99平米 | 南 | 简装 | 中楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-1ce3d17f-3fbe-4276-98b0-74ad076c160f.png.296x216.jpg
20200208,浦东,世博,德州五村 地铁好房  靠川杨河景观宜人 94年房龄,205万,1室1厅 | 42.78平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e67b4386-9676-466c-bcac-9e6d70a0c108.jpg.296x216.jpg
20200208,浦东,世博,大三房+地下两房带天井带车位！业主诚意出售！,1150万,5室2厅 | 161.85平米 | 南 | 精装 | 低楼层(共18层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a7ffcdc7-9c26-4ecb-b40d-eee46d9e485c.jpg.296x216.jpg
20200208,浦东,世博,双南一厅户型方正，售后公房税费少。,350万,2室1厅 | 58.71平米 | 南 | 简装 | 高楼层(共6层) | 1986年建 | 板楼,https://image1.ljcdn.com/310000-inspection/7fe9edf2-e47a-4653-a6a3-02d7440e1ed5_1000.jpg.296x216.jpg
20200208,浦东,世博,看房随时 宜居楼层 房东诚心出售,325万,2室1厅 | 56.95平米 | 南 | 精装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_fgBZ2Wn49_1.jpg.296x216.jpg
20200208,浦东,世博,价格便宜 居家小三房，，看房联系,495万,3室1厅 | 109.33平米 | 南 | 简装 | 低楼层(共12层) | 1988年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_IZUCCiwQr_1.jpg.296x216.jpg
20200208,浦东,世博,没有增值税个税看房方便到价随时可签非顶楼小区中间,410万,3室1厅 | 71.15平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-955f8380-711f-4067-afa2-6c716b02c5e6.jpg.296x216.jpg
20200208,浦东,世博,世博板块 品质小区  再次装修  厅南北通,740万,2室2厅 | 94.01平米 | 南 | 精装 | 中楼层(共16层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f015a3da-2218-46b0-afcb-5744f88ee11d.jpg.296x216.jpg
20200208,浦东,世博,买一层带一层，正气精装复式带露台，近6/7/8/13号地铁,739万,3室2厅 | 97.38平米 | 南 | 精装 | 高楼层(共7层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/e4fc8b76-7c9d-465a-9801-0f4ad73574ba_1000.jpg.296x216.jpg
20200208,浦东,世博,精装电梯两房，楼层中高层，出门就是地铁,395万,2室1厅 | 69.41平米 | 南 | 精装 | 中楼层(共16层) | 1993年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-850d72be-edd5-42fd-badd-98655dc29efb.jpg.296x216.jpg
20200208,浦东,世博,耀华地铁 坐北朝南 户型好 通风棒 税费少 满五,435万,2室1厅 | 75.51平米 | 南 | 精装 | 中楼层(共16层) | 1990年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-ec3c7b6f-79e3-4d36-82ee-e7300f621d4d.jpg.296x216.jpg
20200208,浦东,世博,满五唯一》多层二楼、看房便利、抵押可自还,759万,2室2厅 | 98.38平米 | 南 | 简装 | 低楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ce7b4651-eb3e-4bd0-8fb4-5f26dd1e6fca.jpg.296x216.jpg
20200208,浦东,世博,爵仕悦+板式户型+恒大品质+8号线13号成山站双轨道交通,690万,2室2厅 | 106.05平米 | 东 南 北 | 精装 | 低楼层(共18层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d103ba5c-4094-4268-95e1-8bee8adc3740.jpg.296x216.jpg
20200208,浦东,世博,只在链家卖 房龄新 户型正气 地铁近 装修不错 诚意,360万,3室1厅 | 73.81平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_lrVkKoi2Y_1.jpg.296x216.jpg
20200208,浦东,世博,小区花园位置，景观房源，户型方正,899万,3室2厅 | 142.19平米 | 南 | 简装 | 高楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/09aaecdf-8c41-4de4-9b57-0b7018e2424b_1000.jpg.296x216.jpg
20200208,浦东,世博,昌四小区 楼层好采光好 靠6、13号地铁 诚心出售,298万,2室1厅 | 60.86平米 | 南 北 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_V6rSxpb8i_1.jpg.296x216.jpg
20200208,浦东,世博,精装！单价低，总价低，业主诚意出售！,460万,2室1厅 | 85.42平米 | 南 | 简装 | 高楼层(共7层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-069b49ab-fad4-4bff-8c78-08d829b8f218.jpg.296x216.jpg
20200208,浦东,世博,济阳稀有双南小两房，业主诚意出售，采光好。,245万,2室1厅 | 48.58平米 | 南 | 毛坯 | 中楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-999e48b7-7a64-47c0-8aa6-ccd9b6b92735.jpg.296x216.jpg
20200208,浦东,世博,满五唯一 南北两房 三楼 配套齐全,290万,2室0厅 | 53.71平米 | 南 | 精装 | 中楼层(共6层) | 1984年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-96fc37cc-4e5a-4af7-9548-c952ad9bacc3.jpg.296x216.jpg
20200208,浦东,世博,世博电梯一房视野广阔采光明亮满五唯一,270万,1室1厅 | 51.15平米 | 西南 | 简装 | 高楼层(共12层) | 1988年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-a15597ff-77d0-4c48-aae0-0b68b5f8de2b.jpg.296x216.jpg
20200208,浦东,世博,满五年唯一，地铁口小区，全明户型，南北两房,365万,2室1厅 | 61.44平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f58d809b-5ccf-406a-a09e-605ed90c0e87.jpg.296x216.jpg
20200208,浦东,世博,户型很好，布局十分合理，通风好。,280万,2室1厅 | 56.26平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,https://image1.ljcdn.com/310000-inspection/prod-7458b9b9-e857-4ec3-9d69-b3bc9f0fd53a.jpg.296x216.jpg
20200208,浦东,世博,世博精装修一体俩户地铁小俩房诚心出售,310万,2室1厅 | 56平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_66MVqee78_1.jpg.296x216.jpg
20200208,浦东,世博,南北户型视野开阔、边套全明户型、近7、8号线耀华路,272万,2室1厅 | 52.28平米 | 南 | 简装 | 高楼层(共6层) | 1985年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-83bd5279-5a2f-4c59-b087-db27d641a497.png.296x216.jpg
