20200208,浦东,金杨,正气三房 业主置换 诚意出售  满五唯一 产权清晰必看好房,992万,3室2厅 | 121平米 | 南 | 简装 | 低楼层(共11层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_1JcDFPE74.jpg.296x216.jpg
20200208,浦东,金杨,一手动迁、成熟地段，非顶楼，南北格局，全明必看好房,290万,2室1厅 | 59.99平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-8b4e10ab-f495-44e9-9f89-8074166616a6.png.296x216.jpg
20200208,浦东,金杨,距建平20米！精装修！少有精致小户型！四楼！必看好房,475万,1室1厅 | 48.78平米 | 南 | 精装 | 中楼层(共5层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_FqqSK99kr.jpg.296x216.jpg
20200208,浦东,金杨,临6号线，非顶楼，一梯两户，动迁满五唯一，看房方便必看好房,392万,3室1厅 | 72.21平米 | 南 | 简装 | 高楼层(共7层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_F1vR4ndrA_1.jpg.296x216.jpg
20200208,浦东,金杨,动迁满五唯一+精装修+双规地铁口（6，14）+边套全明必看好房,230万,1室1厅 | 52.52平米 | 南 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f09da5cc-0479-4a53-99ab-4f8fe1ec550d.jpg.296x216.jpg
20200208,浦东,金杨,边套全明，靠河位置，满五唯一，税费少，格局灵活必看好房,275万,2室1厅 | 59.86平米 | 南 北 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_KcGpRpAyy.jpg.296x216.jpg
20200208,浦东,金杨,三开间朝南 中间楼层 总价低 面向花园 近商场地铁必看好房,215万,1室1厅 | 41.71平米 | 南 | 毛坯 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-043d240e-81b9-427b-96ec-b8563c07d580.jpg.296x216.jpg
20200208,浦东,金杨,房东诚心出售  居家装修  视野开阔必看好房,273万,2室1厅 | 59.4平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/3c6b496b-5751-480d-84c6-5a9d59e0fa32.jpg.296x216.jpg
20200208,浦东,金杨,满五唯一+一楼带花园+近地铁6号线+房东自住+诚心出售,635万,2室2厅 | 92.6平米 | 南 | 精装 | 低楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-20f16f59-22b6-4467-bea7-a4a96519d8bc.jpg.296x216.jpg
20200208,浦东,金杨,观景双露台+顶楼复式+满五唯一+06年次新房+地铁6号线,1470万,4室2厅 | 180.35平米 | 南 | 精装 | 高楼层(共11层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-17d5f878-1268-4a46-a1b0-424d44aaf7a6.jpg.296x216.jpg
20200208,浦东,金杨,地铁9蓝天路站，电梯房高区。三个房间朝南，全明户型房主自荐,500万,3室1厅 | 101.69平米 | 南 | 简装 | 高楼层(共24层) | 1996年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-af48f057-b7fe-45e3-90db-9c4bdd6c0bfb.jpg.296x216.jpg
20200208,浦东,金杨,香山西南 非顶楼 看房随时 双南户型 诚意出售房主自荐,335万,2室1厅 | 66.34平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-26cad87c-cb5b-4958-aeb6-9bbb06f5760f.jpg.296x216.jpg
20200208,浦东,金杨,此房满五年唯一 无个税 13平露台 精装,725万,3室2厅 | 99.14平米 | 南 | 精装 | 高楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_T2OWXqYV3_1.jpg.296x216.jpg
20200208,浦东,金杨,品质社区 电梯中区 近地铁精装修 看房方便 满五年,998万,3室2厅 | 121.34平米 | 南 | 精装 | 中楼层(共11层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-64e3f11c-a28e-4dab-89ea-d3b9007f3b8f.jpg.296x216.jpg
20200208,浦东,金杨,近地铁 南北大两房 非顶楼 南北 生活配套齐全房主自荐,360万,2室1厅 | 75.69平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-13004795-bef6-4c86-87ca-53ac095e684f.jpg.296x216.jpg
20200208,浦东,金杨,香山新村 南北小两房 小区位置好 总价低 诚心出售,255万,2室1厅 | 51.66平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-07cff868-6267-4da2-81aa-53d10a7b650e.jpg.296x216.jpg
20200208,浦东,金杨,2004年小区，动迁且唯一，税少，顶楼复式，实用空间大,780万,5室1厅 | 126.5平米 | 南 | 简装 | 高楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-4a71eeab-9c5f-4f02-a935-96d73ac29a7e.jpg.296x216.jpg
20200208,浦东,金杨,近地铁，后排位置，一手买进，精装大三房，安静宜居,1220万,3室2厅 | 145.6平米 | 南 北 | 精装 | 低楼层(共11层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-0925caa9-d994-4419-8edd-01c17a2d7558.jpg.296x216.jpg
20200208,浦东,金杨,中环内 满五唯一 非顶楼 近6 9号线 近久金广场,365万,3室1厅 | 74平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-32e6b6aa-6480-48a4-88df-2fe16cc57ed5.jpg.296x216.jpg
20200208,浦东,金杨,南北稀有的小2房，1房的价格，值得拥有！,265万,2室1厅 | 55.3平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-fc1fc7d1-0884-4249-a7bc-efbeff837449.jpg.296x216.jpg
20200208,浦东,金杨,金杨750弄小区，低总价，看房有钥匙，近地铁,320万,1室2厅 | 64.19平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-05d38c73-152a-4cc9-b007-0114dd353e30.jpg.296x216.jpg
20200208,浦东,金杨,满五唯一+精装修+双轨交通+一梯两户+小区中间,640万,4室2厅 | 126.32平米 | 南 北 | 精装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_63UJ3OtZp.jpg.296x216.jpg
20200208,浦东,金杨,精装修三房三厅 双轨交通 房东诚心出售,799万,3室3厅 | 136.26平米 | 南 | 精装 | 高楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_dnOBz8U3N.jpg.296x216.jpg
20200208,浦东,金杨,南北格局，视野宽阔，采光充足配套设施齐全，交通便利,1180万,2室2厅 | 116.81平米 | 南 | 精装 | 中楼层(共16层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_VS1sPLgbQ.jpg.296x216.jpg
20200208,浦东,金杨,99年双南两房附带双天井   房型正气    南北敞亮,450万,2室2厅 | 78.07平米 | 南 | 简装 | 低楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_CpY3qhocZ.jpg.296x216.jpg
20200208,浦东,金杨,婚房装修，看房方便，空间大，小区临河，花园位置。,330万,2室1厅 | 66.46平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-fd9a7524-8ae5-4f15-b691-8805257b251f.jpg.296x216.jpg
20200208,浦东,金杨,全天采光 双南全明 卧室带飘窗 非顶楼 近地铁6+9号线房主自荐,370万,2室1厅 | 64.65平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-7853a705-68cc-4a7b-ad53-893b989a49fa.jpg.296x216.jpg
20200208,浦东,金杨,近九号线蓝天路 总价低精装两房 动迁满五唯一房主自荐,315万,2室1厅 | 60.2平米 | 西南 | 精装 | 高楼层(共7层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-86cff112-47a5-47a0-a364-badbe6aa30d0.jpg.296x216.jpg
20200208,浦东,金杨,满五唯一！小三房带大花园，采光无遮挡，随时可看,835万,3室2厅 | 99.75平米 | 南 | 精装 | 低楼层(共11层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-9a2e11ea-13a1-4728-ad2d-61a66d160443.png.296x216.jpg
20200208,浦东,金杨,非顶楼+近地铁+税费少，精装修，房东诚心出售,223万,1室1厅 | 42.73平米 | 南 | 精装 | 6层 | 1990年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_BQNjpdmdx.jpg.296x216.jpg
20200208,浦东,金杨,满五1/3唯一，税费少，视野开阔，采光充足房主自荐,202万,1室1厅 | 42.82平米 | 南 北 | 简装 | 6层 | 1990年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-41275d46-0506-49b8-8ef1-03e6759a3d68.jpg.296x216.jpg
20200208,浦东,金杨,新出房源，东边套全明，满五唯一。小区中间位置房主自荐,245万,1室1厅 | 49.56平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_MLqfKFE6F_1.jpg.296x216.jpg
20200208,浦东,金杨,单价便宜的一房，全明户型，近地铁，拎包入住,215万,1室1厅 | 43.64平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-89afa6ac-8f2b-47fe-8e05-82e15d3aa198.png.296x216.jpg
20200208,浦东,金杨,内环边 一梯2户 小2房 满5年唯一  近地铁6+9+14号线,245万,2室1厅 | 54.57平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-0ff7d12e-8a4e-4f89-bce5-a2f8e1fd95e1.jpg.296x216.jpg
20200208,浦东,金杨,弘扬雅苑 顶楼复式 阳光房+露台 4房3厅4卫 空中别墅房主自荐,1300万,4室3厅 | 174.24平米 | 南 北 | 精装 | 高楼层(共5层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d2dcba9b-6a25-498d-b7fb-fc2bc00e1a02.jpg.296x216.jpg
20200208,浦东,金杨,精装两房 视野开阔 生活舒适 价格美丽 看房方便房主自荐,330万,2室1厅 | 66.76平米 | 南 | 精装 | 高楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-78c3c6d9-2391-4035-8d60-52cf191b57b7.jpg.296x216.jpg
20200208,浦东,金杨,非顶楼，双南全明两房，前无遮挡，视野开阔。,285万,2室1厅 | 59.4平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b1630b58-cf4e-493f-af66-1d535f3957dc.jpg.296x216.jpg
20200208,浦东,金杨,西边套大三房。带大花园，带地暖，看房子预约,740万,3室2厅 | 84.69平米 | 南 | 精装 | 低楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_aPQaMYq1p.jpg.296x216.jpg
20200208,浦东,金杨,【房改售房】近内环，配套成熟，近地铁,230万,1室1厅 | 52.09平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-946df82e-0cd7-4200-bb5f-336db4b02fa9.jpg.296x216.jpg
20200208,浦东,金杨,全明户型，中间楼层，三不靠，厅有窗户.房主自荐,290万,2室1厅 | 51.66平米 | 南 北 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_XjwkgllsG.jpg.296x216.jpg
20200208,浦东,金杨,双轨交通，自住装修，视野开阔，全明户型，配套齐全,310万,2室1厅 | 61.46平米 | 东南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_UvQyPyQRb.jpg.296x216.jpg
20200208,浦东,金杨,《单价低，总价低》满五年，近地铁，一梯三户,235万,1室1厅 | 52.9平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_zUHczVk9i.jpg.296x216.jpg
20200208,浦东,金杨,【新出】满五唯一 上海未来 双轨交通,870万,2室2厅 | 99.3平米 | 南 | 精装 | 低楼层(共7层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_9Q5tIPNSH.jpg.296x216.jpg
20200208,浦东,金杨,香山新村西南街坊 2室1厅 358万,358万,2室1厅 | 66.04平米 | 南 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_fODJcuRky.jpg.296x216.jpg
20200208,浦东,金杨,边套大两房，双卫，满五税费少，小区前排,1210万,2室2厅 | 122.18平米 | 南 北 | 精装 | 高楼层(共12层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-bd242f63-21b1-4d95-9769-00f8b18d8e15.jpg.296x216.jpg
20200208,浦东,金杨,地铁品质小区，满五唯一顶复无个税！带产权车位三房,1300万,3室2厅 | 115平米 | 南 | 精装 | 高楼层(共21层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d006720c-75b4-43ce-8468-78cc8cdf56ad.jpg.296x216.jpg
20200208,浦东,金杨,正规小区全明双南采光好房型佳得房率高地铁口精装！,310万,2室1厅 | 63.29平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-fcd5c469-640d-458f-9ad4-7a0b50e8c245.png.296x216.jpg
20200208,浦东,金杨,此房随时可看，精装修，交通便利，配套设施齐全,760万,4室2厅 | 190.91平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-265c0a8b-adae-4902-99c3-0f2b71cafb99.png.296x216.jpg
20200208,浦东,金杨,金杨新村十一街坊 2室2厅 495万,495万,2室2厅 | 88.43平米 | 南 | 精装 | 低楼层(共5层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-6fcc26ff-4117-4b05-9c39-09f95e2064c8.png.296x216.jpg
20200208,浦东,金杨,金杨路上的好品质商品房，顶楼复式，小区品质好,900万,4室2厅 | 160.96平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_TCuRNtqyY.jpg.296x216.jpg
20200208,浦东,金杨,金桥瑞仕花园大三房，另一层2房,1530万,5室3厅 | 269平米 | 南 | 精装 | 低楼层(共16层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_nv9TmhkYJ_1.jpg.296x216.jpg
20200208,浦东,金杨,有产权车位 中间位置，少有三复四，复式结构园林洋房,1200万,4室2厅 | 164.56平米 | 南 | 简装 | 中楼层(共5层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_QA23urpCY_1.jpg.296x216.jpg
20200208,浦东,金杨,广洋苑 4室2厅 1340万,1340万,4室2厅 | 158.58平米 | 南 | 精装 | 高楼层(共11层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_yygM2ShQe.jpg.296x216.jpg
20200208,浦东,金杨,香山新村西南街坊 2室2厅 505万,505万,2室2厅 | 91.2平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_veo8aMwTt_1.jpg.296x216.jpg
20200208,浦东,金杨,精装修，双南两房，次顶楼，采光好，无遮挡,352万,2室1厅 | 67.77平米 | 南 | 精装 | 高楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-603a5584-210a-4148-a958-6b7efeb0554e.jpg.296x216.jpg
20200208,浦东,金杨,小户型居家自住，总价低，满五年少税，看房随时,210万,1室1厅 | 36.81平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d3d02f58-dbaf-4f76-87c1-f1e61fda3646.jpg.296x216.jpg
20200208,浦东,金杨,双朝南两房，中间楼层，满五唯一，居家之选,240万,2室1厅 | 54.29平米 | 南 | 简装 | 中楼层(共5层) | 1985年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-89a690ea-0ee9-477e-af7d-a2be7762c08c.jpg.296x216.jpg
20200208,浦东,金杨,精装双南，带阁楼，小桥流水+14号线&6号线,340万,2室1厅 | 67.2平米 | 南 | 简装 | 高楼层(共6层) | 1990年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_OqRSI6bnQ.jpg.296x216.jpg
20200208,浦东,金杨,小区中间/钻石三楼/双南两卧/采光充足/税少划算,510万,2室2厅 | 52.34平米 | 南 | 精装 | 中楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_i122xKPJm.jpg.296x216.jpg
20200208,浦东,金杨,双南两居+轨交6/9+2楼+无遮挡阳光充足+急售！！,286万,2室1厅 | 59.9平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d380329d-473f-4280-a6ed-4f8d17a8c373.jpg.296x216.jpg
20200208,浦东,金杨,近14号线+税少+位置好+业主诚心出售,230万,1室1厅 | 50.58平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-47dee2e8-becf-4ea6-9ed1-ae2d140d3d79.jpg.296x216.jpg
20200208,浦东,金杨,一梯两户  南北通 房型正气  动迁满五唯一  近地铁,360万,3室1厅 | 74平米 | 南 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-9147fdc0-f5c8-44fd-b426-491c503f91e8.jpg.296x216.jpg
20200208,浦东,金杨,急售，婚房精装，保养很好，干净整洁，可以直接入住,230万,1室1厅 | 45.99平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a97975ed-84fb-4906-8d80-6bdd46ed7741.jpg.296x216.jpg
20200208,浦东,金杨,动迁房两房，无增值税，一个点的个税，看房随时,580万,2室2厅 | 71.85平米 | 西南 | 毛坯 | 低楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-0e211faa-9c1e-4e1a-8d82-a57633418add.jpg.296x216.jpg
20200208,浦东,金杨,二南一北全明户型，一梯二户，满五年唯一房主自荐,700万,3室2厅 | 86.6平米 | 南 北 | 精装 | 中楼层(共5层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_wla8m18no_1.jpg.296x216.jpg
20200208,浦东,金杨,全屋地暖 新装入住仅一年 满五唯一 位置好 楼层好,1170万,4室2厅 | 137.77平米 | 南 北 | 精装 | 中楼层(共5层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_j3UYw3lBh_1.jpg.296x216.jpg
20200208,浦东,金杨,罗山二村，中层，交通便利，看房方便，满五唯一  急售,310万,2室1厅 | 58平米 | 南 | 简装 | 中楼层(共6层) | 1991年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c25ba555-915e-41bc-86af-1b5b422cd302.jpg.296x216.jpg
20200208,浦东,金杨,【南北两房】简装，靠河位置，通风好，环境好，静谧,320万,2室1厅 | 58.74平米 | 南 北 | 简装 | 低楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-7b44ef40-5691-4ac0-a1c0-12d255c9ea87.jpg.296x216.jpg
20200208,浦东,金杨,@@中间楼层，靠小河，一梯二户，价格OK，业主签字,250万,1室1厅 | 50.46平米 | 南 | 简装 | 中楼层(共6层) | 1990年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_2q7FUkLib.jpg.296x216.jpg
20200208,浦东,金杨,双南两房+单价低+近内环线+精装修+随时看房,369万,2室2厅 | 73.84平米 | 西南 | 简装 | 中楼层(共25层) | 1997年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/test-478c54e5-c5fe-4fbe-90f9-90238f52387f.png.296x216.jpg
