20200208,浦东,高行,楼梯房三楼，满五年唯一，小区中间位置必看好房,500万,3室2厅 | 98平米 | 南 北 | 简装 | 中楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_kwJTxIZnb_1.jpg.296x216.jpg
20200208,浦东,高行,新风系统加地暖 崭新装修从未住过 满五唯一无个税,580万,2室2厅 | 103.87平米 | 南 | 精装 | 高楼层(共18层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-aa5d366c-f0ea-4aac-80c8-d24c3e26526a.jpg.296x216.jpg
20200208,浦东,高行,动静分离+免增值税+业主自住+一梯两户+不临街房主自荐,488万,2室2厅 | 98.77平米 | 南 北 | 精装 | 低楼层(共12层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c86316f7-2990-424e-b259-bde3bc55ea93.jpg.296x216.jpg
20200208,浦东,高行,精装大三房，家具一起打包，带车位，出门就卜蜂莲花,760万,3室2厅 | 124.5平米 | 南 | 精装 | 中楼层(共5层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_5ZcbDkkeb_1.jpg.296x216.jpg
20200208,浦东,高行,绿地崴廉南北大两房，中区楼层，视野采光好！不靠路！,510万,2室2厅 | 95.71平米 | 南 北 | 精装 | 中楼层(共16层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-da451522-da3c-41f8-b068-bae04cec1646.jpg.296x216.jpg
20200208,浦东,高行,新高苑一期精装两房两厅电梯房楼层好,440万,2室2厅 | 96.84平米 | 南 | 精装 | 低楼层(共12层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_J9tw2RGtn_1.jpg.296x216.jpg
20200208,浦东,高行,新高苑一期一房一厅诚心出售小区楼房品质好,237万,1室1厅 | 50.25平米 | 南 | 简装 | 高楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_LFZVoWsGD_1.jpg.296x216.jpg
20200208,浦东,高行,自住装修，安静位置，全南户型，带大花园，随时可看房主自荐,505万,3室2厅 | 101.84平米 | 南 北 | 精装 | 低楼层(共14层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Tg87EEBGe_1.jpg.296x216.jpg
20200208,浦东,高行,位置安静精装修，前方无遮挡光线明亮，满五唯一,445万,2室2厅 | 87.68平米 | 南 | 精装 | 低楼层(共20层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-dff0abd0-83b4-4387-86f0-c4c865e42eb8.jpg.296x216.jpg
20200208,浦东,高行,精装修  红木家具  楼层好 采光好房主自荐,308万,1室1厅 | 53.82平米 | 南 | 精装 | 中楼层(共12层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a585037c-373b-406f-86fb-786fab0e5235.jpg.296x216.jpg
20200208,浦东,高行,东源名都精装电梯三房两卫，楼层高位置好，全明户型,595万,3室2厅 | 113平米 | 南 北 | 精装 | 高楼层(共18层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_EQC524Jv8_1.jpg.296x216.jpg
20200208,浦东,高行,2011年次新小区 新高苑三期 南北通一居室 户型正气,265万,1室2厅 | 57.8平米 | 南 | 毛坯 | 高楼层(共6层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_qZtw6cxmj_1.jpg.296x216.jpg
20200208,浦东,高行,新高苑精装修一房 直接入住看房方便 采光好无遮挡,250万,1室1厅 | 50.55平米 | 南 | 精装 | 高楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_IsmBjvdMd_1.jpg.296x216.jpg
20200208,浦东,高行,房子满五年唯一，双南户型，楼层3楼，房东诚心出售,340万,2室1厅 | 77.58平米 | 南 | 简装 | 中楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_BsZM5haRV_1.jpg.296x216.jpg
20200208,浦东,高行,顶楼带阁楼 南北通两房 房东诚心出售,310万,2室1厅 | 73.45平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-fc44e552-7a43-49b5-85d6-a9985fb30c41.png.296x216.jpg
20200208,浦东,高行,电梯房，6复7，诚意出售，近地铁，近中西结合医院。,920万,4室4厅 | 223平米 | 南 | 精装 | 高楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-660e1480-e7a1-45ae-a13f-c37d2bd6f4b7.jpg.296x216.jpg
20200208,浦东,高行,环境优雅+地铁家门口+广场出门就是+中 央 空调地暖,612万,2室2厅 | 96.37平米 | 南 北 | 精装 | 低楼层(共5层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-6a91bf19-c0a3-439a-9179-fd39467e4fd6.jpg.296x216.jpg
20200208,浦东,高行,近地铁 2012年商品房，南北户型，采光好，视野佳。,620万,2室2厅 | 111.45平米 | 南 | 毛坯 | 高楼层(共18层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-0765a2c1-4b6d-4b8f-bc1d-d30e0120ee86.jpg.296x216.jpg
20200208,浦东,高行,电梯三房，精装修自住，满五唯一，诚心出售,639万,3室2厅 | 130.48平米 | 南 北 | 精装 | 低楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_xoxaiFGRp_1.jpg.296x216.jpg
20200208,浦东,高行,精装修    户型正    诚心出售,650万,3室2厅 | 145.04平米 | 南 | 精装 | 低楼层(共8层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_yaCHyDJQQ_1.jpg.296x216.jpg
20200208,浦东,高行,注意看价格 欢迎参观 ！ 钥匙房 中装拎包住 = 双地铁房主自荐,215万,1室1厅 | 52.4平米 | 西 | 精装 | 高楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_aNb52qC7X_1.jpg.296x216.jpg
20200208,浦东,高行,景观10楼，业主急售直接降价出售，有钥匙，随时看房,350万,1室1厅 | 63.38平米 | 南 | 精装 | 中楼层(共16层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ef82b3c7-4f60-4bdb-b04b-86e2727e5cec.jpg.296x216.jpg
20200208,浦东,高行,精装小两房，楼层采光好，小区近地铁环境好，诚意出售,255万,2室1厅 | 57.74平米 | 南 北 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-8d32aedb-698f-43ad-b555-8fd895075e52.jpg.296x216.jpg
20200208,浦东,高行,钥匙房 电梯房 景观楼层  南北通透 随时可以看房房主自荐,470万,2室2厅 | 96.79平米 | 南 北 | 精装 | 中楼层(共17层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f24d43fb-43ef-4a0a-a97e-ad8dd2ba89c1.jpg.296x216.jpg
20200208,浦东,高行,精装一房，视野开阔采光好，业主诚心出售，看房方便,220万,1室1厅 | 51.6平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_aYGpTIATm_1.jpg.296x216.jpg
20200208,浦东,高行,低楼层3房，上下楼方便   6.12号双轨   看房子方便,390万,3室1厅 | 92.55平米 | 南 | 简装 | 低楼层(共7层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_OjccE8NB3_1.jpg.296x216.jpg
20200208,浦东,高行,多层带电梯，自住装修，满五年唯一，看房方便,499万,2室2厅 | 106.38平米 | 南 | 精装 | 低楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_9FXx7U6ND_1.jpg.296x216.jpg
20200208,浦东,高行,外环内，双地铁，自住装修，带大花园，诚意出售随时看,405万,2室2厅 | 84.96平米 | 南 | 精装 | 低楼层(共11层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_SsBaVmFuB_1.jpg.296x216.jpg
20200208,浦东,高行,精装修，拎包住，产权车位，位置好，带花园，光无遮挡,555万,3室2厅 | 115平米 | 南 | 精装 | 低楼层(共5层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-3c70e93d-31d8-4c60-acff-09223db88977.jpg.296x216.jpg
20200208,浦东,高行,高区景观楼层，C7户型，房型正气，自住装修保养好,536万,2室2厅 | 100.02平米 | 南 | 精装 | 高楼层(共16层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f79bbff1-b58a-4360-b49f-5e82a570a88c.jpg.296x216.jpg
20200208,浦东,高行,中间楼层，3年婚房装修，买进价高，税少诚售！,505万,2室2厅 | 91.6平米 | 南 | 精装 | 中楼层(共16层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_EVlqIfkhT_1.jpg.296x216.jpg
20200208,浦东,高行,电梯3房2卫  景观楼层  采光好  空间宽敞  可拎包入住房主自荐,630万,3室2厅 | 135平米 | 东南 | 精装 | 中楼层(共17层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-1bb6b94c-a6ae-4069-9683-ad30f52ee6b1.jpg.296x216.jpg
20200208,浦东,高行,地铁站1.1公里    南北通格局一房  中间楼层,330万,1室1厅 | 55.08平米 | 南 | 简装 | 中楼层(共12层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_RQ11HGlyx_1.jpg.296x216.jpg
20200208,浦东,高行,地铁精装两房，满五唯一，业主诚心出售,305万,2室1厅 | 73.72平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_PAnvfHTUL_1.jpg.296x216.jpg
20200208,浦东,高行,一手动迁，复式房+露台+精装修+交通便利+配套齐全,455万,2室1厅 | 78.66平米 | 南 | 精装 | 高楼层(共6层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_wxlAwDBjC_1.jpg.296x216.jpg
20200208,浦东,高行,央座位置+景观楼层+满五唯一+看房方便+诚心出售,278万,1室1厅 | 53.33平米 | 南 | 简装 | 中楼层(共14层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_8RKrvGCVn_1.jpg.296x216.jpg
20200208,浦东,高行,2007商品房，近地铁 ， 南北通户型 ，采光充足,600万,3室2厅 | 116.13平米 | 南 | 精装 | 低楼层(共18层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_rw880ikCX_1.jpg.296x216.jpg
20200208,浦东,高行,满五年，精装修，双南户型诚心出售，视野宽阔,475万,2室2厅 | 87.68平米 | 南 | 精装 | 高楼层(共20层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-71c9da02-5e42-419d-b272-abef5733b5ae.png.296x216.jpg
20200208,浦东,高行,大三房带电梯  复式房+露台+地下产权车位 精装修空置,650万,3室2厅 | 123.94平米 | 南 北 | 精装 | 高楼层(共14层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-64ac7e31-08bc-41ee-b710-f4e58133ff45.png.296x216.jpg
20200208,浦东,高行,三开间朝南户型 总价低 有钥匙看房方便 房东诚心出售,330万,2室2厅 | 85.6平米 | 南 | 简装 | 高楼层(共7层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-f993b17c-7d39-4af2-a59d-d2effafb5687.png.296x216.jpg
20200208,浦东,高行,东源名都，地铁500米，税费各付，近卜蜂莲花超市！,460万,2室1厅 | 90.35平米 | 南 | 简装 | 低楼层(共18层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-8879b227-f722-490e-af72-ad6460acd005.jpg.296x216.jpg
20200208,浦东,高行,满五唯一，三房朝南采光好，诚意出售，看房方便,390万,3室1厅 | 92.55平米 | 南 | 简装 | 中楼层(共7层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-8857bd55-2aa2-491a-9af4-65960e1ab163.jpg.296x216.jpg
20200208,浦东,高行,三代同堂 四房朝南，房型正气，南北大露台,810万,5室3厅 | 202.2平米 | 南 | 精装 | 高楼层(共5层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ba527789-b590-420f-be04-b39180b4add2.png.296x216.jpg
20200208,浦东,高行,三开间朝南户型，精装修，单价低，中间位置，价格可谈,340万,3室2厅 | 92.55平米 | 南 北 | 精装 | 高楼层(共7层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-822a3521-a4ea-43d5-b78e-2d96ca2a3e93.jpg.296x216.jpg
20200208,浦东,高行,近地铁，总价低，高品质小区，南北通风，精装修。,545万,2室2厅 | 113.63平米 | 南 | 精装 | 低楼层(共18层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-94856637-8f6a-42f2-9245-09529f176f30.jpg.296x216.jpg
20200208,浦东,高行,楼层好，采光充足，近地铁，总价低税少房主自荐,215万,1室1厅 | 49.11平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-88c7d52b-3e06-42eb-97ca-66f66962b398.jpg.296x216.jpg
20200208,浦东,高行,二期非底楼一房总价低附露台，纯毛坯可以随意装修,250万,1室1厅 | 53.38平米 | 南 | 毛坯 | 低楼层(共11层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c1aa5d26-56da-4d96-b07f-6a098ee0b3b8.jpg.296x216.jpg
20200208,浦东,高行,南北通两房 采光好  业主诚意出售 看房方便房主自荐,315万,2室2厅 | 78.06平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-926dd9cb-e245-4100-a1a3-5131ae0a7475.jpg.296x216.jpg
20200208,浦东,高行,满五唯一税少，南北通风全明，优质户型视野开阔有钥匙,495万,2室2厅 | 97.46平米 | 南 | 简装 | 高楼层(共16层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_i3qer5bVm_1.jpg.296x216.jpg
20200208,浦东,高行,双地铁+近靠万嘉购物广场+随时可签,305万,2室1厅 | 72平米 | 南 | 精装 | 高楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_qDvm42zcr_1.jpg.296x216.jpg
20200208,浦东,高行,满五不唯一，诚心出售，自住随时可看，采光通风好,235万,1室1厅 | 51.6平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a3a1d78f-5c2c-42fc-ba4b-dcc544173984.jpg.296x216.jpg
20200208,浦东,高行,位置安静适宜居住 总高6楼带电梯 户型正气精装修,479万,2室1厅 | 97.91平米 | 南 | 精装 | 中楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_jHCNW3IBH_1.jpg.296x216.jpg
20200208,浦东,高行,2000年商品房 多层带电梯 少税  精装修 自带超大花园,670万,3室2厅 | 145.04平米 | 南 | 精装 | 低楼层(共8层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-cee25b3d-0500-4c0a-87fb-11fb097ec859.jpg.296x216.jpg
20200208,浦东,高行,双楠户型前后无遮挡  动迁少税  看房子方便,319万,2室1厅 | 70.67平米 | 南 | 简装 | 低楼层(共7层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-1b75e21e-501f-4edd-97c0-647861a30477.jpg.296x216.jpg
20200208,浦东,高行,高行家园2008年商品房电梯房中区楼层，蝴蝶型大三房！,580万,3室2厅 | 124.44平米 | 南 北 | 精装 | 中楼层(共11层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-b95cfd02-cded-45a3-a21d-272b7ebaf581.png.296x216.jpg
20200208,浦东,高行,一手动迁税费少，蝴蝶户型，中间位置，近万嘉广场。,490万,3室2厅 | 98.15平米 | 南 | 精装 | 高楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-233e64e3-52e9-4da7-b17c-19919eec3bc0.jpg.296x216.jpg
20200208,浦东,高行,满五年  位置好 精装修户型方正 配套完善,475万,2室2厅 | 97.66平米 | 南 | 精装 | 低楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ODgko1Flq_1.jpg.296x216.jpg
20200208,浦东,高行,98年马赛克商品房，12号线1号口，20万装修拎包入住,255万,1室1厅 | 55平米 | 南 北 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_rIMszqlRM_1.jpg.296x216.jpg
20200208,浦东,高行,温馨精装一居室，新高苑一期一房，满五唯一南北户型,245万,1室1厅 | 49.7平米 | 南 | 精装 | 高楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Hi2dwsDYZ_1.jpg.296x216.jpg
20200208,浦东,高行,此房满五不唯一，户型方正，通风好出行方便，交通便利,585万,3室2厅 | 123.27平米 | 南 | 毛坯 | 低楼层(共11层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_KhZkMQxqo_1.jpg.296x216.jpg
20200208,浦东,高行,南北通透户型 位置好 楼层好 业主诚意出售,475万,2室2厅 | 97.83平米 | 南 北 | 精装 | 高楼层(共14层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_7f6dODAPX_1.jpg.296x216.jpg
20200208,浦东,高行,满五年唯一 南北通透户型 位置好 楼层好 业主诚意,505万,3室2厅 | 98.06平米 | 南 北 | 简装 | 低楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_gPXEnXScI_1.jpg.296x216.jpg
20200208,浦东,高行,小区环境好，精装三房，有花园，南北户型，二个大阳台,513万,3室2厅 | 99平米 | 南 | 精装 | 低楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e8e698b9-bbef-4a3c-8b1b-00356d294ebf.jpg.296x216.jpg
20200208,浦东,高行,满五唯一+小区央座+30平花园+地下室 精装修自住保养好,590万,3室2厅 | 130.95平米 | 南 北 | 精装 | 低楼层(共11层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-051316d7-0c27-4a5a-9f56-cfb64a38d04d.jpg.296x216.jpg
20200208,浦东,高行,满五唯一 带大花园  大地下室   业主诚心,750万,3室2厅 | 171.92平米 | 南 | 精装 | 低楼层(共13层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-34c08701-1ab6-4f10-827f-9c0153878c19.jpg.296x216.jpg
20200208,浦东,高行,MO范电梯小高层，南北户型精装修景观楼层，诚意卖房,510万,3室2厅 | 109.83平米 | 南 | 精装 | 高楼层(共14层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-89b72e70-f843-46c4-a1e5-b8052f94b863.jpg.296x216.jpg
20200208,浦东,高行,精装三房，业主自住，满五唯一，税少房主自荐,380万,3室1厅 | 92.72平米 | 南 北 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e7838002-3627-4cea-9bc5-41fc8d117a6b.jpg.296x216.jpg
20200208,浦东,高行,铂庭俱进家园高层房源 满五唯一诚意出售全南户型,460万,2室2厅 | 86.47平米 | 南 | 毛坯 | 高楼层(共20层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-2c546e6e-f00e-44ec-b10f-9a19a4257e04.jpg.296x216.jpg
20200208,浦东,高行,一手动迁，总价低三房，户型方正，位置好，2007年的房,400万,3室2厅 | 94.56平米 | 东南 | 毛坯 | 低楼层(共5层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-3f0d43eb-3f8f-4134-ae53-17901c44027e.jpg.296x216.jpg
20200208,浦东,高行,高楼层景观房 精装修20万 保养好 南北通透 带固定车位,335万,2室2厅 | 72.55平米 | 南 北 | 精装 | 高楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_o2xSh1MhR_1.jpg.296x216.jpg
20200208,浦东,高行,C7大两房！税少！ 位置好！ 楼层好！户型好！ 大阳台,529万,2室2厅 | 97.95平米 | 南 | 精装 | 低楼层(共16层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_s916KltvX_1.jpg.296x216.jpg
20200208,浦东,高行,新高苑三期大一房次顶楼双南户型，户型方正,283万,1室2厅 | 56.92平米 | 南 | 简装 | 高楼层(共6层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_fo8Vst8iU_1.jpg.296x216.jpg
20200208,浦东,高行,楼层优越， 位置也好，背靠花园与河流，诚心出售。,355万,2室1厅 | 78平米 | 东南 | 简装 | 中楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_fhPPJazrQ_1.jpg.296x216.jpg
20200208,浦东,高行,电梯3房，卧室带飘窗，中间楼层采光好，位置安静。,540万,3室2厅 | 108.54平米 | 南 | 精装 | 中楼层(共14层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_C3OmlVfn9_1.jpg.296x216.jpg
20200208,浦东,高行,品质小区 新高苑一期 南北正气两居室 一手动迁税少,410万,2室2厅 | 85.3平米 | 南 | 毛坯 | 高楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_l9Xv2JR58_1.jpg.296x216.jpg
20200208,浦东,高行,2011年次新房沿河景观楼层 精装修 税费少 南北通,414万,2室2厅 | 83.38平米 | 南 | 精装 | 高楼层(共6层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_KwVSUN5xZ_1.jpg.296x216.jpg
20200208,浦东,高行,此房户型方正，近12号线金京路看房方便位置好,425万,2室2厅 | 85.3平米 | 南 北 | 简装 | 高楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_lYFw8fCEJ_1.jpg.296x216.jpg
20200208,浦东,高行,户型南北通透双阳台，08年商品房 单价低诚意卖房主自荐,439万,2室1厅 | 97.9平米 | 南 北 | 简装 | 低楼层(共11层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_wGrESsIyC_1.jpg.296x216.jpg
20200208,浦东,高行,小区央座大两房C7户型，安静舒适，满五唯一无个税！房主自荐,528万,2室2厅 | 97.95平米 | 南 北 | 简装 | 低楼层(共16层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_K66GTqCXB_1.jpg.296x216.jpg
20200208,浦东,高行,品质为先 精装自住 中间位置  物业规范负责,445万,2室2厅 | 87.68平米 | 南 | 精装 | 低楼层(共20层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_1TBpkkeMy_1.jpg.296x216.jpg
20200208,浦东,高行,2011年南北通2个卧室  全明采光 一手动迁税费少,325万,1室2厅 | 65.42平米 | 南 | 简装 | 低楼层(共14层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Og6VSCQZb_1.jpg.296x216.jpg
20200208,浦东,高行,二期南北通户型，精装两房，380万房东诚售,380万,2室2厅 | 87.81平米 | 南 | 精装 | 低楼层(共11层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_PSdCuPLNI_1.jpg.296x216.jpg
20200208,浦东,高行,新高苑一期南北通好位置 税费少 看房方便 诚意出售,418万,2室2厅 | 85.95平米 | 南 | 简装 | 高楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_NMf1j1U9u_1.jpg.296x216.jpg
20200208,浦东,高行,小区央座大三房，精装修，高区此顶楼，采光视野佳！,698万,3室2厅 | 127.76平米 | 南 | 精装 | 高楼层(共14层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_mo538DVHu_1.jpg.296x216.jpg
20200208,浦东,高行,满五唯一税费少，户型南北方正，看房方便急售,395万,2室2厅 | 78.4平米 | 南 | 精装 | 高楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_5RK7Qy1Ge_1.jpg.296x216.jpg
20200208,浦东,高行,精装修，一手动迁，  税费少，好楼层，小区中间位置,428万,3室1厅 | 95.54平米 | 南 | 精装 | 中楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_aHscKE2ko_1.jpg.296x216.jpg
20200208,浦东,高行,金京路站双南两房  精装满二  拎包入住,308万,2室1厅 | 73.72平米 | 南 北 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-18ce9239-8b70-4c1b-abf3-5ba8315e557e.jpg.296x216.jpg
