20200208,宝山,大华,近小区花园位置   满五唯一   户型正气必看好房,460万,2室2厅 | 88.38平米 | 南 北 | 精装 | 中楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-328a7051-736b-4f0f-b987-4c8abcc2d6c3.jpg.296x216.jpg
20200208,宝山,大华,电梯高区，满五唯一，二手买进税少，拎包入住。必看好房,489万,1室2厅 | 70.49平米 | 南 | 精装 | 高楼层(共14层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-269465e4-1dbb-4167-a058-327228bcb867.jpg.296x216.jpg
20200208,宝山,大华,中环一号电梯高区大三房小区中 心位置 满五唯一精装修必看好房,638万,3室2厅 | 119.59平米 | 南 | 精装 | 中楼层(共14层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_05Lu0oeD0_1.jpg.296x216.jpg
20200208,宝山,大华,房子户型方正，房东这边诚意度很高，中间楼层，采光好必看好房,265万,1室1厅 | 53.18平米 | 南 北 | 毛坯 | 中楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_UFU35rLYo_1.jpg.296x216.jpg
20200208,宝山,大华,满五唯一，户型正气，视野开阔采光好，车位充足。必看好房,495万,2室2厅 | 92.47平米 | 南 | 精装 | 低楼层(共14层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_UA4QwLBk9_1.jpg.296x216.jpg
20200208,宝山,大华,满五唯一，中环边不靠马路，温馨两房大飘窗，通透采光必看好房,410万,2室2厅 | 70.07平米 | 东 西 | 精装 | 中楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_fYQUf4pbg_1.jpg.296x216.jpg
20200208,宝山,大华,满五年，中间楼层，采光通风好，全明户型，位置好。必看好房,463万,2室2厅 | 85.79平米 | 南 | 简装 | 中楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_75TfPHuWn_2.jpg.296x216.jpg
20200208,宝山,大华,花园电梯洋房 精装保养很好 附书房 7号线800米！必看好房,485万,2室2厅 | 84.28平米 | 南 | 精装 | 中楼层(共7层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_uqYAy1FpY_1.jpg.296x216.jpg
20200208,宝山,大华,一梯两户，7楼的5楼，产证面积大，中环内，单价低必看好房,490万,3室2厅 | 123平米 | 南 | 简装 | 中楼层(共7层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_zSU5UyPZ0_1.jpg.296x216.jpg
20200208,宝山,大华,满五年唯一地铁三房楼层采光好，位置优越，通风效果好必看好房,545万,3室2厅 | 96.68平米 | 南 北 | 精装 | 低楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_AinVWMLNj_1.jpg.296x216.jpg
20200208,宝山,大华,有钥匙  少有边套全明户型  价格可谈 看中签字必看好房,305万,2室1厅 | 64.1平米 | 南 | 毛坯 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_IbVQOTVik_1.jpg.296x216.jpg
20200208,宝山,大华,三阳台，位置好，采光好，看房方便，11年新房，税费低必看好房,580万,3室2厅 | 115.95平米 | 南 | 精装 | 低楼层(共18层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_dwi6BKYa1_1.jpg.296x216.jpg
20200208,宝山,大华,双南户型 2016年 婚房精装修 温馨两居  满五年唯一必看好房,505万,2室2厅 | 90.48平米 | 南 西 北 | 精装 | 低楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ftFSy7DqB_2.jpg.296x216.jpg
20200208,宝山,大华,精装修 近地铁 近静安大融城 小户型正气两房必看好房,320万,2室1厅 | 59.59平米 | 东 | 精装 | 中楼层(共6层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_W3HSiMSKO_1.jpg.296x216.jpg
20200208,宝山,大华,大华明星社区，总价低精装两房，位置好，随时可签必看好房,609万,2室2厅 | 90.38平米 | 南 | 精装 | 低楼层(共14层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_1N5RZz7gE_1.jpg.296x216.jpg
20200208,宝山,大华,文华苑待装电梯多层，年后动工，南北通中装必看好房,570万,2室2厅 | 94.65平米 | 南 | 简装 | 中楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_9WhHIkCJH_1.jpg.296x216.jpg
20200208,宝山,大华,好楼层！采光好！不是顶楼！总价低！省税费！有钥匙！必看好房,225万,1室1厅 | 47.66平米 | 南 北 | 毛坯 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_zTJKgUmNF_1.jpg.296x216.jpg
20200208,宝山,大华,靠公园 电梯好楼层 三开间朝南 诚意出售 产权清晰必看好房,718万,3室2厅 | 127.83平米 | 南 北 | 精装 | 中楼层(共11层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-6744cb26-0aaf-4eeb-bc31-2bae30d9afd1.png.296x216.jpg
20200208,宝山,大华,一楼双南东边套全明两房，采光好，16平大天井必看好房,399万,2室1厅 | 71平米 | 南 | 精装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_pXJenC8f6_1.jpg.296x216.jpg
20200208,宝山,大华,精装修三房，满五唯一，房东没怎么住过，可以拎包入住必看好房,535万,3室2厅 | 100.16平米 | 南 | 精装 | 中楼层(共14层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_rkFw3jg5I_2.jpg.296x216.jpg
20200208,宝山,大华,次新小区  电梯高区景观房  30w居家装修  可谈必看好房,575万,3室2厅 | 96.62平米 | 南 北 | 精装 | 中楼层(共18层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_OAHoJ0ft9_1.jpg.296x216.jpg
20200208,宝山,大华,动迁房税费少，楼层好视野佳，采光好，南北通房型正必看好房,435万,2室1厅 | 87.32平米 | 南 | 简装 | 高楼层(共6层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-9fc2f1fc-ff50-4468-997d-3ffb0fc01078.jpg.296x216.jpg
20200208,宝山,大华,南北户型，  楼层好，近商圈，随时可看必看好房,335万,2室1厅 | 63.39平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-4cc10e49-f497-4b8c-a3cb-ddfb2b2be364.jpg.296x216.jpg
20200208,宝山,大华,文华苑(宝山) 3室3厅 680万必看好房,680万,3室3厅 | 135.05平米 | 南 北 | 其他 | 中楼层(共6层) | 2000年建 | 板楼,
20200208,宝山,大华,康泰新城 3室2厅 560万,560万,3室2厅 | 120.49平米 | 南 北 | 简装 | 高楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_U4DFD11en_1.jpg.296x216.jpg
20200208,宝山,大华,小区中环内，出行便利，购物方便，随时看房诚意出售,520万,3室2厅 | 122.57平米 | 南 | 精装 | 中楼层(共7层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e9e0c97d-aff4-4cb8-9666-ec0d00ef1b5f.jpg.296x216.jpg
20200208,宝山,大华,品质小区，人车分流，东家诚意出售，,579万,4室2厅 | 126.17平米 | 南 | 简装 | 低楼层(共18层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-269f8c84-0c14-4ede-b2a7-ccca57cf86c8.jpg.296x216.jpg
20200208,宝山,大华,公园世家.南北通两房.满五唯一.有钥匙,528万,2室2厅 | 109.27平米 | 南 | 简装 | 低楼层(共11层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-aee043b2-d0e0-4b17-b363-f859031dd50c.jpg.296x216.jpg
20200208,宝山,大华,电梯花园洋房，南北通户型，带产权车位，看房方便,575万,2室2厅 | 103.54平米 | 南 北 | 毛坯 | 高楼层(共14层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_trtRCjD0X_1.jpg.296x216.jpg
20200208,宝山,大华,中环一号三房两卫，楼层好位置佳，看房随时方便。,580万,3室2厅 | 107.25平米 | 西南 | 毛坯 | 中楼层(共14层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_hq2XnF0Hn_1.jpg.296x216.jpg
20200208,宝山,大华,铂金华府 3室2厅 1130万,1130万,3室2厅 | 160.32平米 | 南 | 其他 | 高楼层(共9层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_vlPqMeMab_1.jpg.296x216.jpg
20200208,宝山,大华,电梯高区，视野开阔，景观一览无余,580万,2室2厅 | 106.25平米 | 西南 | 精装 | 高楼层(共12层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-50924a7b-0155-452a-9202-712f577d664c.jpg.296x216.jpg
20200208,宝山,大华,婚房装修，二手买进税少，金地物业管理，车位充足房主自荐,458万,2室2厅 | 80.8平米 | 东 | 精装 | 中楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-5e2c9a0b-50fa-4541-a9b8-adad75bb16f2.png.296x216.jpg
20200208,宝山,大华,水岸篮桥  2个层面复式结构 精装修 诚意出售,630万,4室2厅 | 134平米 | 南 北 | 精装 | 低楼层(共11层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_hBpGugtmh_2.jpg.296x216.jpg
20200208,宝山,大华,满五唯一南北通2+1三房，有钥匙随时可看,528万,3室2厅 | 99.71平米 | 南 北 | 简装 | 中楼层(共14层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ndJyp2Zza_1.jpg.296x216.jpg
20200208,宝山,大华,进出小区东大门方便   户型正气,435万,2室2厅 | 86.28平米 | 南 | 精装 | 高楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_wrjLZumdR_1.jpg.296x216.jpg
20200208,宝山,大华,全南大两房，满五唯一，精装修，随时可看，总价低！,465万,2室2厅 | 92.74平米 | 南 | 毛坯 | 低楼层(共14层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b093499a-8497-4d88-b41f-0ca39a7357bd.jpg.296x216.jpg
20200208,宝山,大华,小区花园位置，满五年唯一，正四房，看房方便,688万,4室2厅 | 131.95平米 | 南 北 | 毛坯 | 低楼层(共14层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/565050dd-72bf-4b10-829f-bcb189bea8f2.jpg.296x216.jpg
20200208,宝山,大华,挑高大三房，买进价格高，税费少。,529万,3室2厅 | 116.95平米 | 南 北 | 简装 | 高楼层(共7层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_nVGyJeSae_1.jpg.296x216.jpg
20200208,宝山,大华,满五唯一，看房方便，前后无遮挡，采光好,565万,3室2厅 | 123.08平米 | 南 | 简装 | 低楼层(共11层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_WITehld1s_1.jpg.296x216.jpg
20200208,宝山,大华,近小区花园位置 满五唯一，看房方便，前后无遮挡房主自荐,730万,3室2厅 | 138.78平米 | 南 北 | 精装 | 低楼层(共11层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_mVPV4hvNl_1.jpg.296x216.jpg
20200208,宝山,大华,04年房龄 罕见南北通正气三房 近地铁 视野开阔,715万,3室2厅 | 123.55平米 | 南 | 简装 | 高楼层(共11层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_SwKYBfglq_2.jpg.296x216.jpg
20200208,宝山,大华,3房2卫    品质小区 一楼带花园  满五唯一税费少,575万,3室1厅 | 108.04平米 | 南 北 | 简装 | 低楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-4cca00aa-fc47-4c24-8e86-b8c10c242e31.jpg.296x216.jpg
20200208,宝山,大华,带地下产权车位 婚房精装 位置安静 诚意出售房主自荐,548万,2室2厅 | 109.94平米 | 东 南 北 | 精装 | 低楼层(共7层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-2a5d8bfe-77d0-43a2-bd89-0482469c0e7a.jpg.296x216.jpg
20200208,宝山,大华,七号线大华三路擦肩而过，南北正气三房，业主诚售！,630万,3室2厅 | 125.93平米 | 南 | 简装 | 低楼层(共10层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a6215fe3-63fb-4e37-a0e1-282ddecc10f8.jpg.296x216.jpg
20200208,宝山,大华,精装修，可拎包入住，诚意出售。房主自荐,221万,1室1厅 | 47.66平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ZvXnidEzx_1.jpg.296x216.jpg
20200208,宝山,大华,诚意出售！满五年，南北通透，不靠马路。房主自荐,485万,2室2厅 | 86.71平米 | 南 北 | 简装 | 低楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_aXtgbdr5G_1.jpg.296x216.jpg
20200208,宝山,大华,高品质小区，精装修三房带地下室,660万,3室2厅 | 136平米 | 南 | 精装 | 低楼层(共14层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-65389236-b69e-404f-9114-016d7def7f0a.jpg.296x216.jpg
20200208,宝山,大华,复星新苑 2室2厅 525万,525万,2室2厅 | 91.36平米 | 南 | 精装 | 低楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_5kTRXpHFk_1.jpg.296x216.jpg
20200208,宝山,大华,此房满五唯一，南北通两房，一楼带花园，采光好,492万,2室2厅 | 89.51平米 | 南 | 简装 | 低楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_MftyjkloQ_1.jpg.296x216.jpg
20200208,宝山,大华,近地铁+南北通+楼层好+看房方便+开间4.2米,528万,2室2厅 | 93.55平米 | 南 | 简装 | 低楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a42a2bbc-4d16-413f-9bd9-55d70d333dca.jpg.296x216.jpg
20200208,宝山,大华,金地物业 电梯内复式（两卫） 40万精装 拎包入住,520万,2室2厅 | 88.47平米 | 南 | 精装 | 中楼层(共12层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_jZLiIuRB6_1.jpg.296x216.jpg
20200208,宝山,大华,水岸南北通大三房，电梯高区，视野好，采光佳，急售！,980万,3室2厅 | 151.53平米 | 南 | 毛坯 | 高楼层(共18层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-33958abf-f15a-42d6-93e3-7f371df50ebe.jpg.296x216.jpg
20200208,宝山,大华,单价低、 满五唯一、看房方便、车位充足、交通便利,900万,4室3厅 | 222.2平米 | 南 | 精装 | 低楼层(共5层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-4782d1de-2905-4bfb-9a4b-6e647efd5b90.jpg.296x216.jpg
20200208,宝山,大华,精装修三房带产权车位，有钥匙，看房随时，到价签字,554万,3室2厅 | 93.18平米 | 南 | 精装 | 18层 | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_cewqYzkFS_1.jpg.296x216.jpg
20200208,宝山,大华,中环边，新上架大三房有地暖，看房方便，诚意出售,699万,3室2厅 | 120.52平米 | 南 | 精装 | 低楼层(共13层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_9O5TKhPfG_1.jpg.296x216.jpg
20200208,宝山,大华,全南全明两房、满五唯一、无贷款房主自荐,465万,2室2厅 | 90.63平米 | 南 | 精装 | 低楼层(共17层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_VP0bKpsVT_1.jpg.296x216.jpg
20200208,宝山,大华,梧桐城邦大复式，买一层附一层 南北通户型  四合院房主自荐,610万,4室3厅 | 99.89平米 | 南 北 | 精装 | 高楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_el3oSjfhC_1.jpg.296x216.jpg
20200208,宝山,大华,别墅社区，花园洋房，户型南北通透，满五税费少。,527万,3室2厅 | 80.12平米 | 南 北 | 精装 | 低楼层(共10层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-94807ec4-fa25-4b5e-96c6-fb7a9122349a.jpg.296x216.jpg
20200208,宝山,大华,满五年，南北户型，视野开阔，毫无遮挡，房东诚意出售,458万,2室2厅 | 94.42平米 | 南 | 精装 | 低楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-6e395e66-4570-4b79-9491-ca7c04b0ab03.jpg.296x216.jpg
20200208,宝山,大华,婚房精装，视野宽阔采光好，空间利用度高,360万,2室1厅 | 69.78平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ukQl9r0e1_1.jpg.296x216.jpg
20200208,宝山,大华,满五年唯一  买进价高 税费少 有地下产权车位,650万,2室2厅 | 93.34平米 | 南 | 精装 | 低楼层(共14层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-7a612520-3e4f-440f-b95b-4e7e0bd6332e.jpg.296x216.jpg
20200208,宝山,大华,满5唯一税少，诚意出售，看房方便，近规交7号线,380万,2室1厅 | 74.41平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-130dbf20-adb6-49fe-ae77-2a8099c9589f.jpg.296x216.jpg
20200208,宝山,大华,中环边次新房、满五年，南北通，经典户型，业主诚意卖,455万,2室2厅 | 83.5平米 | 南 | 精装 | 高楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-fbfdfd50-9053-4604-bff1-c7ca7c94442d.jpg.296x216.jpg
20200208,宝山,大华,低总价，复式房，南北户型，大露台，附加值高诚意出售,520万,3室2厅 | 124.76平米 | 南 | 简装 | 高楼层(共6层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_UEYAniVaD_1.jpg.296x216.jpg
20200208,宝山,大华,中环旁，新出漂亮的南北通三房，电梯高区，已满5年,720万,3室2厅 | 124.52平米 | 南 北 | 精装 | 18层 | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_quUwGqe27_1.jpg.296x216.jpg
20200208,宝山,大华,两梯2户南北通2+1小三房，2011年次新小区，动迁税少,529万,3室1厅 | 101.28平米 | 南 | 简装 | 低楼层(共18层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_CABuAYea0_1.jpg.296x216.jpg
20200208,宝山,大华,花园洋房 电梯中高层 开发商装修 满五唯一税费少,460万,1室2厅 | 68.87平米 | 南 | 精装 | 中楼层(共10层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-eaf4e6d1-f634-4802-9c57-4099ad72ba29.jpg.296x216.jpg
20200208,宝山,大华,中环边上诚意出售两居室 户型端正 看房方便想你所想,480万,2室2厅 | 86.86平米 | 南 | 毛坯 | 低楼层(共18层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-89348a78-7cb0-46e0-9a98-ce506a102ae8.jpg.296x216.jpg
20200208,宝山,大华,琉樽商品，电梯高区，采光好，视野好，带地暖，有车位,570万,3室2厅 | 93.2平米 | 南 北 | 精装 | 18层 | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-3c3c2312-130c-4b37-9413-3d10f75b3b86.jpg.296x216.jpg
20200208,宝山,大华,税费就少3    0万，中环旁，新出次新电梯中区小三房,529万,3室2厅 | 101.28平米 | 南 北 | 简装 | 低楼层(共18层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_RXItvwLSd_1.jpg.296x216.jpg
20200208,宝山,大华,多层顶复，小区中间位置，6复7,750万,3室2厅 | 141.79平米 | 南 | 其他 | 高楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_iQAWEOuyT_1.jpg.296x216.jpg
20200208,宝山,大华,中环一号(一期) 3室2厅 655万,655万,3室2厅 | 128.37平米 | 南 | 精装 | 中楼层(共14层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_BihIjXFyE_1.jpg.296x216.jpg
20200208,宝山,大华,滨江雅苑 2室2厅 598万房主自荐,598万,2室2厅 | 99.52平米 | 南 北 | 简装 | 高楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_2eFyoWcHO_1.jpg.296x216.jpg
20200208,宝山,大华,此房满五年，随时可约看，交通便利，层高3米不压抑！,615万,3室2厅 | 115.82平米 | 南 | 精装 | 中楼层(共6层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_pBcWy3GW7_1.jpg.296x216.jpg
20200208,宝山,大华,房子南北直通 采光不遮挡 房东置换 产权清晰,575万,2室2厅 | 96.74平米 | 南 | 简装 | 中楼层(共9层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_re6aPAGt3_1.jpg.296x216.jpg
20200208,宝山,大华,7号线次新房 小高层电梯房 采光无遮挡 南北直通,600万,2室2厅 | 99.95平米 | 南 | 简装 | 中楼层(共11层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/ed1f6016-7ad6-4f6f-ae1c-44530906b839_1000.jpg.296x216.jpg
20200208,宝山,大华,有空间和层次感的内复式！新装修 非底楼 采光无遮挡,499万,2室2厅 | 89.6平米 | 南 | 精装 | 低楼层(共12层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_rILkplEOy_1.jpg.296x216.jpg
20200208,宝山,大华,大华公园旁 满五税少 房型南北通 诚心出售,680万,4室2厅 | 141.63平米 | 南 北 | 简装 | 高楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ZN3bQYRcL_1.jpg.296x216.jpg
20200208,宝山,大华,地铁七号线,公园房,南北通三房,业主诚意出售！,565万,3室2厅 | 117.87平米 | 南 | 简装 | 低楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-18df9617-074a-439a-9b1e-245343feae31.jpg.296x216.jpg
20200208,宝山,大华,精装修新出小户型两房 税费少总价低 位置佳带产权车位,570万,2室2厅 | 87.27平米 | 南 北 | 精装 | 低楼层(共14层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e65332ea-30a3-46f3-ac7f-9cd701271504.jpg.296x216.jpg
20200208,宝山,大华,2012年次新小区三开间朝南两房户型中高层视野采光好,486万,2室2厅 | 81.02平米 | 南 | 简装 | 18层 | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ffe5d786-0ff9-4541-acfa-292df9743c86.jpg.296x216.jpg
20200208,宝山,大华,满五/唯/一/双南户型 另附产权车位 商圈配套成熟房主自荐,475万,1室2厅 | 71.94平米 | 南 | 简装 | 低楼层(共18层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-dc119140-ec5b-46aa-889c-7e659df395de.jpg.296x216.jpg
20200208,宝山,大华,中环一号(二期) 2室2厅 515万,515万,2室2厅 | 90.85平米 | 南 | 精装 | 18层 | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_GmIIJAx65_1.jpg.296x216.jpg
20200208,宝山,大华,使用面积大，采光好，小区环境舒适，好停车！,680万,3室2厅 | 143.37平米 | 南 | 精装 | 高楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-0f991989-2832-4443-9b47-5ef110e2890a.jpg.296x216.jpg
20200208,宝山,大华,此房满五唯一，东边套，视野宽阔，小区公园旁边。,650万,3室2厅 | 130.27平米 | 南 | 简装 | 中楼层(共11层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-6eae37cc-3d7c-409b-aa9d-2522ad436a78.jpg.296x216.jpg
20200208,宝山,大华,温馨四房，别致布局，满五唯一！此房、你值得拥有！,675万,4室2厅 | 132.48平米 | 东南 | 精装 | 低楼层(共14层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-1e80c619-3d24-4e8f-b843-09fe3e1adcac.jpg.296x216.jpg
20200208,宝山,大华,急抛急售房源， 全明户型， 南北直通。,445万,2室2厅 | 88.22平米 | 南 北 | 简装 | 高楼层(共6层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f0060f12-1814-4875-ac6f-2c72a52cf83c.jpg.296x216.jpg
